0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
34.157,42.289,-72.045,118.351,-21.361,-19.423,-34.991,12.559,-47.911,-2.191,-34.05,18.619
31.06,87.383,-115.5,147.236,-11.829,13.059,-34.32,49.009,-44.697,-25.26,-55.273,11.124
33.166,193.663,137.648,-242.13,13.528,62.011,45.22,-71.966,-45.867,46.942,-3.641,12.299
48.676,113.765,65.904,-0.365,-3.112,-13.366,-13.089,-18.705,-26.181,-13.822,-8.111,9.363
52.088,148.216,93.828,16.282,33.749,27.149,16.629,9.218,-14.626,-31.396,-4.368,33.14
50.221,148.137,54.115,-34.975,46.209,-7.996,-5.672,-32.662,-28.542,-6.337,-27.723,27.186
51.216,104.577,53.78,-38.403,18.598,-0.223,-20.967,-9.639,-25.406,-24.69,5.027,13.675
52.489,88.64,36.85,-12.362,54.917,-19.514,-18.628,-12.247,16.428,-12.983,-4.201,13.417
53.9,134.531,29.356,-4.286,58.788,-19.435,-29.415,30.541,-15.279,1.929,-10.489,-0.993
50.297,173.147,40.992,0.569,-19.203,-11.307,-49.475,-7.857,-25.031,-10.401,-3.993,4.596
47.26,117.953,52.012,6.909,-13.875,-31.361,-22.949,-7.019,-26.708,-14.826,7.283,-13.438
48.63,43.028,55.446,2.139,6.899,-33.924,-9.613,-10.368,-6.084,7.004,-2.524,6.108
49.338,37.285,29.34,-18.304,-14.361,-30.663,-9.056,-0.808,-7.687,-10.791,2.897,12.734
50.164,124.839,43.68,12.378,-11.658,-41.63,-29.941,-15.595,-4.124,2.457,9.946,17.806
49.097,126.359,54.299,8.783,-5.241,-19.019,-19.796,-12.313,-2.629,-15.176,-12.979,8.976
51.409,188.257,47.695,-24.845,21.32,-19.833,-41.359,-17.155,-15.451,-3.509,8.681,-4.792
52.608,160.387,70.534,34.218,39.925,-3.329,-18.215,-24.846,-35.111,-0.681,-40.523,23.485
51.609,100.596,47.363,4.637,55.373,17.624,-13.516,18.078,-15.549,-8.563,-5.699,3.608
52.787,106.338,72.266,70.706,24.862,-15.967,-15.42,-16.35,-22.052,-1.322,-31.374,23.377
51.053,119.612,55.732,-49.213,23.403,43.879,-34.516,15.831,-20.537,-26.297,7.892,-17.576
50.713,161.732,29.178,13.426,-18.437,-28.975,-49.443,-25.824,-39.58,4.534,-15.037,9.317
51.667,64.492,76.864,26.519,52.937,-11.941,4.457,11.435,4.561,1.903,-0.727,13.716
49.438,59.171,76.807,22.638,12.86,1.138,20.263,0.127,-13.364,6.803,-15.502,13.9
48.899,88.138,-3.499,-29.353,4.084,-28.826,-15.577,22.184,-13.302,-29.024,8.702,5.853
54.289,96.008,29.148,-2.165,25.566,-2.858,49.235,4.056,-0.547,37.857,17.673,13.107
53.112,121.67,87.25,22.367,68.791,-32.952,29.852,9.978,-9.699,6.486,-17.739,12.119
52.313,109.235,-7.931,25.35,-34.061,-18.688,-4.471,-18.032,-5.049,-4.115,-10.901,18.335
52.388,85.704,32.647,-52.568,-13.804,11.77,-7.928,15.704,-15.197,-27.876,4.105,-2.285
54.272,73.75,33.38,2.694,-12.084,-40.337,-15.894,8.628,-7.182,-6.76,-9.382,19.705
50.617,47.44,-3.369,2.07,-48.132,-56.629,-18.779,-1.424,-30.428,-2.394,-17.916,6.733
52.583,102.258,27.365,-6.648,-48.854,-34.882,-12.387,8.21,-27.415,1.95,5.608,-31.697
54.256,86.297,44.478,-10.141,-1.262,-41.729,34.873,12.398,-6.971,9.007,-2.528,7.791
54.212,98.446,83.642,13.318,50.66,-26.488,44.666,8.076,13.583,-9.393,-14.787,31.442
53.716,78.263,24.323,2.958,9.342,-44.43,15.536,19.742,22.493,-4.064,-20.279,9.109
51.553,65.2,3.196,-7.975,-8.68,-28.491,-27.353,17.493,-19.07,3.703,26.631,-0.709
48.72,70.058,-6.491,-9.191,-49.844,-76.857,8.765,5.352,-1.746,11.024,-15.086,5.07
51.293,141.237,-16.323,-24.895,12.35,-32.409,18.061,8.144,-6.11,2.695,-3.341,12.838
53.941,74.385,30.382,-40.808,8.833,-40.071,28.992,7.054,-11.454,11.905,-9.32,9.288
54.345,81.342,55.364,6.958,24.302,-28.531,17.364,32.549,-11.2,-3.436,-25.828,17.645
54.615,67.399,34.262,-10.946,-11.83,-20.193,-12.232,20.841,-19.073,-2.573,8.918,6.8
54.39,72.346,59.948,2.948,-4.571,-28.81,-9.21,12.933,-11.819,1.505,7.578,5.829
52.508,49.026,9.634,7.425,-8.521,-42.343,0.893,-4.849,-12.821,24.623,-11.414,16.597
53.342,91.011,30.263,-25.604,-20.536,-18.882,-10.216,23.237,1.769,0.8,-0.547,-14.459
53.673,93.814,53.383,-17.406,-10.81,-30.428,24.326,0.001,-12.977,24.44,-16.614,2.911
54.176,96.255,91.444,14.493,58.027,-36.365,32.75,7.049,10.719,1.687,-8.407,25.969
54.216,82.521,38.456,7.507,17.258,-54.011,42.404,1.314,-1.145,11.616,-8.197,4.077
53.648,80.747,-3.007,11.804,-25.359,-43.242,-9.334,-20.098,5.143,-3.534,1.359,12.242
52.196,114.948,-4.619,-8.744,-42.083,-23.005,5.731,15.293,-1.009,-6.273,10.741,-0.538
51.802,84.564,-24.538,-2.281,-23.736,-61.019,-0.742,-5.506,-5.62,22.279,-11.625,10.141
53.526,124.422,-9.895,-27.774,-9.122,-8.624,-1.116,14.983,-9.091,1.945,-9.517,2.022
54.222,92.916,0.623,-15.664,-14.103,-22.594,-24.171,-14.794,-11.291,2.469,-22.542,19.366
52.314,100.158,-2.527,-33.225,-24.691,17.761,7.569,-11.872,-3.733,-34.223,-15.011,7.993
52.654,109.535,-0.457,-19.549,-20.821,-13.348,17.831,-9.17,-36.862,15.039,-41.225,-0.036
53.205,86.693,4.922,-23.329,-12.474,-5.356,7.667,-7.037,-16.5,16.449,2.522,16.019
53.621,84.512,13.821,-10.287,-23.739,-21.798,16.159,-20.06,-13.098,1.64,-0.371,21.462
54.183,117.688,11.454,11.373,-36.475,-25.585,-54.986,9.912,-5.259,-14.845,8.278,-4.82
53.521,98.355,-8.316,-23.155,-34.236,-46.248,-26.899,11.425,-2.867,-30.675,-8.957,8.42
49.121,54.597,-23.606,6.922,-55.99,-67.422,-14.085,-13.138,-12.489,4.447,-18.049,-6.047
49.423,102.848,-51.042,-33.0,-8.664,-28.409,25.588,-24.031,-23.12,-13.083,-13.479,-3.843
48.944,66.373,-25.194,-14.555,-47.362,-21.206,12.629,-12.811,-2.902,2.687,-18.921,9.811
50.633,97.171,-12.571,-66.12,8.519,-15.281,39.652,-2.998,-9.679,-11.676,-9.97,10.31
54.661,81.873,32.058,-18.448,18.126,-28.098,-16.184,-9.294,9.043,21.657,2.059,10.815
53.638,66.422,16.293,31.611,3.184,-38.977,-12.314,-0.921,-4.167,24.061,-10.657,20.564
52.725,140.125,-15.016,-3.9,-42.74,-14.514,-20.161,-4.179,-11.347,-2.261,-8.545,-6.29
52.26,90.903,-17.907,-33.621,-12.415,23.519,-0.376,32.059,-5.247,3.661,-0.231,-13.64
51.782,108.711,-21.811,14.599,-53.486,-7.875,-35.076,-31.478,-10.704,-5.438,-27.138,-1.6
54.076,47.619,27.116,-6.8,22.452,-9.089,17.979,15.872,9.495,11.775,13.071,18.947
54.011,49.181,10.494,17.548,11.184,-41.658,8.73,3.483,3.314,3.824,-5.899,21.741
50.318,91.582,-28.453,-21.916,-45.988,-62.563,-6.667,16.649,-7.967,7.366,-3.894,8.752
53.849,84.366,26.64,-42.37,15.071,5.077,57.535,-5.878,-0.337,13.578,-7.901,9.2
55.213,87.335,44.954,7.747,29.962,-40.211,42.359,13.0,-5.29,-1.581,-15.409,25.96
53.507,75.775,-6.87,17.566,-23.39,-20.906,12.755,-29.993,3.573,-0.564,-17.441,11.5
53.881,90.884,23.548,-26.311,-11.831,-11.288,-15.353,-0.597,-15.909,-7.526,22.236,-6.299
54.696,55.425,22.256,-8.671,-10.141,-43.689,-11.015,4.428,-8.584,4.236,-21.762,16.886
51.228,43.889,-2.455,-5.037,-33.218,-63.043,3.016,-9.267,-7.372,2.362,-7.222,5.329
53.237,93.182,21.679,-26.495,-30.91,-13.587,-0.32,-5.321,12.975,-9.077,5.091,-21.493
55.107,80.18,37.155,-26.044,-3.973,-43.08,34.507,6.479,12.767,16.916,-16.558,13.037
55.624,82.054,34.034,8.569,34.333,-36.259,30.342,4.085,30.84,9.319,-25.303,19.854
50.973,46.033,13.545,-34.833,13.173,-2.433,-8.174,20.185,2.061,0.319,-13.313,10.424
50.087,49.439,-9.45,-18.482,-32.042,-67.482,-2.212,-2.883,-3.363,21.688,-13.526,-13.138
52.69,112.057,-13.433,-34.794,16.675,-49.791,19.279,5.571,0.669,-3.577,-1.977,5.947
54.413,70.334,25.013,-32.22,4.536,-25.772,26.3,9.721,-6.972,15.395,-16.829,14.834
54.374,65.931,38.455,-26.5,-6.724,-13.585,-6.271,11.502,-18.447,-6.067,7.672,6.984
54.689,73.451,52.071,4.898,-3.401,-20.875,0.099,3.106,-10.002,10.196,-5.675,20.912
53.073,44.923,0.257,-0.03,-14.945,-30.986,5.867,-5.165,-0.284,14.631,-0.877,10.58
53.887,68.63,31.42,-31.459,-17.973,-11.103,8.819,10.752,3.666,-11.999,5.232,-9.984
55.389,61.195,43.866,-17.469,18.954,-44.102,18.505,11.991,1.708,12.288,-0.546,8.911
54.949,70.302,37.368,4.516,35.621,-45.69,56.062,5.075,3.602,4.743,-13.828,12.183
53.48,69.702,6.867,8.939,-3.26,-27.133,-18.228,-12.159,0.653,5.686,-1.801,13.399
51.688,34.999,17.448,21.575,-13.125,-48.835,-3.494,-37.726,-10.749,43.087,-14.05,8.572
53.463,15.507,29.534,20.321,19.282,-9.097,43.91,3.613,-8.656,18.966,-0.089,-2.233
52.228,32.229,14.871,1.306,2.187,-40.945,21.499,-3.142,2.524,-2.235,7.73,8.146
53.509,44.474,15.209,-30.861,20.181,-29.347,28.546,12.519,19.064,-10.769,-0.595,4.656
53.297,56.552,4.308,14.507,22.185,-56.11,33.601,-11.673,23.75,12.704,-7.695,26.051
53.281,68.225,20.492,-7.984,21.42,-7.231,29.308,-15.26,-27.304,4.843,3.261,20.704
52.108,41.212,-4.619,-2.411,14.389,-35.363,7.231,0.077,-17.78,3.234,-0.395,25.697
51.626,7.281,18.445,2.094,3.986,-19.691,23.643,10.371,-19.312,-6.58,14.229,20.963
53.436,67.693,-4.008,9.948,30.149,-27.286,15.1,-13.713,-13.974,9.124,-18.367,0.376
52.688,60.11,19.433,-35.638,15.978,-19.261,25.356,-20.385,-11.444,20.682,-9.438,21.84
54.603,64.014,27.798,-19.92,12.42,-23.911,9.86,4.697,14.96,-6.435,-16.086,10.712
52.169,37.401,17.326,11.417,1.946,-24.133,28.841,-20.721,16.164,-3.474,-10.148,17.503
48.557,7.922,42.16,-6.926,-31.372,-30.034,40.959,-13.513,-4.378,6.919,-3.826,13.008
48.565,31.144,14.233,3.082,-24.22,-38.808,26.639,-18.95,9.495,18.205,-9.257,8.66
47.276,-41.193,32.396,-0.296,-24.758,-36.894,45.867,-12.373,-4.789,-4.885,-7.293,21.978
44.778,-70.053,18.591,-13.981,-21.961,-36.794,41.005,18.217,-13.788,3.821,-2.92,19.192
