0,1,2,3,4,5,6,7,8,9,10,11
0.099,171.287,10.922,-31.213,57.288,-51.533,15.264,4.508,-27.118,1.106,-7.931,-7.6
49.622,131.779,-14.895,86.127,7.254,-66.658,-0.94,4.738,-28.747,38.48,10.469,1.975
45.818,158.517,-7.243,-16.159,-8.14,-16.437,12.873,10.357,-6.774,0.757,-12.589,8.302
46.872,152.274,-16.194,-4.038,-1.613,-36.104,0.621,19.435,-12.016,24.405,2.821,9.376
47.875,123.629,-11.471,-42.507,-27.036,8.488,13.128,-31.715,-8.66,21.293,-32.338,8.858
47.424,44.239,-51.725,-38.006,-25.539,-27.336,-24.05,-7.014,10.406,-1.099,-5.721,9.384
47.52,44.239,-48.932,-4.932,-23.459,-25.001,-0.156,-18.264,-4.597,13.406,3.101,18.883
51.109,135.865,-31.571,-30.604,-56.204,-18.286,-43.296,-5.147,-8.671,0.611,-7.815,-23.649
53.001,131.843,-20.009,10.269,-37.412,-34.24,-22.831,17.615,2.551,8.511,-2.828,15.853
51.809,109.114,-12.547,-8.37,-28.516,-13.165,4.759,-10.638,3.236,-4.066,-15.59,26.051
51.546,93.232,-7.234,-38.46,-39.132,-1.528,-12.89,-1.526,11.734,-22.067,-14.683,-0.344
50.856,49.962,21.844,-22.466,-42.361,-5.653,-8.966,0.757,10.493,6.094,-18.849,-32.298
50.437,74.037,-10.674,0.667,-49.462,-12.779,-18.647,-16.729,-5.923,6.299,-25.146,-10.178
48.086,48.587,-19.195,-35.26,-18.362,24.879,9.353,2.443,12.012,-27.342,-17.93,-4.038
50.135,73.531,-44.28,-7.579,-44.989,-25.487,-1.313,3.754,6.157,5.164,10.002,14.406
48.79,63.437,-19.157,-54.715,-25.952,-18.193,3.025,23.875,15.048,-7.825,-11.694,26.547
51.877,88.981,-21.095,4.726,-29.358,-36.165,-9.544,-8.359,-12.424,0.533,-11.856,3.329
51.262,78.605,-25.319,-8.185,-23.65,-0.24,-8.958,-16.005,-11.443,7.446,7.421,-3.28
47.58,35.67,-46.439,-15.757,-35.221,-10.234,-12.221,-6.891,-6.363,-10.28,-13.319,-5.129
46.602,48.577,-48.277,-55.235,-20.015,-38.904,-19.424,-8.412,-2.355,10.843,2.639,6.747
50.95,89.695,-21.134,-43.007,-15.158,12.722,-7.424,2.155,2.73,-10.566,0.57,-2.599
50.529,77.35,-6.472,-37.797,-28.784,-18.842,-4.63,-0.971,2.686,8.289,-10.772,-22.962
50.666,68.684,-25.281,-6.767,-31.065,-37.087,-6.95,-15.709,-11.381,6.415,5.509,9.597
50.288,58.085,-41.77,11.882,-26.265,-29.438,-1.55,-20.436,6.442,6.293,1.302,9.904
49.395,66.015,-18.274,-37.715,-8.846,-33.144,-3.719,-1.602,21.049,-4.323,7.58,14.895
50.559,121.156,-16.682,-52.323,-13.975,-14.635,-30.843,8.975,32.989,-10.535,-12.213,-2.517
51.565,126.389,-3.457,-20.323,-7.622,-6.52,-8.683,-15.718,12.902,8.221,-21.232,7.799
51.016,99.344,1.919,-0.223,-19.26,-15.307,-0.339,-33.776,-3.129,-4.006,-9.796,8.775
50.33,73.158,6.469,-30.68,-22.536,-13.655,-2.815,13.727,5.85,-7.273,-12.11,20.467
48.662,51.875,-7.09,-4.109,-25.237,-43.529,-27.607,-25.02,-5.263,25.572,-6.946,-10.547
46.485,48.8,-55.623,-4.097,-46.095,-37.588,-18.159,13.602,-1.494,7.988,-3.033,-12.489
49.767,97.301,-27.104,16.03,-8.119,-34.919,-5.966,-18.29,-7.463,4.083,-9.647,14.111
45.378,34.5,-41.403,14.046,-18.677,-27.382,-13.656,-14.383,-5.077,19.133,-6.276,12.391
50.81,88.998,-48.715,-14.167,-41.928,-59.382,-12.643,18.311,14.676,13.038,12.021,7.269
49.596,125.571,-34.089,-50.55,-41.938,-24.724,-7.877,-11.641,19.865,2.059,-6.103,28.056
50.663,112.985,-35.921,-59.14,-19.216,-16.646,-2.22,-7.043,12.138,-9.218,-13.208,18.101
50.593,73.323,-20.211,-22.141,-30.577,-10.574,0.698,-13.968,-7.6,8.904,-23.289,10.238
48.603,-0.6,4.796,-26.233,-32.613,-31.1,21.217,5.975,-8.742,8.718,3.322,29.329
49.979,63.124,-37.082,48.102,-23.318,-57.153,-2.382,-32.923,-4.548,1.501,-16.313,17.123
45.741,-3.841,-26.857,-29.664,-13.231,-12.209,6.372,7.105,9.444,-10.704,-18.896,20.103
50.173,114.532,-22.267,-78.548,-22.535,16.55,-5.958,21.315,14.292,-8.08,-4.906,13.542
50.385,107.696,-32.279,-37.764,-53.845,-24.726,-27.826,12.373,-9.814,1.099,-1.6,1.558
50.174,119.162,-38.709,-33.438,-44.901,-43.583,-20.105,15.345,16.981,9.315,1.14,2.402
50.829,114.916,-9.368,-24.404,-72.992,-32.27,-33.245,-10.872,-34.643,-4.93,1.314,-11.582
51.379,94.451,-22.648,7.785,-22.966,-55.156,-16.874,-10.299,-26.887,10.375,-8.267,-9.973
49.874,119.655,-21.39,-46.635,-15.72,-25.796,-8.043,11.022,-11.604,-11.033,-8.218,4.759
49.716,134.804,-45.822,-58.225,-10.623,-23.262,2.231,22.059,-8.387,-4.693,-18.186,5.754
49.792,78.28,-60.924,-13.093,-12.585,-44.244,3.55,-27.587,-0.506,39.733,-5.684,6.429
49.709,44.381,-12.457,-41.414,22.89,-31.672,26.471,5.036,31.479,15.77,-12.697,0.984
49.972,20.109,-14.747,-19.899,46.334,-38.927,10.65,-7.258,21.631,9.066,-17.124,15.11
49.942,63.899,-37.254,-55.609,31.515,-32.47,-32.393,3.259,23.795,-9.416,9.853,-2.187
51.184,67.251,-47.612,18.593,16.747,-43.624,-38.309,-23.36,-6.093,-4.906,-27.665,14.738
48.271,86.114,-69.359,-5.111,45.167,-20.485,-24.859,31.04,-2.361,-2.073,-3.495,-8.146
49.117,145.336,-33.126,-99.193,4.639,24.398,-33.83,-17.163,-19.633,26.432,-11.241,-25.629
50.689,78.904,-51.114,-3.989,11.677,-26.042,-23.772,-29.496,-8.116,6.551,-33.12,-31.253
