0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
5.024,55.409,-60.162,-77.08,71.563,-19.932,-37.525,-14.178,-38.566,28.921,-15.89,6.478
7.009,14.595,-57.469,-87.829,93.465,-31.091,-39.017,-30.895,-24.113,26.255,-4.09,-2.447
8.622,-17.914,-88.583,-94.348,83.273,-23.078,-33.348,-18.843,-22.147,33.056,-11.963,4.547
10.633,-55.566,-92.969,-85.431,96.351,-24.907,-30.565,-4.612,-14.639,32.124,-17.55,6.924
11.62,-59.252,-67.983,-106.068,96.17,-26.749,-32.245,-20.905,-15.038,32.715,3.039,2.228
16.287,-37.028,-26.059,-106.122,44.266,-10.141,-54.096,-10.283,-9.327,34.47,2.963,2.654
22.967,4.453,0.135,-111.265,6.676,13.208,-40.696,-64.117,-17.212,45.921,-29.767,13.71
28.911,-33.663,-92.118,-74.519,-18.816,-44.099,-54.64,10.137,27.173,9.432,4.947,-2.076
29.394,53.871,-59.66,-61.053,-33.137,-37.072,-32.49,-6.266,2.648,12.023,-5.325,8.043
31.05,45.226,-28.391,-59.599,-3.375,-34.401,-39.269,11.509,-1.755,3.752,6.999,7.975
44.65,13.934,-41.525,-29.49,10.72,76.123,15.909,-14.2,-1.762,68.588,31.62,-18.501
46.616,-30.605,-6.73,5.144,-5.795,-54.319,18.436,1.172,14.035,11.911,-7.751,17.599
44.161,-62.766,-40.927,-5.935,8.852,-45.798,8.276,4.451,8.891,12.287,2.063,12.31
42.814,-50.893,-44.791,2.247,66.27,-39.855,17.552,-6.515,32.754,9.342,-9.406,-12.729
42.668,-66.649,-29.838,-11.81,35.199,10.53,26.799,10.754,12.69,5.681,-24.039,-3.495
41.432,-59.157,-55.948,-5.652,76.428,-27.453,20.046,-17.511,32.332,9.726,-12.315,-5.427
42.464,-75.646,-27.781,-40.442,44.149,-0.795,11.786,11.709,1.654,7.808,-37.961,2.522
39.523,-103.666,-39.655,-26.812,63.735,4.387,25.459,-16.489,10.96,-28.321,-29.31,0.494
34.358,-167.353,-95.189,-13.883,25.203,-78.555,7.712,-33.502,-25.671,16.826,-6.85,-10.224
38.739,-69.216,-36.984,-89.605,48.579,2.946,7.044,-25.057,-5.619,-16.013,-9.617,-4.757
40.724,-68.937,-21.148,-104.311,16.281,-23.497,18.015,19.362,3.593,-9.693,-12.285,0.975
44.786,-47.365,-22.262,37.15,39.271,-48.28,16.12,-13.644,-16.792,-4.813,-17.189,-5.835
42.19,2.11,-16.259,-43.999,2.807,-1.503,19.243,-9.707,2.865,-7.325,-34.995,6.4
37.089,-44.094,-36.44,4.509,0.077,-37.522,18.484,-29.52,-18.336,5.636,-5.766,-3.33
33.486,-79.958,-52.32,-6.885,-1.742,-36.309,18.999,-28.772,-29.457,-1.868,-0.83,-14.949
39.295,8.374,-116.47,-8.064,44.467,-36.676,-18.619,63.906,38.051,-13.289,36.38,-7.897
37.111,-3.395,-125.786,-6.263,0.633,1.239,-34.349,32.665,-3.237,44.814,0.046,5.449
45.824,-44.398,-67.48,28.59,-0.954,-19.316,-3.697,-20.668,-5.483,62.332,3.332,-24.417
41.942,-46.611,-63.982,-11.9,-21.7,-34.027,1.343,-13.67,-1.943,-4.855,-18.713,-13.702
41.036,-61.412,-47.618,-82.115,6.671,4.3,13.522,6.87,20.985,-25.711,-27.217,-2.104
41.529,-55.586,-71.605,-4.956,56.833,-14.125,26.888,-37.44,-9.725,3.25,-21.711,-24.971
40.72,-63.776,-53.225,-63.812,31.471,-45.988,6.029,1.407,15.083,8.555,-16.714,9.273
42.425,-53.287,-58.155,-29.597,65.339,3.373,20.044,-16.315,40.927,11.904,-16.859,6.166
43.844,-44.982,2.185,-41.927,31.989,-24.795,5.763,15.794,10.964,-0.936,-19.272,7.495
42.696,-87.423,-32.02,4.945,-5.969,-73.549,2.197,4.499,-13.582,10.559,-2.53,10.75
41.084,-63.206,-57.528,12.896,65.575,-26.046,-1.524,-35.584,14.383,-4.657,-25.332,17.995
40.707,-44.036,-7.403,-103.702,52.691,0.867,29.771,-5.154,-6.573,0.475,-38.111,0.948
43.952,-9.039,-13.659,-80.597,-0.737,0.504,10.848,26.695,10.227,-20.111,-14.018,-0.976
44.881,-20.273,-43.977,-20.411,-20.023,-50.631,-14.608,2.276,36.801,14.272,-8.377,1.432
44.382,-28.191,-6.704,4.145,34.102,-26.647,23.999,4.695,22.015,16.284,-4.828,-16.047
