0,1,2,3,4,5,6,7,8,9,10,11
21.146,127.884,149.461,-459.376,39.094,37.809,68.726,-98.336,-51.115,64.707,15.872,5.413
49.638,40.336,10.879,-42.594,-19.915,-15.293,-47.198,21.941,-38.761,-3.086,-2.466,-17.767
50.965,67.904,-18.188,-35.933,-20.214,0.306,-44.371,-42.952,-23.856,11.467,-37.048,-4.365
52.407,-50.335,37.128,24.998,31.257,26.301,-18.386,19.281,-10.951,-12.247,-17.238,-21.005
47.074,17.131,24.074,-26.708,13.594,23.257,-21.21,1.476,-4.871,-9.328,-36.576,-1.541
48.181,83.172,15.441,-117.936,70.364,15.308,8.226,-62.299,-25.66,11.295,-4.504,-4.844
51.383,38.497,65.216,19.642,8.21,-17.532,-1.819,-12.825,-31.206,0.487,-34.084,0.755
43.283,-19.019,-12.566,-4.297,-10.882,11.37,-13.599,16.253,2.875,-37.706,-35.164,5.85
37.481,-43.547,-61.067,2.391,-15.585,66.737,-0.16,-15.407,8.3,-17.826,-54.135,2.558
40.865,-24.075,-43.9,54.673,-21.842,-7.221,-9.784,-23.979,-17.307,-8.923,-54.108,13.847
47.88,122.64,-33.475,-152.445,48.979,41.372,12.502,-70.235,-25.094,-16.666,5.362,-3.877
53.793,107.605,12.218,73.758,11.573,12.879,-23.991,45.325,-47.208,-30.321,-32.658,-0.316
50.887,79.437,50.846,61.991,2.312,18.66,-41.82,5.24,-30.32,-9.882,-34.299,-13.078
45.115,92.725,-44.592,-74.163,23.951,18.344,2.453,-93.823,-52.155,0.87,-51.054,-8.739
52.576,0.769,36.995,14.684,23.346,16.36,-51.441,-20.794,-16.455,-24.8,2.202,-24.874
50.653,-47.936,80.978,-47.441,82.099,-17.447,11.638,45.553,17.479,-15.102,14.512,2.867
50.781,33.049,72.927,39.747,34.991,-16.83,8.3,-9.256,-19.45,0.725,-24.482,5.59
45.646,-1.668,-31.343,34.649,-6.386,-38.502,-41.773,2.618,-1.749,-19.594,-25.497,-13.805
39.069,-38.127,-53.193,82.207,-27.073,-5.678,-6.343,-35.589,-11.313,-1.901,-49.366,16.917
42.768,-7.532,8.712,-8.394,-16.679,0.929,-3.853,-24.685,-13.138,-2.053,5.268,10.517
48.695,-47.523,69.017,-51.201,38.503,6.043,-7.146,51.597,-21.841,-5.299,-13.176,-21.091
53.074,1.458,102.344,18.094,29.596,2.456,56.465,30.191,-14.801,-1.574,27.744,-27.412
49.221,-5.613,16.599,141.459,6.683,-3.836,30.781,-19.387,-30.441,-21.473,-86.566,3.683
49.519,25.454,55.408,20.088,35.109,65.163,9.706,31.935,-21.031,-4.523,-54.825,-14.46
45.489,22.518,29.992,-108.604,-2.348,45.005,7.697,22.231,-26.286,-18.977,-25.204,-20.426
49.999,37.522,4.872,13.49,11.074,77.107,-42.73,-7.693,-24.992,-28.715,-62.038,-14.42
51.376,35.809,53.785,52.775,1.724,36.783,-37.713,-20.092,-35.715,-3.249,-13.541,-28.752
43.4,-13.9,43.988,-129.243,-16.378,47.788,3.073,63.044,-23.173,-36.479,-17.187,-16.573
52.095,41.181,20.675,65.553,17.357,27.231,-65.94,-10.053,-22.319,4.749,-19.351,-26.832
50.795,-0.174,69.3,6.996,40.297,33.244,18.611,5.951,-17.039,-2.392,6.379,-9.613
53.978,73.747,138.731,42.146,33.281,-41.062,45.888,-2.777,-33.888,-14.914,-13.779,-18.914
53.366,-8.651,66.725,48.79,37.067,-17.206,30.262,-19.261,-42.612,-6.124,-27.173,-10.431
51.988,-10.552,91.077,7.206,40.924,-12.754,33.058,39.13,-9.776,-18.748,-13.253,-4.797
45.042,92.274,-54.403,-33.68,36.822,-29.387,-8.732,57.965,-20.265,-40.519,-18.14,8.824
42.86,55.029,-79.777,28.56,30.877,-3.103,-1.947,-55.568,-37.222,6.791,-63.496,7.007
40.253,-19.139,-41.372,57.997,-13.236,-3.326,-16.416,-35.89,-7.027,-1.795,-48.751,8.731
39.988,-18.093,-5.38,-69.11,2.75,79.332,16.753,28.625,21.399,-38.207,-32.881,-6.941
38.136,-36.786,-60.534,75.721,-26.586,-0.539,-7.059,-32.936,-8.452,-5.32,-34.807,8.531
43.139,21.678,7.634,29.041,2.778,8.04,4.489,-15.774,8.14,-8.462,-38.95,-10.052
40.078,-29.428,-32.904,51.702,-21.217,-30.633,-14.543,-25.094,-14.604,1.044,-30.95,6.752
