0,1,2,3,4,5,6,7,8,9,10,11
0.757,167.283,18.631,-49.378,56.044,-57.785,13.744,-7.968,-27.614,0.211,7.903,-8.589
28.577,-86.017,-119.538,-17.071,30.708,-20.398,-32.749,-52.641,5.934,48.578,-11.904,15.72
36.202,5.454,-87.207,-68.617,29.602,72.723,-25.584,-15.43,30.427,-42.025,11.472,-14.688
37.94,48.993,-22.433,-41.717,41.417,15.744,-46.434,-16.445,-1.245,-6.574,15.123,-6.657
39.429,99.965,2.638,13.265,18.14,-85.009,-68.956,-14.59,-27.204,21.391,10.259,22.387
39.861,65.622,-20.308,-30.113,21.054,-24.224,-42.722,-35.361,-18.438,30.541,-4.553,13.91
44.193,53.217,-25.498,-15.453,6.673,-29.149,-80.081,-37.791,2.344,7.638,-3.134,-5.976
45.127,51.415,-35.591,21.856,60.118,-27.656,-43.963,-31.31,-7.187,3.265,-26.08,17.938
38.545,4.078,-38.909,-17.581,25.319,-36.897,-69.795,-26.373,-15.836,3.97,-4.37,-16.956
36.482,11.596,-26.751,-30.382,27.159,-29.36,-66.119,28.314,20.932,-6.778,-2.22,2.709
39.676,-1.629,-30.415,-48.153,21.039,-35.28,-49.696,-24.419,-10.759,40.294,-3.59,3.186
42.285,54.037,-78.364,15.827,17.452,-46.236,-47.765,-19.256,8.807,25.051,-26.737,26.238
38.877,-3.058,-120.117,-40.375,50.056,-27.31,-36.835,-9.771,-4.658,16.374,-12.13,3.093
38.953,-28.436,8.103,-9.753,20.769,-33.667,-2.98,-7.896,0.922,9.705,-3.103,20.479
42.654,60.155,-45.066,10.791,15.463,-20.52,-20.769,-21.978,-11.666,3.512,-16.348,9.194
39.003,10.514,-111.831,-58.681,45.035,-12.36,-32.304,-18.25,-18.432,17.122,1.097,-4.235
40.558,18.3,-47.561,-35.36,17.133,-51.789,-18.228,-23.963,-12.393,13.287,-9.244,21.533
45.119,66.304,24.6,43.523,-16.793,11.775,3.66,1.13,-43.363,-14.635,-7.544,20.676
43.385,71.356,-60.309,-26.823,16.523,-22.567,-28.014,-45.768,-21.568,7.802,-11.46,9.404
44.4,77.092,-10.607,12.29,30.245,-1.467,3.33,-8.941,-20.602,-3.311,-1.201,4.169
39.693,36.595,-48.963,6.938,20.078,-37.512,-22.053,-8.281,-22.414,-16.271,-19.838,36.181
37.281,52.027,-25.3,-19.197,36.782,-37.169,-62.384,-23.641,-9.9,10.898,-2.176,2.45
37.779,103.091,10.356,4.02,25.722,-92.487,-72.432,-12.458,-29.065,20.799,16.539,24.799
38.134,68.177,-21.835,-28.286,21.667,-24.752,-45.778,-37.148,-18.967,28.788,-1.812,11.424
42.623,55.21,-25.206,-16.479,6.571,-32.399,-80.915,-39.053,3.178,9.506,-3.902,-5.28
43.572,51.36,-37.005,16.71,61.58,-18.152,-43.245,-34.121,-2.876,-0.958,-15.807,14.926
36.368,13.181,-43.045,-9.339,23.246,-31.578,-70.375,-10.61,-13.784,8.086,-2.109,-15.799
38.395,31.036,-41.465,-39.959,22.691,-20.305,-56.301,-35.801,-12.382,51.334,9.805,-10.491
41.063,19.504,-66.988,-45.708,-0.091,-43.139,-53.267,-25.136,-18.623,4.894,-10.608,-0.874
39.718,47.332,-20.202,5.894,20.247,-45.627,-44.036,-20.642,5.365,-11.934,-4.159,-6.153
41.709,64.27,-81.459,-14.093,27.264,-21.942,-49.246,-7.404,-14.434,7.814,-14.516,-6.51
41.091,76.088,-73.153,-0.428,-3.564,-25.845,-57.155,-55.468,-6.327,22.838,-18.196,8.37
39.263,-11.711,-91.971,-50.048,18.547,-28.557,-44.299,-15.103,-7.665,12.483,-1.397,4.963
46.483,-10.476,54.32,-1.436,54.616,12.512,39.953,34.245,0.9,-4.494,0.463,18.921
44.706,33.572,-22.31,-32.712,30.027,-17.149,-13.935,8.563,-38.608,10.521,-9.762,5.592
46.94,104.417,-58.924,-17.662,68.284,-7.652,1.45,35.259,-66.407,-8.156,-2.01,9.308
48.678,77.148,30.569,-61.211,54.293,-6.593,-28.892,-5.716,-29.447,34.049,-12.326,-13.302
50.872,63.886,31.541,-32.736,13.018,4.219,-5.584,-21.525,-23.757,-1.456,-0.893,2.256
46.728,42.308,23.519,-35.004,32.037,-4.458,-9.131,7.36,-33.259,-20.646,-5.254,4.74
48.656,5.244,51.454,7.952,26.03,9.76,-1.96,4.715,-29.98,-2.339,-28.292,7.048
44.482,69.596,-48.755,-50.774,88.891,-47.29,-35.639,-0.493,-30.994,-34.674,8.941,-0.169
45.301,20.564,-4.78,13.91,37.708,7.986,-34.65,-9.075,6.806,-21.893,-37.268,-16.138
39.987,50.286,7.696,-50.708,26.201,-8.992,-46.598,-44.498,-13.041,-11.615,-22.617,-0.317
45.738,105.405,-101.709,-69.365,54.709,-47.924,-42.96,0.004,-15.239,-0.484,-0.16,10.283
48.905,57.229,13.375,-80.45,50.667,-13.512,-24.637,-7.395,-29.471,35.221,-0.416,-24.445
49.926,32.942,40.976,-44.889,24.373,25.506,0.654,-6.462,-17.104,-4.016,7.194,-20.172
45.522,73.983,-34.791,-27.927,32.099,-8.39,-10.279,34.641,-19.768,-30.089,-3.229,-1.213
49.483,45.694,64.691,-5.831,44.081,9.656,-6.015,-31.85,-16.821,31.079,-4.546,-14.836
47.562,-21.768,14.003,42.188,33.321,-21.771,18.51,27.421,-22.455,7.439,-39.76,2.802
41.41,10.982,-27.796,-21.525,18.304,-46.2,-5.944,-16.05,-16.643,5.698,-6.885,11.129
45.677,71.47,39.824,33.195,-13.208,-13.324,4.319,6.468,-45.479,-7.134,-18.426,23.447
44.604,84.366,-50.045,-33.001,25.385,-21.844,-20.857,-17.166,-17.722,5.659,3.284,5.354
44.278,45.356,-61.662,1.432,19.081,-30.071,-24.944,5.159,-35.239,-29.676,-12.826,3.783
48.953,28.511,-1.317,20.042,84.1,-23.852,-19.031,15.584,-12.759,14.377,-15.105,-1.232
47.474,56.371,-19.458,-1.627,82.932,3.714,-34.556,40.964,-48.53,29.275,-6.744,0.745
45.583,58.397,-5.805,-46.147,50.511,36.271,-41.247,22.323,-31.559,12.13,-37.076,-20.61
46.463,50.209,-22.65,1.445,90.948,-1.966,-46.544,60.677,-19.147,-2.73,-3.691,-0.598
48.53,62.853,21.359,-41.066,27.906,-8.693,-55.854,-39.314,-47.924,37.034,-12.596,-23.459
48.673,22.426,28.038,14.743,47.482,-31.558,-50.487,28.718,-18.486,3.19,-20.393,-16.609
45.933,29.577,-2.891,-22.076,30.979,-15.136,-58.215,-35.524,-20.564,-2.462,-13.345,-34.133
