0,1,2,3,4,5,6,7,8,9,10,11
11.056,41.373,-24.832,-67.253,-19.203,15.112,9.721,-1.454,-45.875,35.876,12.084,-28.622
40.668,-14.805,54.925,-165.693,21.91,207.823,38.143,26.948,-6.385,43.907,1.379,-22.832
48.741,117.658,-56.635,78.466,21.523,-44.547,-27.201,61.339,1.474,1.205,30.189,-6.936
50.854,43.53,-8.341,9.414,2.344,39.649,16.958,-12.959,-9.3,40.535,3.773,-17.078
49.232,108.96,-67.697,74.658,32.616,-43.137,-27.559,54.8,-0.658,-3.989,33.854,-6.976
47.549,55.558,22.621,-49.279,14.197,76.014,10.53,-28.03,-28.199,44.586,-56.416,-8.528
48.232,113.676,-62.056,58.892,21.234,-70.952,-33.315,61.497,8.034,-16.086,7.407,-3.371
52.119,38.869,-5.244,-14.075,-21.631,1.876,7.844,-6.731,-19.751,43.068,24.147,-20.646
51.971,14.377,-37.438,4.946,26.762,-10.452,-9.53,22.213,2.573,-20.97,-15.285,-22.493
47.682,31.204,-66.421,-16.346,-9.585,-1.101,-23.769,29.125,-7.177,2.984,-44.747,-16.266
47.847,50.612,-72.658,52.65,-2.582,80.902,-18.544,12.479,-11.347,39.083,-27.921,-10.243
50.087,28.035,-7.522,-23.576,-44.061,23.651,6.873,-7.345,-25.461,16.301,31.42,-21.699
50.796,62.977,30.296,-20.805,-69.577,-27.358,-18.835,-3.504,-31.682,-14.952,-11.884,-15.133
48.659,4.624,-76.999,97.463,-34.197,-53.499,-39.611,-11.111,-16.124,-12.032,-74.598,4.009
43.883,-9.437,-25.203,-2.415,-41.48,88.277,-12.453,11.213,-16.346,-10.307,-91.798,-4.581
48.273,33.58,-8.145,-42.537,-16.304,111.201,17.295,-4.534,-14.511,-3.399,43.638,-24.336
49.72,8.017,-45.083,31.763,-39.52,-10.686,-20.354,-13.555,-6.106,-6.852,-10.854,-14.769
49.991,54.949,-78.127,5.61,-14.6,-70.569,-25.162,0.916,-10.609,-2.813,-19.565,7.47
49.303,36.598,-73.294,-2.676,-8.593,-32.805,-13.77,12.357,-17.923,19.198,-15.408,-9.738
45.09,-36.715,-96.217,110.768,-44.927,7.723,-21.246,-26.987,-20.032,7.344,-62.504,-8.358
46.302,26.536,-20.448,6.273,-9.695,126.471,13.711,-6.731,-10.405,-16.598,-12.236,-12.956
41.308,0.44,53.325,-206.086,-57.837,49.851,12.729,21.581,-23.136,-4.712,-29.67,-17.928
47.766,6.571,-81.991,115.146,-46.047,-40.962,-27.747,-21.477,-18.205,-1.666,-65.201,-0.529
42.068,5.147,6.357,-66.471,-52.432,71.739,-3.299,1.99,-24.751,4.266,-97.875,-2.936
47.129,16.437,14.15,-85.346,-10.242,136.085,21.05,21.694,4.277,-34.278,10.823,-35.577
49.981,16.933,-26.265,8.16,-54.501,-40.295,-14.568,-14.793,-17.528,-2.469,-14.55,-14.747
49.009,41.527,-67.887,-0.866,-19.881,26.273,-12.835,14.778,-5.635,-15.366,-22.836,-4.876
48.589,7.416,-72.922,-4.967,-18.687,-46.18,-10.987,3.018,-32.325,7.034,-10.354,-9.549
43.956,-46.033,-113.384,111.681,-26.854,44.757,-23.013,-18.177,-2.877,-11.432,-85.12,-4.501
41.563,-19.622,-8.072,-22.705,-12.814,167.505,20.139,14.628,-0.276,-29.273,-73.282,-15.805
47.543,9.715,3.221,-81.76,-31.312,119.636,10.445,17.688,-3.161,-11.24,46.881,-39.17
48.731,1.493,-85.602,124.774,-23.725,-26.351,-27.752,-27.737,-10.678,-2.761,-72.989,-3.253
42.089,11.949,-13.808,-7.073,-55.601,76.218,-12.515,-20.542,-28.696,-1.886,-116.668,-10.626
49.911,46.89,11.062,-39.623,-21.456,101.0,0.71,-0.218,-12.956,0.737,41.765,-39.64
51.232,46.685,-6.579,13.929,-65.608,14.328,-13.859,-8.273,-23.903,-7.561,-50.101,-11.917
49.78,53.644,-81.943,8.938,-12.981,-66.537,-24.034,-0.614,-9.751,1.345,-7.525,13.153
49.251,30.044,-68.334,3.789,-17.086,-2.931,-12.475,11.648,-19.537,5.316,-5.983,-15.562
44.245,-29.862,-103.961,113.408,-41.242,38.682,-28.82,-2.489,-12.737,-11.07,-71.947,-8.167
48.387,31.365,-45.134,89.337,-28.738,58.086,-15.111,-15.914,-18.428,8.123,-62.09,-11.133
48.293,19.079,20.335,-49.166,-32.6,61.053,13.816,15.977,-7.409,-15.704,34.914,-26.178
50.304,18.073,-59.742,74.307,-36.35,-48.82,-23.246,-16.203,-20.205,-6.429,-50.724,3.474
39.522,-127.173,-40.122,10.527,-50.008,-27.659,3.084,-3.849,-26.221,13.636,8.77,-17.435
47.487,-13.205,-65.005,64.756,-41.191,24.26,-11.705,-16.189,0.198,-15.084,-41.416,-17.481
41.711,-62.922,15.548,-232.145,-23.167,32.333,13.889,67.392,9.302,-25.904,-10.188,-27.659
48.811,-32.885,-22.903,7.634,-22.006,-82.066,-16.149,-32.718,-8.527,24.932,-18.406,-36.584
47.931,-15.294,-29.839,-7.337,8.453,-48.915,-6.551,-34.314,1.802,10.023,-14.788,-41.41
51.629,29.574,-52.728,4.369,11.305,-68.476,-24.604,-17.492,-2.108,7.275,-14.448,-11.683
49.737,-29.702,-63.75,54.724,6.429,-64.714,-15.024,-50.091,1.609,-2.575,-28.55,-7.861
49.134,-5.962,-70.598,18.978,11.542,-59.676,-25.925,-30.86,9.094,-7.689,-32.745,-8.098
48.412,40.43,-67.684,21.404,-25.172,-39.649,-34.748,62.622,0.006,8.105,-27.675,-16.271
49.55,67.196,-20.627,7.387,-8.431,53.656,2.672,-3.525,-19.516,32.29,-27.187,-11.899
44.922,0.205,-38.604,-81.814,10.279,38.522,-12.998,22.444,4.763,41.302,-64.76,3.436
52.757,41.812,11.756,-16.927,12.464,47.628,-8.051,-20.444,-8.207,21.978,2.237,-29.805
49.497,88.637,-78.101,-34.517,-6.395,-63.556,-33.13,96.868,-30.48,-0.229,-34.347,0.611
54.199,27.616,34.52,15.305,30.624,-5.655,10.663,15.757,-4.088,8.779,-5.744,7.258
49.889,-65.618,34.746,-3.913,-0.337,-63.241,60.502,-7.897,-28.713,37.577,-5.021,22.251
53.757,4.309,46.246,-28.886,-0.353,-16.078,34.32,23.744,-29.528,-26.428,-4.231,5.652
54.226,5.931,49.547,-0.143,5.033,-33.204,38.56,13.363,-4.221,1.358,-2.687,26.476
52.132,46.398,-11.275,49.629,27.751,-14.087,10.207,72.742,2.791,3.989,-56.497,25.044
45.708,55.927,-89.273,32.501,33.252,83.272,-6.805,-43.239,-38.929,49.724,-65.845,3.082
52.641,29.388,37.654,-24.719,41.823,73.351,44.142,38.526,1.02,39.141,45.514,-13.455
52.939,26.185,50.673,29.479,47.942,-25.362,45.793,-32.535,-10.19,17.601,-26.304,24.296
53.366,18.876,40.75,-0.176,42.912,3.303,39.991,10.987,1.954,-16.746,3.542,-22.942
52.852,-22.527,12.5,1.32,18.964,-51.175,17.677,6.872,17.292,13.85,2.035,-2.445
54.093,36.656,-3.894,23.373,-10.852,-48.63,1.541,5.311,-2.85,-7.566,14.973,-4.149
48.756,1.268,-44.409,59.693,-57.883,-20.497,-20.725,-9.842,-22.348,-0.149,-62.283,-3.772
44.55,25.994,-46.829,24.326,-27.243,127.748,-11.818,19.523,-8.712,-16.409,-86.445,-6.577
46.714,-22.041,-84.036,85.501,-50.827,-11.301,-37.34,-22.722,-18.354,-1.637,-75.377,-6.461
52.834,37.767,26.12,-33.406,19.981,93.964,42.671,23.484,-4.622,7.917,46.565,-22.678
45.728,-32.527,-72.913,69.299,-48.977,-34.99,-25.299,-12.225,-16.55,9.353,-72.325,4.322
50.408,10.184,32.994,-63.927,65.026,82.726,23.756,17.542,22.067,26.435,47.007,-48.168
51.499,-18.586,9.497,25.512,-6.641,-38.617,1.93,0.821,-29.308,22.556,-15.1,1.065
50.692,32.976,0.277,-80.699,17.771,31.985,17.475,59.432,-17.666,-11.34,-23.702,-2.978
46.209,36.74,-58.33,52.007,-7.272,69.728,-14.951,-27.049,-26.686,29.318,-89.255,3.566
40.631,-55.956,-37.74,-45.699,-15.45,161.881,6.315,15.217,3.087,-22.347,-65.961,-21.348
45.54,8.592,24.106,-202.379,-9.968,110.596,14.699,78.947,8.31,-22.301,22.82,-26.49
52.642,61.462,-18.911,-62.05,17.205,4.553,19.17,-26.095,-34.554,38.348,-27.999,-4.369
52.771,18.294,-12.999,-13.322,7.156,-52.751,12.709,-4.762,-7.534,-13.119,3.649,17.25
55.883,18.972,32.0,11.445,5.263,-58.126,8.695,-12.734,0.771,17.151,-9.121,-29.303
54.323,-8.573,11.263,5.349,12.261,-44.82,6.504,-10.524,15.89,-5.88,-10.4,-23.332
53.528,12.945,7.692,2.46,6.168,-53.205,18.768,27.296,7.04,16.315,-20.79,9.433
51.475,83.126,-94.958,46.244,14.454,2.905,-14.854,26.087,-36.441,6.838,-43.021,-6.381
46.439,-7.652,-80.053,45.333,-20.278,49.321,-12.258,11.038,-6.618,-6.911,-33.355,-19.481
46.588,-5.937,-68.5,25.076,-11.066,106.481,10.413,28.687,-1.019,-46.817,-45.381,-12.739
45.226,-24.18,-64.557,10.341,-30.773,93.793,-1.078,16.018,-1.885,-24.417,-47.72,-16.549
50.22,27.287,-76.607,80.034,-23.669,-27.521,-31.439,2.219,-14.995,6.905,-20.877,-13.727
49.461,4.416,-25.005,-23.767,-37.551,0.306,10.673,-11.272,-8.21,1.394,38.133,-16.33
50.729,29.429,3.811,-33.674,-53.901,-28.899,-18.0,-1.743,-13.901,7.939,-9.051,-23.409
52.152,27.563,-28.575,10.192,-24.149,-66.006,-18.583,-20.177,-10.544,6.07,-16.624,-10.19
51.868,43.244,-16.361,-24.249,-23.854,3.864,-13.29,-9.536,-3.826,-20.738,-20.836,-21.239
49.122,29.244,-48.903,52.219,-58.323,1.499,-17.491,7.395,-20.864,-16.734,-51.548,-13.795
42.836,7.871,-14.959,-91.938,-47.133,42.064,-13.045,27.53,-25.113,-7.989,-75.255,-13.643
46.433,-5.596,-58.326,29.668,-27.075,94.374,8.648,11.547,-10.598,-22.735,-14.055,-23.392
48.796,-18.919,32.318,-133.774,18.445,96.427,18.338,40.453,15.138,-16.093,-8.508,-22.788
52.892,-17.143,28.396,5.525,10.816,-26.31,28.04,-5.0,6.756,10.025,-6.857,-14.026
55.633,29.082,4.322,-10.61,17.598,-44.961,6.934,-1.195,9.443,11.581,4.25,-9.164
53.475,22.027,32.751,-24.104,-20.49,-26.565,-2.184,15.831,-1.213,-0.554,-8.224,-3.916
54.854,21.199,23.233,-7.046,-0.535,-18.383,17.406,-4.028,3.571,-9.306,-16.374,-16.206
51.873,11.859,21.698,7.721,-3.303,-31.481,2.69,37.15,5.154,-0.252,-10.2,-9.341
52.157,95.04,-73.623,59.547,5.11,-28.908,-28.511,51.173,-29.519,9.049,-33.187,-5.993
49.081,56.086,-17.043,-58.4,-24.302,39.06,-0.158,-14.462,-32.54,36.085,6.179,-19.654
48.678,26.584,-70.803,111.16,-41.077,-6.881,-36.336,-18.049,-11.606,-5.912,-85.917,3.164
45.948,16.775,-14.911,-14.307,-41.699,100.985,2.716,1.306,-17.839,-4.957,-45.256,-17.097
45.234,-3.983,12.972,-149.91,-45.526,31.426,0.555,30.664,-13.181,-22.762,-40.526,-7.471
48.863,35.88,12.994,-10.355,-53.773,-7.421,-17.809,-16.973,-10.13,-21.219,-3.06,-19.808
49.412,-3.194,-23.875,31.103,-40.543,-47.601,-20.113,-23.646,-6.747,6.57,-47.738,-10.541
48.078,34.087,-93.124,17.427,-11.236,1.586,-12.274,-0.599,3.6,-3.465,42.618,-13.138
49.633,20.039,-64.391,-5.458,-10.756,-76.678,-23.025,12.056,-24.588,-3.556,-9.145,-11.381
44.47,-45.929,-106.054,111.857,-49.118,-51.639,-30.278,-34.099,-22.977,9.511,-57.766,-4.876
43.358,-1.635,-31.619,-31.75,-10.63,161.375,15.167,16.747,3.106,-44.509,-55.133,-20.331
48.671,21.596,9.91,-58.445,-34.307,57.947,1.834,11.565,-1.714,-16.581,-1.245,-25.506
49.768,30.542,9.383,-10.325,-64.656,-19.423,-4.224,-10.527,-12.641,-9.011,-3.525,-18.657
49.563,8.653,-56.393,82.119,-35.245,-35.737,-21.482,-25.065,-27.55,-11.147,-54.816,-2.16
39.298,-131.263,-37.204,7.548,-54.503,-35.47,21.556,-2.549,-22.0,7.546,3.418,-11.831
44.474,-49.614,-42.935,1.893,-45.387,77.722,5.048,18.659,-0.951,-50.857,-72.616,-4.041
46.28,-9.938,2.489,-161.172,-29.977,110.011,22.46,62.52,11.906,-45.615,-12.001,-26.841
51.435,86.789,18.075,-35.573,-74.988,-20.121,-10.26,-0.358,-15.717,4.979,-3.407,-40.975
52.374,80.01,-0.753,-18.71,-74.706,-55.829,-25.44,-3.21,-21.301,14.229,-16.241,-33.493
52.674,60.814,-23.232,10.497,-33.597,-49.423,-24.642,-3.388,-12.399,1.653,7.088,-19.609
52.058,52.341,-22.363,6.091,-23.411,-38.38,-24.897,-17.273,-20.428,2.968,13.059,-20.356
49.899,59.994,-58.403,14.986,-24.782,-5.41,-31.127,47.254,-14.546,5.305,-28.4,-0.3
48.732,60.287,-61.412,42.394,-7.449,51.42,-8.743,9.381,-24.498,37.552,-2.555,-4.277
47.915,-25.973,-22.612,-35.128,16.998,43.945,-12.814,56.118,3.947,1.054,-55.982,-0.914
52.356,48.923,-19.44,-13.529,1.668,71.577,-12.163,-26.035,-8.627,15.268,-3.594,-17.446
39.925,-62.859,-92.249,62.616,-81.108,-85.571,-43.128,-31.904,-25.112,29.659,-20.939,-23.728
53.191,61.233,-23.392,6.157,1.42,54.681,-21.423,29.37,-18.315,4.601,-4.522,-22.446
52.462,58.476,5.38,-91.846,13.033,54.959,15.491,-14.034,0.961,10.001,7.081,-21.418
53.052,57.814,-0.7,26.55,40.66,-7.783,-6.227,50.555,13.094,-1.242,-40.16,11.823
51.264,100.909,-71.587,-21.247,36.344,-0.127,-32.484,52.107,-30.392,65.042,0.398,-1.444
52.788,-21.751,32.674,5.547,35.491,23.77,51.022,16.063,19.13,-19.288,24.02,-0.726
53.091,-48.718,37.681,32.993,-5.155,-49.187,49.616,-18.002,-17.775,2.216,-18.153,15.946
