0,1,2,3,4,5,6,7,8,9,10,11
9.739,70.259,-60.42,-144.804,7.871,48.949,20.239,-17.06,-39.066,37.904,-81.299,15.49
10.213,43.784,-105.734,-95.631,11.16,40.763,-2.789,20.206,-23.128,-4.425,-96.632,5.166
21.009,32.65,-189.692,139.055,29.416,165.664,-7.126,70.544,-12.885,34.72,23.948,-7.902
35.221,-19.85,-138.083,81.825,-10.376,27.123,-9.79,-18.346,-34.04,53.379,49.471,-2.449
32.117,2.046,-148.971,91.5,5.527,-8.708,-21.198,-19.847,-29.793,-6.743,-24.892,5.885
34.415,-62.261,-137.272,57.836,-4.809,-8.373,-25.253,-9.147,-19.198,49.434,8.123,2.026
31.041,14.276,-136.757,71.958,-8.531,-2.325,-18.059,-30.904,-31.483,7.394,-48.138,0.454
42.18,50.539,-73.313,-64.311,3.152,114.131,24.393,-8.868,-29.295,27.159,72.188,1.52
43.161,57.98,-60.727,-49.03,-9.034,-18.253,-12.205,-8.626,-19.624,-13.329,-2.476,16.883
41.756,83.071,-52.829,-21.048,-27.622,-41.412,-24.652,4.951,-25.124,-12.274,-19.118,10.136
43.856,54.013,-63.014,-32.242,-13.342,-8.553,-7.723,-6.031,-20.7,4.707,-3.778,13.962
42.276,49.553,-62.453,-41.531,-12.759,-32.818,-0.534,-9.792,-22.876,2.079,-8.461,26.044
41.464,75.599,-63.907,-45.984,-0.542,-28.272,3.264,8.302,-32.732,-21.679,-0.037,7.913
42.803,56.445,-71.586,-48.565,-14.14,-3.651,-19.993,1.165,-26.626,-0.85,-14.672,4.482
44.52,59.832,-96.291,-15.668,-13.344,-28.354,-24.818,0.507,-34.31,12.596,-7.767,-5.28
41.336,45.47,-83.211,-43.035,-2.279,-25.223,-14.016,-8.663,-21.161,-1.277,-5.065,7.368
40.954,73.53,-71.172,-46.305,5.073,-43.451,-37.632,-4.834,-14.933,4.411,-2.962,14.374
43.805,40.442,-75.339,-25.248,-12.117,-32.761,-9.904,-5.235,-32.665,8.683,-13.848,16.305
42.415,55.415,-65.233,-36.716,8.251,-31.283,0.643,-14.788,-19.395,7.387,-20.847,33.761
40.878,63.417,-63.642,-47.916,-5.466,-38.324,-23.242,-4.963,-5.902,-1.961,-2.412,20.854
44.086,54.809,-83.365,-32.071,-6.266,-35.087,-19.757,3.186,-28.196,6.215,-1.988,8.09
41.595,59.75,-56.562,-27.485,5.348,-49.283,-2.197,-9.206,-38.482,1.385,-3.3,19.487
44.25,51.507,-64.681,-37.777,-9.008,6.036,-6.493,-16.52,-24.161,-0.039,-4.995,20.848
43.093,47.985,-68.375,-50.224,2.192,-16.762,-22.421,-8.542,-13.133,-6.758,2.252,12.535
41.55,78.563,-50.532,-18.518,-23.907,-38.285,-15.151,5.841,-17.738,-14.796,-10.397,9.69
42.898,45.55,-61.453,-44.636,-9.508,7.969,-3.219,-6.923,-22.323,3.682,-0.209,11.091
41.927,37.816,-66.809,-34.818,-4.66,-38.153,-7.032,-17.255,-19.228,8.466,-11.503,14.006
41.186,85.668,-64.67,-42.115,-10.314,-50.442,-6.424,-4.929,-39.431,-10.099,-3.296,10.317
43.336,39.055,-88.435,-36.904,-11.299,-20.897,-25.195,3.385,-16.608,6.082,4.142,4.419
40.501,60.352,-63.626,-53.597,-6.104,-36.005,-12.226,-10.171,-20.73,6.075,-5.88,14.308
43.77,54.922,-60.634,-35.654,-13.297,-36.944,-27.711,-13.12,-23.295,-10.912,-0.037,11.933
43.24,38.008,-64.099,-16.906,-4.555,-34.062,-27.981,6.866,-11.935,0.163,10.967,5.699
43.338,21.014,-67.213,-42.7,-7.232,-51.141,-29.602,7.97,-1.968,-3.273,0.686,8.082
43.807,55.634,-52.682,-34.559,1.258,-28.197,-14.594,0.428,-25.698,-1.351,12.759,14.856
43.642,45.92,-57.872,-27.591,-11.58,-54.273,-23.1,14.437,-17.494,-10.892,-0.818,16.481
43.64,47.975,-75.046,-26.523,2.116,-42.523,-29.629,-7.926,-20.268,-6.926,-2.613,8.686
40.985,43.963,-69.087,-36.169,3.633,-32.535,-22.735,-14.924,-3.504,-8.157,7.002,11.743
43.754,36.239,-84.937,-28.31,-13.328,-10.245,-12.858,-11.326,-17.987,5.911,-8.976,16.72
40.983,42.343,-52.788,-74.576,-11.832,-12.12,-9.724,14.576,-7.683,-14.865,-11.166,10.599
43.297,41.121,-88.535,-19.276,-8.661,-19.277,-23.266,0.477,-20.117,9.889,-0.497,4.834
41.506,70.67,-67.436,-18.706,-1.358,-34.294,-20.51,-20.559,-24.699,4.595,-13.801,-2.634
43.687,61.401,-79.902,-2.793,-11.49,-22.47,-23.96,0.529,-29.521,-1.324,-12.816,8.376
44.005,70.095,-71.824,-26.22,-5.573,1.586,-1.099,-3.288,-30.994,2.37,7.281,10.446
42.146,76.453,-83.636,-38.863,-6.967,-44.028,-25.729,-12.249,-14.074,-2.425,-16.564,9.049
40.507,73.724,-82.161,-40.809,-10.02,-47.049,-20.949,-14.952,-18.212,8.785,-7.204,16.403
43.759,49.356,-88.492,-24.889,-3.192,-12.372,-15.581,-10.317,-25.593,4.241,-1.427,12.421
41.458,57.907,-79.71,-38.221,-10.508,-41.232,-20.119,-15.472,-12.885,-5.906,-18.16,12.681
39.517,14.233,-69.251,-46.053,-0.234,-32.88,-11.451,-18.702,-8.107,4.245,-0.221,-0.981
43.977,64.111,-70.123,-40.734,-5.644,-27.965,-16.931,3.324,-27.006,-8.551,-14.024,-0.799
41.356,63.84,-17.321,-13.696,-40.25,-56.288,-21.004,-3.196,-33.093,6.874,-13.439,18.237
43.96,47.321,-78.685,-27.28,-18.836,-25.704,-17.553,-11.763,-23.602,11.992,-17.34,13.785
43.906,22.748,-89.603,-28.317,-11.435,-24.289,-24.617,3.593,-21.88,-4.861,-4.102,-0.286
40.222,37.939,-77.539,-51.241,-25.616,-28.413,-20.09,-11.036,-8.174,-2.874,-2.941,6.269
44.692,52.562,-72.874,-39.066,-17.596,-3.258,-10.866,-5.248,-23.365,-0.62,-1.509,9.881
43.663,46.441,-70.868,-47.671,-9.214,-30.328,-8.408,12.832,-27.472,-7.509,-11.554,24.418
42.963,38.36,-87.142,-0.439,-9.98,-8.807,-15.027,0.56,-22.726,-0.629,-11.129,17.083
41.693,37.678,-78.739,-12.029,-10.55,1.958,-13.956,1.259,-27.371,1.274,2.753,4.944
