0,1,2,3,4,5,6,7,8,9,10,11
34.585,144.84,126.25,-45.897,102.18,256.995,60.633,-26.331,13.968,60.908,61.693,-15.534
42.141,70.305,98.65,21.584,62.393,-15.579,-48.573,-27.567,1.328,-0.435,-2.529,-7.26
43.952,103.557,136.546,40.551,82.678,-22.099,-51.914,-24.528,17.025,-2.273,-18.256,-18.164
43.734,82.935,109.754,16.938,72.592,-14.236,-48.076,-13.162,9.919,3.291,9.45,-8.421
43.695,98.307,147.373,40.699,96.841,-4.307,-32.809,-24.446,26.674,3.903,-25.564,-16.311
41.294,46.231,90.275,77.407,78.744,-14.579,-52.726,-32.538,8.542,6.301,-34.231,-5.512
43.659,83.767,103.705,-0.714,59.02,-31.18,-52.8,-10.543,0.868,7.167,12.332,3.325
44.835,110.999,140.079,2.317,79.238,-24.818,-37.849,18.379,14.282,6.911,6.049,-4.685
42.98,60.521,95.743,76.489,82.916,-15.889,-45.277,-46.163,17.4,6.282,-46.267,-16.956
43.803,65.538,114.798,10.411,79.869,-12.901,-50.751,-22.608,10.916,-2.84,-21.961,-7.889
31.26,107.557,-11.181,342.772,81.319,-17.369,-80.897,63.002,13.352,-18.843,-133.784,11.561
40.371,148.792,129.265,56.448,78.21,74.001,18.142,-46.025,19.296,33.388,2.35,1.71
42.251,72.365,102.594,22.315,63.563,-22.906,-50.383,-26.185,1.061,-1.365,-8.235,-6.525
43.988,101.212,134.39,43.878,84.067,-18.425,-53.665,-25.146,16.722,-2.945,-16.973,-18.248
43.785,80.796,109.841,21.427,72.825,-21.516,-50.734,-14.818,9.259,3.034,2.181,-7.14
43.736,98.73,149.127,43.17,95.405,-9.113,-28.763,-27.861,26.344,7.468,-27.563,-16.365
41.32,46.121,89.728,76.646,79.25,-9.49,-49.784,-35.825,10.464,6.82,-30.67,-6.767
43.367,78.273,103.543,5.285,60.302,-25.142,-55.496,-14.483,-0.626,9.082,13.104,-0.315
44.166,89.157,121.081,19.706,75.463,-15.932,-37.381,-8.929,13.51,0.68,-20.997,-5.888
29.799,77.961,-55.061,321.598,60.585,-20.385,-99.152,84.046,3.326,-37.265,-116.6,4.672
35.051,123.574,119.471,-313.617,-5.68,60.029,66.012,-47.247,-32.898,97.759,-41.391,25.46
51.484,82.071,27.885,-14.966,13.691,-16.413,-4.148,2.648,0.661,-1.56,-24.71,-16.721
46.717,98.015,84.901,-1.298,64.807,-29.944,-31.178,18.398,22.125,8.172,-2.832,-15.685
46.832,118.741,97.758,-12.305,86.689,8.936,-40.985,-52.075,-29.545,22.98,-18.414,-10.095
45.457,63.518,123.063,5.064,74.232,-14.013,-22.053,-21.46,17.456,7.569,-18.445,-12.119
48.578,69.906,82.167,35.892,72.079,-26.313,-40.6,-3.653,16.678,-12.276,18.271,20.307
46.075,-24.994,136.22,36.987,89.55,-47.358,-10.204,22.201,-27.805,-10.544,-4.291,-9.296
46.559,84.706,118.258,10.8,106.782,-33.638,-43.065,51.172,10.836,-15.788,10.0,-20.979
46.74,116.596,115.264,18.529,96.486,-5.55,-43.215,-51.656,-16.445,28.779,-15.851,-17.108
50.737,41.004,58.907,-42.811,29.994,-3.495,45.29,15.533,-14.152,46.329,1.682,-19.607
53.215,78.762,14.996,7.236,17.884,-36.598,25.293,23.236,15.619,13.537,-29.596,-16.359
44.824,114.746,90.206,11.647,70.597,-30.828,-46.489,-13.336,11.556,4.891,-5.123,-6.927
43.913,104.304,126.874,26.219,81.152,-13.518,-24.63,-15.526,27.6,9.672,-26.049,-22.696
41.944,77.585,93.276,51.708,77.251,-22.409,-54.009,-19.134,12.755,11.175,-11.623,-8.226
43.038,84.548,105.269,2.456,61.553,-27.192,-57.012,-11.458,-1.931,7.92,11.723,3.671
43.631,90.756,118.008,20.074,75.617,-13.668,-40.337,-8.459,13.641,-1.321,-18.289,-5.4
38.806,69.05,63.747,112.882,68.327,-3.405,-76.097,19.921,7.441,-9.861,-67.295,-4.1
34.343,58.221,139.153,-118.841,57.044,93.655,44.59,-57.325,-38.485,44.032,-63.439,32.519
45.092,-17.956,17.797,30.398,31.205,15.994,-2.94,0.485,-34.967,-19.407,9.593,10.078
51.74,60.252,-4.299,-30.84,-13.386,5.794,9.87,41.897,20.035,-9.434,-0.725,-11.238
52.755,61.385,-11.667,-31.159,12.111,-17.104,15.376,1.85,-13.842,30.463,3.028,3.311
