0,1,2,3,4,5,6,7,8,9,10,11
0.022,170.595,9.159,-29.134,57.376,-50.127,14.644,4.602,-27.398,0.842,-10.448,-6.871
2.23,125.366,-36.606,-47.004,37.929,-45.461,17.009,4.428,-27.694,11.921,-7.752,-6.325
24.916,-23.387,-13.117,-170.099,27.64,175.948,36.125,-40.549,-37.765,69.786,-18.817,7.737
35.333,-44.227,-62.136,-67.288,-4.821,-22.608,-36.005,-5.688,-22.261,-12.857,9.386,-8.614
36.294,-3.955,-38.446,-28.287,-21.005,-32.764,-20.891,-9.517,-40.416,-11.402,3.837,7.19
36.853,67.924,6.829,-22.147,-16.838,-20.88,-21.818,-4.119,-25.267,-19.885,7.456,8.885
39.892,60.457,-14.745,41.461,-12.449,-4.138,-10.236,-11.715,-51.583,-3.984,-20.493,2.665
35.157,39.04,10.075,15.473,-23.796,-24.313,-8.951,-8.254,-32.937,-12.004,6.044,3.823
35.994,-23.773,-30.489,-18.834,-32.219,-21.534,-24.239,-18.399,-40.73,5.62,-22.318,3.999
34.493,-42.325,-41.294,-58.508,-20.945,-29.99,-27.551,1.453,-27.21,-5.419,-1.112,-4.795
35.028,5.937,-0.072,-40.454,-5.499,-29.249,-7.442,-5.325,-36.894,-7.209,3.963,-16.675
42.142,80.107,9.639,15.892,-7.927,1.557,7.523,-9.946,-31.547,-1.369,-8.305,3.169
38.637,68.729,31.828,-15.557,-3.887,-15.332,-2.471,6.805,-33.334,-4.587,-6.409,4.108
38.803,56.202,5.977,-20.384,-3.6,-26.782,-10.932,6.38,-23.061,-6.826,8.741,3.367
37.207,-5.176,-48.019,4.143,-22.723,-41.108,-33.992,-4.163,-21.913,-12.601,-10.135,-1.636
34.479,-18.088,-54.761,-50.082,-20.032,-28.274,-28.323,-9.031,-34.309,-1.363,0.752,-7.455
34.444,10.091,-34.024,-33.828,-9.794,-14.96,-16.676,-12.342,-31.3,-14.24,10.411,-11.007
41.815,89.277,-0.434,24.779,1.442,7.273,10.125,3.305,-35.553,-9.792,21.908,0.188
37.499,-28.306,-50.823,-3.286,-25.23,-48.08,-28.984,-21.643,-30.734,-7.958,-3.705,7.567
36.61,-14.309,-59.138,-16.915,1.79,-12.359,-21.894,-29.964,-23.336,-27.141,3.164,1.768
35.624,-6.907,-39.404,-31.132,3.343,-9.879,-21.991,-17.274,-31.412,-23.73,-6.931,7.329
34.253,-68.511,-31.573,-31.579,-16.775,-33.075,-29.52,-22.831,-39.619,-10.406,2.382,-2.612
35.912,18.807,12.249,-38.257,-27.525,-10.911,-12.136,17.044,-37.407,-25.86,15.103,-5.653
40.765,145.787,25.41,-40.423,-18.95,11.78,-14.712,3.737,-17.161,-16.893,-4.511,19.655
45.168,76.553,0.729,-80.264,-1.98,3.655,-53.32,-59.64,-5.289,-12.393,-13.771,3.778
47.443,132.365,-8.479,9.109,19.7,6.313,-23.365,-11.439,-14.432,-0.753,-17.279,10.118
45.722,61.795,-18.821,36.356,-2.249,-14.135,-21.184,2.708,-48.359,39.685,12.63,8.95
45.696,126.887,-17.079,-14.923,-40.019,-29.028,-30.927,-30.139,-14.909,2.744,0.744,18.423
48.19,11.488,-25.518,-40.345,-23.059,-21.856,-70.361,-0.038,0.344,-3.476,3.815,-34.962
48.149,-2.652,20.82,-19.509,6.609,0.908,-62.984,-39.083,-0.05,1.437,-6.897,-35.613
46.724,-13.891,6.484,15.15,51.454,-42.029,-48.885,22.022,-23.008,7.8,-18.622,-2.809
40.142,50.447,-21.797,-23.278,2.915,-24.337,0.684,13.702,-15.889,-11.505,-15.255,11.779
37.285,12.793,-51.764,-7.603,-13.126,-55.269,-23.873,-21.703,-34.593,0.791,-11.771,-2.942
40.143,103.498,-7.786,-65.15,-30.466,0.646,-6.263,-13.154,-22.009,-10.102,2.037,6.968
44.697,138.294,-8.716,-57.513,54.645,3.718,-34.5,57.618,17.25,-63.175,20.979,-3.65
49.205,48.221,14.769,-36.562,8.95,-9.777,-46.439,8.501,-17.297,22.417,20.982,-15.872
49.712,41.977,22.299,-24.073,-16.967,-10.179,-76.062,-26.545,-4.061,17.123,-10.81,-33.451
50.077,12.848,54.499,20.979,42.843,-2.572,-43.407,2.212,4.516,-7.755,-29.122,-19.351
46.369,-26.6,9.816,4.437,19.732,26.162,-10.806,15.586,-30.498,14.969,-18.487,2.134
46.47,-45.897,6.574,-50.101,15.66,12.484,-49.191,5.111,-16.714,-1.32,-17.691,-12.404
46.745,203.989,-41.952,-50.143,-34.82,-6.385,-86.477,-7.445,31.095,-34.794,9.157,-5.006
48.264,-9.824,4.594,-30.599,16.646,-12.918,-39.002,-4.591,1.389,14.113,-11.87,-10.523
47.078,-27.811,-1.895,-9.926,7.971,-16.348,-21.373,9.583,-15.907,6.624,-33.362,-1.545
39.606,57.336,-29.593,-4.067,-21.537,-32.468,-20.017,-4.844,-40.121,-7.408,-11.585,8.291
35.775,-17.489,-74.237,13.49,-18.565,-33.624,-27.209,-16.948,-26.494,2.409,-13.668,1.765
36.492,88.395,-11.017,-98.983,-9.351,44.918,8.323,11.431,9.78,-41.949,-3.96,11.972
44.133,-25.165,54.82,-81.038,53.852,17.812,4.633,-7.987,0.205,6.141,27.603,-11.827
