0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
2.309,144.824,39.51,-39.511,59.837,-34.794,12.454,-9.897,-42.357,3.223,-12.266,-34.395
8.647,70.203,59.962,34.489,71.077,-41.447,-22.137,32.312,-30.743,-8.799,-15.946,-36.023
10.997,69.358,88.034,61.999,58.198,-24.348,-6.683,23.885,-44.711,-8.215,-18.586,-12.209
13.869,50.972,107.433,60.236,55.203,-30.046,-13.224,24.625,-54.069,-25.548,-6.668,19.767
16.847,51.525,129.5,37.824,52.001,-17.226,-9.1,20.529,-23.119,-11.633,-9.491,-11.973
19.916,47.831,155.324,91.274,98.976,-30.64,-27.945,13.782,-5.443,5.283,-9.872,-24.345
22.819,7.997,144.491,92.998,87.32,-30.467,-18.667,16.244,-25.481,-6.573,-25.586,-3.47
23.779,41.701,135.374,94.839,50.269,-26.759,-6.976,2.232,-33.118,-4.35,-16.883,6.482
23.457,36.76,145.54,72.99,66.944,-36.755,-19.739,7.353,-29.401,-3.263,-18.464,10.169
23.832,24.395,136.523,75.741,58.328,-29.652,-21.42,3.634,-23.001,7.172,1.274,-6.324
29.834,77.635,161.462,93.139,79.526,-20.658,-26.402,-43.606,-21.433,25.414,6.177,-20.892
30.823,69.802,180.624,58.183,60.756,-23.826,-10.885,2.469,-41.516,0.79,17.915,13.147
34.817,67.314,216.084,73.622,73.421,-47.518,-20.158,-29.235,-34.608,5.071,-11.85,-12.285
37.446,44.496,192.905,9.716,85.264,8.446,-13.373,-7.512,-9.969,-23.75,-29.599,-10.961
39.783,4.682,107.653,-4.233,-2.034,-26.806,19.537,19.037,-38.661,-9.946,12.55,24.434
41.487,32.083,129.444,12.23,28.651,-21.584,-0.523,6.951,-33.923,-23.161,4.848,16.42
42.251,12.732,120.481,22.314,30.944,-35.608,-11.398,-6.007,-18.311,3.143,-8.277,-5.691
45.532,-21.535,53.666,-4.866,16.947,-21.556,-7.965,-9.578,-11.132,-4.253,3.517,-3.477
46.084,-8.908,67.945,31.425,2.06,-14.44,22.973,2.558,-29.531,-18.463,-16.985,23.665
42.478,16.739,108.333,19.067,24.194,-35.832,-5.226,-14.548,-30.904,-0.837,4.844,19.852
45.367,8.651,105.138,-38.263,31.776,-36.016,-10.492,37.994,-9.779,-25.667,31.163,0.932
47.061,66.801,148.901,46.916,47.46,-25.754,-12.222,-5.931,-37.699,-11.189,-6.758,26.996
46.24,59.594,121.873,3.583,25.385,-20.315,4.8,-3.072,-29.106,-13.85,5.206,36.001
46.814,58.605,120.622,25.169,29.616,-53.298,-1.623,30.072,-6.136,-22.296,9.215,28.895
46.843,43.256,63.063,13.029,1.027,-28.619,11.196,-1.386,-28.094,9.347,-6.541,34.888
51.372,81.984,100.66,-4.022,-3.34,-11.952,7.663,46.645,-35.969,-19.236,12.349,36.062
46.95,100.952,61.086,72.464,21.33,-38.968,-25.774,-26.451,4.177,17.671,-13.733,16.173
43.149,58.44,93.52,0.078,18.223,-3.758,1.376,1.731,-5.874,-2.01,-29.779,20.266
44.531,-44.5,48.356,-20.836,33.661,-28.49,-0.455,5.785,-23.078,4.277,0.166,15.484
48.322,11.85,42.336,56.306,-2.186,-12.948,15.149,-9.596,-35.038,-19.772,-31.795,44.295
45.345,-11.591,79.389,30.426,1.662,-55.402,16.724,-13.952,-33.875,5.329,-3.124,32.893
44.776,-24.757,33.087,6.256,23.423,-55.0,-2.458,9.717,-38.643,-17.258,14.403,22.185
46.267,37.573,119.389,-4.533,31.222,2.269,10.781,24.467,-26.583,-24.877,-11.453,36.285
44.699,59.309,91.317,10.699,24.592,-22.751,5.334,-14.699,-13.926,11.121,-9.548,21.771
44.041,124.643,90.751,53.787,-51.56,-1.047,-19.618,20.496,-43.268,-43.542,-0.729,-10.477
39.266,115.208,163.085,44.644,11.955,-29.368,-32.072,-6.911,-38.419,-9.735,-8.295,-14.527
40.477,7.52,31.025,13.643,-32.831,-29.936,-33.569,15.525,-23.829,-18.693,9.05,-10.022
40.866,-38.19,37.546,-7.84,-18.89,-42.265,7.514,16.551,-34.984,7.83,1.627,19.889
42.515,106.117,51.826,55.61,-28.606,-48.281,3.478,-18.293,-52.642,0.01,-21.08,-18.183
43.057,-0.702,66.317,-37.503,11.421,27.593,-2.734,-9.616,-24.39,14.585,-19.624,22.759
47.017,-16.611,-4.6,0.391,23.427,21.706,-2.511,30.854,-26.906,-19.351,-11.065,8.143
46.552,87.49,35.017,-44.468,-10.664,38.483,-3.138,0.495,-32.791,22.224,-1.395,5.699
48.246,61.945,21.38,-29.228,3.268,-28.774,-5.225,-73.869,-30.801,28.97,-6.399,19.149
49.989,59.646,18.136,35.435,0.909,11.449,-22.034,35.705,-22.712,-6.678,-25.186,7.305
38.543,52.36,-32.401,47.053,-4.94,-66.499,-22.151,-7.031,-14.471,-6.661,-6.209,-0.478
36.094,-12.216,-65.847,46.276,1.336,7.265,-7.881,-48.323,-27.407,32.901,35.932,3.016
37.955,71.343,23.433,-59.102,-38.293,71.4,1.176,65.746,-33.612,-79.098,-22.901,-12.154
41.004,99.242,15.688,-33.987,24.38,17.667,-2.893,-85.799,-49.558,37.197,-31.954,19.6
44.737,1.656,-19.839,-79.315,-2.873,1.99,-28.581,31.504,-3.011,-23.638,-23.014,-1.665
47.096,0.266,1.259,-18.582,10.382,-9.0,-24.804,1.644,-7.268,-2.938,5.783,-0.459
45.335,99.413,-15.319,-33.886,-8.889,9.501,-6.01,-79.881,-30.278,16.168,-33.82,4.419
41.846,53.97,47.009,-33.823,-23.772,-34.098,-20.456,2.722,-8.778,9.207,14.582,4.021
42.483,48.658,64.383,54.906,5.118,-18.962,-25.932,-29.839,-27.003,-1.752,-30.773,18.81
38.504,6.301,106.807,7.917,36.603,-5.927,5.425,23.07,-8.57,-21.017,13.551,0.302
41.974,-45.347,33.33,-1.12,6.069,-26.484,-14.912,5.166,-16.209,7.27,0.937,10.018
42.912,96.954,54.571,43.312,-14.518,-51.805,2.719,-29.859,-47.501,-5.121,-6.884,-26.743
44.791,70.845,19.556,-28.804,16.259,22.636,-36.089,6.841,-20.976,-24.214,0.459,3.481
46.668,26.205,8.822,-15.261,12.362,2.02,-9.716,-30.529,-46.236,26.453,-15.107,4.427
48.636,16.199,47.379,-18.469,-1.936,-21.075,-24.584,11.815,-24.13,-8.246,9.71,-24.402
48.38,46.68,13.765,17.161,-15.118,-18.675,-41.518,-14.254,-19.728,-10.506,-26.96,-14.645
46.305,91.68,16.193,-97.715,29.154,-18.579,0.914,-52.764,-22.607,-3.226,20.994,-20.693
51.591,84.889,28.567,9.718,-34.2,-23.795,-45.279,-12.626,-37.696,-6.958,-21.067,-26.304
45.606,42.208,-16.87,-2.705,-18.762,-0.578,-44.182,22.255,-17.369,-23.647,-26.687,-2.248
38.118,-19.451,-35.752,20.452,-36.021,-73.647,-33.286,-14.905,-25.201,25.414,-7.236,-0.868
38.014,117.051,-79.631,-16.3,6.229,-6.727,-25.339,-23.949,25.204,-27.89,-7.143,9.364
34.052,83.275,65.545,35.476,57.674,-38.925,-8.554,-1.906,-47.824,-6.661,-22.417,3.697
36.6,-30.856,-85.611,35.437,-12.52,-77.304,-37.744,-40.346,-31.872,43.137,-1.517,0.513
36.791,49.279,18.424,-100.721,-40.984,28.121,-10.766,55.36,-26.01,-47.245,-19.274,-8.51
39.452,69.225,10.236,-42.648,-34.264,27.89,-25.683,-7.797,-47.151,-14.875,-25.05,5.544
46.044,78.728,7.814,-23.444,-47.727,58.635,-28.195,-14.251,-35.072,-2.685,-37.857,-17.699
45.152,107.547,-71.343,-16.87,6.631,17.961,-31.175,42.732,-40.49,5.509,-42.602,10.498
49.762,128.296,35.297,-13.09,1.607,59.52,-50.092,24.272,-42.129,34.804,-1.949,-7.57
47.208,65.769,-38.168,8.358,-12.458,8.924,-37.413,-41.415,-28.508,9.957,-23.825,-15.688
