0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
33.076,247.232,118.867,-203.038,84.423,239.718,34.801,14.992,-23.684,31.396,47.755,-6.272
45.733,274.596,115.441,17.198,40.955,-18.952,-35.208,-38.619,-47.066,-0.91,-25.462,27.943
48.095,88.329,-75.212,-1.127,-35.541,-43.778,-19.727,-19.089,-8.511,28.015,-23.47,20.919
45.678,57.4,-116.343,124.943,-17.98,-45.561,-69.873,32.83,-3.245,-25.125,-99.422,22.382
48.285,111.169,-20.699,-26.84,26.445,108.871,5.794,12.802,11.466,35.967,63.45,-19.135
51.107,69.319,-39.227,-8.959,-5.86,-46.926,-28.757,5.905,8.778,15.99,15.154,-0.465
49.897,81.649,-46.454,-36.143,-23.82,-65.334,-16.496,4.915,12.982,23.363,-16.663,6.556
49.183,80.331,-35.425,-44.815,-7.347,-37.238,-18.356,-0.808,20.873,9.94,-11.734,-0.17
50.962,88.622,-40.927,-31.376,-8.593,-4.534,-14.86,15.196,10.567,5.694,-10.257,9.205
49.611,93.458,-18.751,-42.663,-19.402,-34.316,-5.677,-1.988,20.465,6.464,-9.449,2.685
49.475,89.508,-44.802,-26.081,-28.147,-40.213,-10.635,-7.825,6.658,11.64,0.899,0.246
49.802,87.965,-48.17,-33.539,-24.089,-24.199,-14.145,-8.762,18.225,1.351,2.806,3.107
50.04,77.895,-33.021,-44.58,1.521,-5.533,-23.857,10.117,27.741,5.921,-14.272,-1.688
49.83,81.599,-44.04,-35.845,-26.495,-60.58,-20.078,8.147,15.741,15.735,-0.238,-0.831
49.457,85.665,-47.906,-33.082,-27.494,-53.096,-10.529,-6.264,11.365,22.097,0.735,6.611
51.552,82.336,-40.591,-19.344,-3.326,-22.621,-21.851,5.941,10.273,15.452,20.58,4.257
51.686,83.352,-42.549,-18.544,-10.585,-20.439,-23.042,4.389,7.791,17.201,5.993,10.447
52.642,72.006,-33.106,-17.886,-9.151,-47.968,-29.948,4.598,5.688,11.757,15.516,6.316
51.894,80.637,-42.399,-12.254,-10.109,-41.895,-28.946,9.116,5.021,6.851,13.947,7.44
51.834,60.712,-0.377,-18.682,17.672,-6.817,27.508,-9.902,14.501,30.607,-21.798,14.87
52.123,37.716,-3.259,32.758,23.769,-60.133,28.851,22.69,10.469,23.608,-21.485,14.797
50.14,54.464,47.38,7.563,82.449,-13.81,40.824,-5.885,18.563,8.276,-27.992,13.555
49.421,80.705,-20.984,-4.198,64.349,-13.477,-44.232,50.775,0.878,-22.972,-10.469,-1.434
51.142,70.213,-34.151,-21.146,54.72,33.47,-13.626,1.818,-4.666,44.548,-0.654,8.501
48.473,49.61,-43.825,14.332,21.469,-28.95,-24.081,-29.992,6.269,0.82,-12.927,15.334
50.854,81.409,-38.609,-25.187,31.629,-32.456,-49.695,-37.798,18.782,-11.455,-8.548,-3.261
51.846,90.632,3.172,7.161,4.541,-33.543,-21.561,-3.237,3.965,0.508,-20.399,-16.354
51.6,65.94,4.886,-31.323,28.898,-0.063,-24.803,-19.352,2.246,29.494,-3.809,-25.094
53.352,81.29,-15.702,9.897,12.598,-56.639,-39.998,33.159,18.787,-22.224,-17.548,-5.064
50.556,91.938,51.09,4.724,63.71,15.094,-53.773,-20.626,2.824,23.644,5.205,6.997
50.411,71.016,42.776,-32.726,35.69,-27.16,-3.478,24.767,10.313,-5.971,-11.093,19.457
48.97,100.161,-45.325,4.592,26.813,-39.666,5.788,-27.545,0.875,19.13,-30.173,12.643
51.829,56.301,47.284,2.533,36.043,-11.219,-57.016,-22.414,-7.464,33.533,-32.399,-22.676
46.28,12.928,-3.855,74.291,62.458,-75.095,-56.432,-2.321,-5.364,6.139,1.535,-7.012
48.153,72.958,10.204,-108.326,80.655,15.511,-21.774,-23.934,18.823,12.745,-22.307,21.819
49.612,17.659,-11.484,7.398,86.069,-20.738,-40.489,-15.852,-11.993,-13.73,-25.543,26.745
50.925,36.916,37.521,-5.971,95.501,-12.432,-3.696,4.032,24.197,16.756,2.687,6.35
49.355,45.229,37.594,35.195,80.927,-12.293,-21.095,3.598,25.174,0.242,-29.338,-0.034
51.015,116.464,-2.608,-1.685,12.571,-8.955,-33.124,-42.218,8.471,31.526,-33.605,4.997
47.991,122.276,73.907,9.162,46.536,15.577,-38.418,-28.154,-2.527,-2.364,10.07,-3.93
49.621,81.519,25.75,-38.475,32.842,-0.532,-23.353,-13.723,5.738,15.854,-28.632,16.777
51.375,100.355,14.388,-41.159,38.028,-8.577,5.099,-46.307,11.528,11.224,-30.095,-7.565
51.673,23.377,19.396,8.576,44.665,-39.12,10.621,6.567,25.027,28.257,-8.637,-3.174
50.685,56.894,35.927,-1.415,71.926,-25.36,-39.819,-13.228,11.996,4.996,-18.637,-21.537
50.227,75.005,69.72,17.814,95.416,-20.088,-25.018,8.671,11.77,23.298,4.793,-4.806
49.501,110.566,55.231,-8.704,69.717,-22.406,18.951,29.926,-7.617,5.871,-25.408,12.707
49.174,-15.231,-35.435,33.135,20.45,-56.805,-7.705,-15.906,-7.833,49.333,-16.561,-11.066
48.66,6.788,50.816,-64.126,43.118,-15.749,-1.428,13.085,-4.891,-20.389,-4.395,20.34
51.435,61.575,-18.2,-10.241,48.712,-41.16,-73.827,37.038,28.6,-6.89,2.081,0.822
51.137,92.646,-48.221,-24.748,17.732,6.727,-33.417,-7.717,-5.34,20.914,-31.607,15.713
51.678,54.791,44.052,-13.145,53.735,-5.989,-21.159,-4.869,-22.952,26.985,-1.304,6.836
50.981,30.876,7.677,7.722,38.577,-6.162,-4.331,14.189,-35.221,-3.5,-20.311,23.891
48.553,113.638,-27.089,4.694,81.706,-18.453,-45.883,31.807,2.719,-9.998,-5.968,-14.257
50.616,73.413,-10.378,-18.754,35.11,11.215,-22.101,-8.173,0.933,38.514,-2.192,-20.889
46.032,84.77,9.425,47.331,58.264,-19.944,-29.574,-39.714,-2.949,-2.121,-34.04,6.175
51.222,74.745,-13.951,9.267,19.108,-31.851,-30.859,18.875,-31.805,39.329,-0.919,-17.643
52.79,44.237,-23.312,27.638,31.095,-27.013,-12.12,22.041,-3.248,7.399,-8.692,3.124
49.777,19.501,2.699,20.91,55.863,-32.573,-39.174,8.255,2.023,30.044,-21.012,18.665
50.049,80.606,-13.257,-21.337,39.035,11.61,1.4,5.89,11.239,-15.835,12.325,9.242
48.868,74.592,27.816,13.769,42.715,0.26,-12.235,-46.734,-7.775,19.157,-16.157,9.489
50.839,74.503,-18.713,-4.07,31.974,-32.402,3.212,5.781,-11.987,28.243,2.312,1.407
51.057,63.736,-9.398,-15.621,18.101,-11.751,-15.518,-11.88,-11.641,22.654,-7.99,-28.31
50.597,79.893,-1.921,-8.728,50.546,-23.222,-17.644,36.068,-4.483,8.931,-1.336,-8.518
49.521,75.865,-14.62,2.47,40.072,-13.584,-16.169,-37.113,-23.233,46.238,-9.04,24.842
52.209,54.977,-16.568,34.041,27.471,-48.369,1.807,30.244,5.614,-17.314,-17.25,23.726
50.81,88.996,18.574,-17.462,9.989,-16.01,-42.71,-18.49,-11.222,24.44,-12.471,-14.317
52.127,74.964,46.155,-9.201,35.82,-5.268,-47.788,-21.403,-7.942,18.674,-1.795,-29.087
50.037,37.017,-2.012,44.966,27.833,-52.75,-27.324,-4.597,21.695,-2.34,-13.612,-1.389
51.532,60.482,25.291,-18.229,31.891,11.891,-9.771,-3.857,5.197,15.402,23.375,-30.357
48.846,141.39,13.081,-13.458,26.231,-30.99,-41.854,-45.762,-6.222,-11.704,-5.332,-6.023
50.186,103.092,10.749,-43.547,32.566,-1.59,-27.081,-16.245,-0.961,13.195,-7.035,17.608
50.634,67.577,-66.207,-24.59,33.191,-17.315,-57.966,-21.32,-16.656,29.897,-44.361,-10.86
50.386,29.29,-2.497,38.354,55.71,5.497,-33.648,7.097,-8.5,20.605,-26.637,-0.716
38.931,192.379,30.44,68.971,43.557,49.965,-19.342,-24.675,-28.637,-13.358,-72.603,-20.436
44.568,116.931,48.801,-93.92,39.387,162.305,38.92,-38.034,3.718,24.465,2.551,-3.132
52.524,60.625,-30.426,-38.245,3.861,-7.026,-13.851,15.637,-6.441,20.63,-9.026,7.446
52.568,105.709,-25.912,-23.428,34.448,-0.927,-47.971,-22.596,23.268,12.388,-22.745,1.646
52.16,79.401,1.534,-13.378,31.194,12.393,-39.893,20.145,-5.935,40.539,17.235,-0.188
51.996,65.584,5.464,-13.826,38.353,-14.19,-73.65,-49.478,21.164,-12.357,-13.434,-8.936
51.134,66.888,80.562,-18.606,78.968,-26.122,-31.85,28.037,-1.625,-3.298,7.851,0.961
51.847,94.359,0.403,-9.165,25.688,-34.794,-30.243,-16.192,34.175,16.83,-16.53,-15.44
47.195,104.3,11.302,27.827,62.839,-28.076,-27.145,-30.239,-19.25,-9.943,-31.99,7.951
50.992,54.113,20.931,-16.064,55.506,3.585,35.285,-0.355,21.438,24.846,-26.095,22.857
52.15,47.042,-49.067,5.78,25.781,-17.588,-15.369,9.973,3.836,-8.242,-1.854,21.4
48.457,65.798,-21.544,-21.459,49.583,-25.843,-27.954,-23.333,4.27,28.677,-3.306,17.403
50.079,62.772,-2.516,-15.655,54.598,-4.94,-16.084,0.539,12.495,17.216,-3.41,4.802
50.445,87.985,22.487,-3.066,64.402,-14.972,-39.325,41.383,-22.836,24.48,15.814,-6.588
53.251,81.577,-17.349,-37.355,29.461,-35.28,-21.727,-8.757,-10.552,5.235,-9.453,-20.601
52.552,95.77,-41.686,-41.056,17.062,-33.084,-33.575,-14.247,-6.995,2.497,-9.777,-17.367
51.597,102.933,0.545,2.99,49.135,-12.644,-19.558,-34.576,11.174,2.187,-28.377,14.157
49.992,117.176,-37.38,24.384,41.156,1.04,-54.666,6.279,-4.78,15.203,-31.042,6.945
50.691,85.444,-32.43,-33.159,49.573,46.487,-10.767,0.26,-0.75,20.56,3.893,10.121
49.526,22.295,-21.945,-34.805,39.196,-16.117,-11.99,-3.275,9.273,-7.243,-21.889,13.835
49.897,46.853,34.36,-68.309,65.459,-25.475,12.302,-5.547,14.37,-8.557,-0.362,5.381
