0,1,2,3,4,5,6,7,8,9,10,11
15.872,94.333,25.023,-122.988,58.08,169.597,29.165,-8.042,-32.864,32.686,-99.756,11.988
31.717,52.209,-37.604,119.319,8.177,-65.473,-41.528,-6.56,-20.462,-7.959,-26.264,6.623
40.519,-34.873,-52.555,65.763,-16.592,-52.643,-0.762,-0.561,-5.095,-14.199,-3.42,20.21
33.432,16.371,-78.022,51.401,30.718,-74.92,-0.869,-54.069,-30.879,2.344,-19.809,-1.027
41.045,136.976,-0.537,-4.321,-6.47,-28.184,-13.834,-0.486,-40.125,-5.313,15.592,4.316
44.369,51.036,-37.292,53.996,-11.347,-85.612,-18.143,17.163,-0.708,-14.365,-0.645,5.868
36.552,55.324,-10.829,-1.832,38.338,-57.186,-10.737,-33.497,-13.516,4.165,-3.079,-7.685
41.363,-32.084,-39.411,59.674,2.635,-41.562,-13.389,6.946,6.118,6.01,11.25,-9.378
35.261,-25.195,38.366,9.434,29.278,-43.127,-42.289,-18.412,-22.739,8.573,0.531,-33.208
35.817,45.431,-59.858,18.498,-7.022,-52.212,-13.549,-46.955,-27.726,9.643,-12.148,-10.073
44.727,128.443,30.301,-3.332,26.607,-5.071,8.334,7.895,-12.322,-0.334,16.792,-23.233
45.715,49.742,-40.073,60.347,12.019,-69.302,12.876,11.611,14.831,-14.27,-13.745,17.983
40.232,92.026,13.453,-9.572,25.757,-42.956,-11.376,0.577,-5.431,-5.44,0.763,17.093
43.733,-17.027,-28.041,87.115,-33.421,-43.759,17.185,-4.921,-21.519,-26.227,-17.58,10.9
36.486,-22.932,-47.844,37.606,29.044,-44.524,16.124,-40.654,-27.034,6.603,-1.718,-11.762
40.549,42.349,2.692,-20.819,14.123,-22.529,-1.142,-24.469,9.018,17.738,2.935,3.027
44.839,-16.581,-48.452,68.491,-12.446,-95.663,-15.523,-16.916,3.81,8.73,-5.95,3.82
38.23,-70.662,9.527,14.818,35.765,-58.272,-32.305,-12.826,7.23,8.685,-11.868,-21.46
37.223,48.717,-33.296,-4.525,28.695,-47.695,-11.711,-25.175,-7.753,-1.49,-2.317,-14.188
39.841,68.59,-41.902,52.334,2.592,-68.627,-11.305,-27.794,-18.013,11.737,-2.066,10.716
43.004,-27.719,-41.311,62.11,4.625,2.813,15.288,8.631,-22.383,11.754,30.83,-5.753
36.842,7.53,-63.085,39.525,25.964,-68.581,6.985,-61.149,-29.123,4.367,-17.483,14.825
37.242,-24.269,-23.104,44.577,8.823,-17.529,-8.312,11.02,-7.714,5.42,18.029,18.321
49.568,64.486,-36.83,11.742,10.046,-40.234,1.226,-10.351,-2.671,-17.022,8.405,-2.853
45.812,27.144,27.918,-53.925,-11.635,-16.049,2.079,5.313,-15.502,-7.026,-10.35,-5.394
46.663,-44.065,-12.14,34.979,-9.658,-70.349,20.516,-14.642,1.825,-1.017,10.762,12.052
44.777,-13.72,25.924,-12.465,36.757,-15.186,-34.731,-4.769,15.617,-17.274,0.971,-2.357
46.848,65.069,13.824,-6.367,78.881,-56.479,-9.397,-10.365,-11.918,-2.557,-11.211,-4.804
48.45,1.127,-14.574,23.181,11.765,-76.206,-22.687,-3.51,4.251,-3.14,-9.854,14.855
43.952,-27.401,59.725,12.396,55.017,-28.011,-15.355,12.679,-18.994,-13.003,-6.195,30.366
43.495,-8.3,58.977,5.376,29.646,-6.913,-43.09,3.16,-17.371,1.901,-5.081,12.727
45.091,-47.958,2.14,27.911,20.234,-54.229,9.402,7.861,-5.915,-0.63,20.024,17.252
41.319,-18.435,19.669,30.807,68.256,-20.613,-8.398,-40.432,-28.655,-20.368,9.487,9.596
48.029,73.791,66.012,12.987,77.432,-29.194,-6.899,-13.007,-15.06,5.959,7.654,19.253
47.006,8.851,-25.415,63.89,11.734,-68.842,11.203,1.214,9.131,-14.371,-14.817,11.874
45.177,107.025,37.753,0.418,43.432,-32.724,-11.053,-3.573,5.392,-0.306,11.073,-0.799
44.878,52.195,52.782,20.609,75.27,-33.533,-11.285,-5.456,-20.141,2.73,-8.976,36.414
44.875,-37.047,-48.164,64.914,-0.207,-65.049,10.188,-15.132,9.687,-25.306,-12.875,7.051
37.206,-56.933,-43.741,25.626,41.491,-73.838,12.777,-42.771,-19.265,8.194,-10.574,2.665
40.161,-3.413,1.107,1.866,18.612,-15.142,3.624,-9.64,20.696,-33.121,16.392,-2.505
44.176,-23.107,-53.007,59.654,-18.742,-107.618,-16.341,-11.17,-0.697,10.673,-9.77,8.465
38.802,-78.226,-2.286,33.322,23.038,-63.966,-14.904,-16.452,-6.383,12.325,-0.377,-8.856
37.047,-17.428,-31.631,44.549,62.184,-18.817,21.087,-4.06,2.814,-37.655,-3.949,-4.911
39.858,44.87,-32.286,61.86,17.209,-68.137,-17.019,-32.307,-10.124,12.13,-16.994,1.168
41.95,-43.381,-36.644,49.135,0.762,17.569,14.491,16.188,-9.06,14.351,38.172,-9.761
36.993,12.193,-21.925,-10.87,36.132,-16.068,17.816,14.569,-8.755,-36.246,-28.32,12.958
47.765,113.412,39.185,11.066,52.641,3.408,30.592,9.572,-4.907,10.791,21.537,-0.141
47.829,83.504,-48.275,23.527,14.351,-87.937,6.07,27.12,-28.512,-34.676,1.758,-16.902
47.278,77.174,38.752,-10.09,37.327,-9.32,-10.569,-8.343,-7.86,25.782,-30.114,21.864
50.336,112.462,-13.969,-60.453,61.081,27.416,2.258,-44.894,-27.535,63.613,-27.843,14.938
48.925,63.713,37.175,-66.08,38.238,-36.4,-19.007,-5.573,-1.704,14.45,10.664,32.578
51.341,74.351,51.052,-24.427,37.987,-21.543,-69.235,1.769,-1.068,-2.732,1.661,-9.486
49.145,45.826,-36.588,37.723,-2.215,-68.337,-56.483,24.826,5.0,-13.518,-14.402,-11.49
43.008,14.499,-38.023,4.282,29.734,-7.819,-24.7,10.958,-38.943,12.696,-35.335,4.681
42.722,131.937,-5.046,-82.635,39.892,21.806,-19.552,-43.198,14.558,-56.652,-17.067,-20.36
45.63,-54.089,-40.269,-14.259,-3.381,-74.272,-18.755,-2.901,-4.779,-15.133,-5.689,4.633
45.66,-30.747,30.4,-49.005,27.323,-12.67,-18.579,-0.394,-21.078,-11.958,-19.777,-11.001
45.288,159.773,-3.326,-18.921,51.801,24.791,18.969,1.177,-20.382,-6.848,16.488,-27.363
50.442,74.003,-25.476,-8.732,10.744,-27.288,-49.214,34.526,2.336,-12.515,-18.955,4.832
44.927,104.598,-28.526,16.386,18.902,50.045,-2.434,-93.267,-30.029,29.065,-71.507,19.626
44.509,53.57,-26.482,-2.661,-22.001,-14.86,-26.892,-60.298,-19.093,35.745,-27.913,-2.443
43.409,-26.219,-19.405,-75.933,8.352,-21.66,-6.848,15.799,-0.257,-17.598,4.668,21.048
46.0,2.297,-30.286,-27.777,3.867,-4.714,-14.303,2.544,1.159,-7.498,-36.358,13.59
41.153,-30.256,-24.707,-31.279,-13.831,-20.819,-12.049,-4.639,-14.367,-18.486,-16.828,-13.549
43.713,18.842,-27.923,-76.589,19.119,-23.217,-15.911,-10.418,-23.859,2.984,-6.571,-21.029
46.365,13.511,-13.587,-4.508,22.012,-51.507,10.703,-29.027,-29.519,11.314,-24.238,-6.903
