0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
41.881,18.018,128.742,-7.025,70.764,111.639,40.455,30.609,9.379,42.521,77.982,-30.224
45.226,38.248,154.903,46.002,57.178,-31.677,27.455,4.544,6.499,-7.679,2.174,-9.661
44.097,5.351,135.989,39.166,45.291,-17.125,15.203,-6.43,-10.693,-2.858,-13.155,-13.803
44.492,27.661,144.654,60.264,45.672,-11.34,29.146,-5.835,2.592,-20.918,-3.25,-12.44
44.102,28.353,163.626,33.801,46.784,-12.156,26.622,6.897,-5.828,-15.199,-3.389,-5.221
45.116,35.98,147.138,45.66,53.396,-16.737,5.913,-8.215,-5.117,-19.483,-0.547,-5.9
44.397,39.865,153.801,40.956,48.663,-19.738,13.133,-3.762,-6.619,-12.255,-12.585,4.548
43.536,22.851,159.841,60.002,47.03,-42.868,34.774,-4.835,8.482,-15.529,-16.682,-7.707
43.892,38.125,165.748,58.305,56.443,-27.684,14.086,1.258,-1.39,-16.031,-3.883,-10.175
53.131,54.34,52.167,-55.622,21.648,59.405,29.6,28.182,6.682,-14.731,17.367,-11.731
55.741,100.114,3.697,-26.759,-9.03,-29.326,23.906,16.941,-4.705,-10.741,-0.227,8.565
55.24,71.116,-6.678,-24.925,-19.355,-63.654,20.356,-9.946,-23.121,7.631,-20.369,5.004
55.829,72.101,-2.52,10.557,1.374,-61.175,-2.283,4.541,-14.5,-1.036,-5.383,1.078
54.412,78.554,8.893,-0.89,-23.72,-46.373,23.563,-8.192,-19.783,1.864,7.585,3.06
54.256,58.993,7.994,10.451,-19.645,-50.55,34.177,-14.197,-5.578,8.445,1.245,6.492
55.471,56.57,-6.434,-1.974,5.086,-67.447,-9.902,-2.133,-13.033,-3.059,-17.324,-0.737
54.311,60.653,3.646,-8.732,-21.259,-27.852,22.283,-2.718,-13.165,-9.371,3.947,-4.492
53.382,65.349,-10.522,-11.948,-29.62,-61.637,17.834,-20.892,-13.034,10.193,0.618,-3.26
55.691,70.109,20.579,14.928,0.694,-63.457,-3.86,8.432,-13.438,-9.355,-4.733,7.136
53.762,58.579,-13.874,-7.198,-38.283,-42.684,18.651,-16.925,-26.729,8.925,-1.637,5.326
52.833,33.171,-15.013,-21.953,-20.231,-22.601,12.986,0.153,-2.632,-19.467,-20.24,-2.711
54.209,49.803,10.546,-35.273,-13.777,6.068,15.916,26.778,-9.994,-22.829,-9.762,3.519
54.158,70.429,-0.708,-5.18,-26.442,-55.082,16.671,-5.262,-18.485,0.931,-16.986,-4.256
53.513,59.858,19.963,-4.812,-16.658,-22.278,30.885,-11.1,-13.143,-7.579,3.657,-12.252
55.645,59.986,9.74,14.742,12.129,-65.855,-6.482,0.269,-5.341,0.245,-10.931,-5.655
53.998,72.642,0.553,4.227,-32.939,-47.479,12.95,2.818,-15.784,0.145,10.678,4.419
53.007,50.02,21.252,-25.907,-24.895,-26.158,20.597,-1.355,-16.23,-8.858,-3.662,-3.27
53.952,56.747,17.181,-5.181,-45.787,-53.017,22.209,-5.679,-29.026,8.631,-4.956,1.73
55.409,59.443,-1.908,9.024,12.417,-52.919,-8.119,-1.857,-5.028,3.835,11.436,-1.132
54.217,68.66,9.971,-6.687,-29.565,-53.694,17.291,-12.716,-26.333,9.313,-0.756,-1.106
53.513,51.966,-7.971,-9.309,-24.534,-28.185,20.604,-8.476,-2.153,-7.511,3.853,-10.179
55.993,62.448,4.515,8.847,1.615,-42.1,-2.347,-1.251,-19.264,-0.195,5.687,5.403
53.668,57.06,-5.131,-5.128,-25.509,-25.013,23.748,-4.324,-7.33,-16.593,1.968,5.951
53.287,58.967,-10.288,-22.262,-13.779,-60.95,19.672,-7.038,-25.808,14.548,-15.497,5.667
55.558,64.247,0.495,8.783,-1.693,-59.915,-6.394,-0.292,-16.084,-2.907,-3.567,3.865
54.064,56.859,-1.68,-1.115,-32.412,-59.38,23.825,-15.554,-25.924,6.986,-5.229,6.476
53.882,56.393,-0.239,-8.105,-30.985,-33.164,27.153,-17.666,-17.845,-6.103,3.781,-4.942
55.263,61.648,3.378,9.988,1.332,-20.632,-0.198,17.341,-6.03,-12.14,16.948,-12.056
54.15,83.4,10.022,0.967,-23.832,-41.287,16.337,-0.295,-18.489,-1.982,3.826,4.621
54.035,62.543,1.919,-7.711,-27.476,-23.489,28.197,-4.606,-13.38,4.994,8.616,-4.149
55.025,54.461,10.562,-22.936,-0.932,-4.05,3.12,18.759,-12.247,-7.961,-24.056,-0.533
53.649,67.685,6.906,-19.416,-15.981,-22.406,30.445,2.173,-0.902,-16.02,-17.426,-3.259
53.812,63.602,1.921,2.967,-41.885,-30.634,25.007,-15.361,-21.96,-10.401,11.213,-3.31
55.508,61.264,15.094,8.104,9.123,-11.865,10.804,2.97,-14.446,-11.156,17.35,0.772
53.191,60.132,1.62,0.849,-39.79,-49.146,18.569,-15.58,-19.341,-0.674,3.177,-4.448
53.472,59.196,-3.659,-22.894,-23.806,-32.037,22.462,-8.608,-2.435,-7.05,14.065,-7.765
55.493,112.489,4.469,35.238,-5.188,-45.221,-33.749,23.432,-18.159,-12.516,-32.322,-2.434
50.679,136.513,8.182,-48.293,17.571,46.938,25.825,-70.954,-0.34,15.318,13.432,8.321
52.251,60.166,14.718,48.938,38.754,6.78,18.246,5.771,12.552,9.55,-60.549,27.005
51.297,147.433,15.43,-18.1,-59.95,79.872,0.425,6.589,-23.998,-10.981,67.822,-35.14
53.354,69.944,-3.69,57.75,-37.683,-37.903,10.16,-0.334,-35.71,22.661,-2.201,12.639
52.5,81.921,100.059,3.563,-29.98,4.396,52.865,41.678,-35.777,-26.53,18.289,-14.943
54.33,52.38,34.674,-5.733,-57.379,-70.185,26.037,6.508,-55.265,15.769,-14.896,-3.67
50.1,101.486,0.901,84.947,-33.591,-32.006,-14.883,4.718,-12.397,-24.602,-30.991,-24.671
