0,1,2,3,4,5,6,7,8,9,10,11
1.588,138.144,-34.701,-47.608,31.707,-52.142,14.142,4.878,-30.502,-2.479,-4.142,3.423
37.121,123.65,103.4,-180.786,44.403,141.265,58.426,-66.3,-18.43,65.694,21.673,-11.414
47.156,12.862,67.538,10.172,5.138,-39.065,3.2,-9.291,-1.958,1.686,-14.318,-16.735
47.343,20.302,80.935,12.989,15.189,-34.831,-6.741,-10.353,-0.567,5.221,-21.578,-19.356
46.446,2.44,68.575,21.937,6.665,-42.545,1.955,-20.963,-8.263,6.958,-17.172,-14.133
47.476,6.066,65.458,-0.512,5.639,-10.32,-6.333,-0.867,-2.394,-4.633,-1.837,-7.434
46.754,22.432,64.551,18.632,-2.017,-37.075,-7.889,-9.58,-15.048,-6.004,-7.426,8.448
46.976,18.722,79.025,11.572,13.152,-13.823,5.285,-2.735,8.655,-10.333,-0.525,-8.23
47.234,23.896,77.613,28.42,8.808,-41.512,5.577,-5.522,-3.268,5.627,-8.847,-13.03
47.553,22.111,56.068,15.375,2.19,-25.869,2.612,-3.68,2.181,-0.39,5.736,0.719
47.078,14.485,69.91,20.365,-0.147,-32.167,10.233,-7.394,1.638,-5.689,-22.588,-6.594
46.901,15.858,60.066,21.298,2.243,-26.694,6.29,-19.234,-9.412,2.286,-16.025,-1.629
47.048,26.03,63.788,2.207,-4.846,-32.083,9.639,-15.026,-1.819,8.147,-1.395,-4.181
47.026,43.29,65.2,13.233,-3.349,-14.149,-5.315,8.454,6.463,-5.484,-4.515,-3.11
46.674,18.5,80.237,-22.78,9.405,-16.512,-7.262,2.493,2.924,-2.62,-11.832,-3.272
47.34,19.367,55.219,12.916,-1.278,-34.62,-3.27,-17.944,1.959,8.312,-17.145,-12.587
46.882,24.558,59.478,10.683,-1.891,-25.812,-5.012,-10.84,4.611,-1.053,-13.138,-10.153
46.579,15.073,83.778,11.636,10.499,-32.282,-20.563,-0.322,-12.857,-2.124,-9.401,-6.992
46.324,27.765,78.79,-14.474,12.864,-28.324,8.166,17.487,12.186,-4.46,-10.271,-15.71
49.995,111.951,31.153,-23.076,34.915,-24.003,-2.633,0.608,0.489,-22.675,8.477,-8.101
51.541,88.148,60.293,7.804,19.123,-23.076,10.682,-19.66,11.646,-3.098,-10.52,3.751
50.171,102.952,80.142,-1.813,20.245,-13.47,-17.191,-8.981,-9.042,8.387,-7.21,-17.963
49.061,82.245,85.502,-19.967,5.881,-22.894,-8.323,26.723,-2.295,3.062,3.258,-9.464
51.274,101.437,70.035,-4.176,17.768,-27.388,-22.357,12.377,-24.459,13.684,-5.24,3.113
51.01,84.089,64.304,8.102,42.116,-26.099,6.868,-30.603,-15.748,11.383,-22.081,4.311
49.784,25.275,50.429,-15.729,8.837,-34.28,37.231,1.994,6.612,-8.859,-6.655,-10.019
50.982,78.845,49.18,7.081,0.232,-33.161,4.369,3.291,-5.092,-5.86,-0.494,-4.58
48.673,44.563,49.253,-0.284,-8.54,-34.08,5.305,7.167,-0.206,11.154,-7.114,-17.078
48.475,55.728,39.87,4.958,4.419,-26.6,31.795,-19.964,15.132,8.968,-21.244,-9.779
47.226,27.874,57.227,-0.886,-24.936,-32.614,18.611,-6.977,5.902,16.606,-16.682,-21.933
46.371,18.296,64.327,8.242,0.433,-22.954,30.878,2.067,20.362,-3.36,-10.608,-23.531
46.898,28.639,56.62,0.966,-21.691,-49.254,20.703,17.422,8.582,11.293,-1.074,-10.196
49.171,106.789,59.479,-13.852,-11.524,-35.001,-9.628,28.673,0.945,4.014,4.678,-10.065
50.078,134.151,62.39,9.394,-9.926,-21.194,1.915,-18.045,-12.693,2.197,-11.374,1.023
50.496,74.524,67.115,2.009,40.018,-24.594,0.356,-19.994,0.599,16.813,-18.985,-5.643
50.635,69.678,89.764,27.513,14.527,-33.941,32.256,-2.285,-5.882,-14.444,-4.86,-11.813
48.375,79.959,53.343,-30.862,-9.865,-31.32,-13.953,35.262,16.809,-6.625,-0.455,-16.115
50.509,107.689,36.969,-22.89,-18.348,-19.163,-7.126,-19.682,-2.048,13.993,-8.892,-11.572
50.566,73.19,51.694,2.868,-2.078,-25.289,-5.451,7.535,7.742,6.471,-5.763,-9.261
49.604,114.194,82.378,19.447,-9.405,-39.536,-12.361,3.659,-19.527,5.688,5.277,-6.722
49.324,107.554,60.4,9.439,14.077,-35.987,-9.561,20.42,-8.481,13.297,3.321,5.878
50.14,87.414,64.9,-5.152,-4.089,-35.405,1.241,-6.863,-9.285,13.588,-6.294,-12.116
49.9,98.441,65.478,-1.645,1.107,-28.615,20.451,-1.167,-1.105,14.396,-13.243,0.709
50.416,130.448,64.47,3.932,37.202,-24.134,3.495,8.07,-13.98,11.874,-18.7,8.705
49.539,120.177,27.292,-9.622,5.662,-38.771,8.311,-8.976,-5.308,0.94,-9.263,-2.945
50.722,88.649,64.039,8.125,16.693,-25.959,25.596,-1.523,-11.11,10.791,1.549,1.458
50.87,30.205,40.86,-10.186,7.289,-39.324,30.987,6.358,13.084,-1.324,-16.629,-7.946
50.173,78.876,0.341,-21.023,11.145,-34.153,37.968,-5.486,11.508,-24.669,-6.471,-23.122
50.193,66.34,53.037,2.766,-5.102,-33.255,23.84,-12.508,12.987,-8.568,-14.116,-22.905
48.368,37.652,50.706,16.55,-5.827,-36.206,28.07,-12.879,6.499,23.59,-17.615,-22.621
47.932,40.963,38.604,-25.47,-19.82,-32.696,27.789,11.899,4.22,7.752,-8.11,-16.362
48.087,54.948,15.311,-9.47,-12.442,-32.58,27.465,-12.708,-3.434,3.527,-18.971,-11.378
48.116,44.867,44.687,-38.723,-35.375,-22.649,21.417,15.335,-5.581,3.236,-4.791,-15.931
48.572,74.008,43.919,28.548,-25.066,-18.267,25.857,-12.365,-12.541,-7.951,-23.602,6.081
48.963,93.4,73.802,12.434,7.047,-32.676,34.533,3.234,-8.052,11.786,-10.721,11.967
50.247,120.406,61.215,-14.881,18.293,-15.058,-3.493,5.684,-13.052,18.148,-15.316,2.474
