0,1,2,3,4,5,6,7,8,9,10,11
0.295,163.569,7.148,-36.921,58.789,-49.825,9.323,-5.423,-30.4,-0.458,-7.896,-3.363
5.105,52.662,-39.047,-81.299,89.251,-36.945,-45.174,-36.214,-30.197,12.728,-6.542,-3.445
9.998,-43.876,-87.858,-76.146,97.488,-43.777,-34.693,-3.643,-5.578,14.804,-5.447,3.402
12.108,-71.982,-65.891,-84.982,100.493,-42.997,-13.783,-16.107,-21.958,9.981,0.109,0.015
15.017,-96.483,-34.985,-63.209,84.084,-45.34,-4.132,-0.065,-47.071,-6.198,0.317,-10.011
18.484,-93.96,14.134,-93.716,24.901,-34.017,8.373,-19.32,-79.963,-14.352,21.221,3.428
23.643,-83.072,49.01,-38.396,-7.138,-24.058,-8.119,5.211,-62.866,-25.8,10.313,23.093
26.743,-74.098,61.123,-39.6,-19.123,-15.242,13.743,0.379,-52.688,-16.606,-0.421,19.187
42.315,-5.121,-31.056,-28.861,16.614,59.461,14.177,20.276,4.303,-2.636,60.342,4.083
40.471,-18.749,-2.309,-21.663,56.615,-28.082,-48.876,-22.059,-8.873,-5.085,3.613,27.967
46.374,11.54,1.013,-4.075,50.368,23.102,-17.984,-1.273,-19.826,-8.341,23.665,5.233
43.689,9.485,-8.721,1.799,-0.299,-38.784,-5.773,21.469,-7.574,-21.225,7.946,1.459
42.887,33.903,36.695,-5.259,-17.613,-38.245,-18.578,-17.747,-23.418,1.307,-0.116,26.544
39.744,-77.028,-32.223,10.827,-22.744,-71.485,-30.353,-6.47,-13.473,-12.011,-13.895,10.601
34.152,-27.795,-15.577,-21.455,48.88,-29.227,-42.7,-10.594,-19.135,-16.292,-0.031,13.672
40.068,-13.33,-100.758,46.28,-5.565,-66.022,-44.997,14.754,5.957,-32.989,-21.925,8.5
29.236,-4.592,-22.967,-27.927,32.059,-15.183,-17.712,-17.616,13.488,6.566,-6.615,23.916
43.727,25.831,-53.317,15.85,-5.881,-17.715,-37.048,1.881,11.581,-16.374,0.252,-0.563
45.027,26.805,-2.182,-3.636,-5.691,13.813,1.221,10.152,-15.26,-22.291,45.644,10.68
42.898,-35.778,-10.949,-5.105,-47.32,-58.474,-4.232,15.292,-16.035,-10.71,3.264,16.972
41.657,54.505,26.064,1.677,31.527,-43.705,-51.443,-32.339,-22.918,8.854,2.41,29.791
44.354,31.188,4.286,1.595,-0.881,6.244,-18.083,15.334,-23.063,-26.35,5.563,20.986
38.92,-55.171,-57.205,58.244,-19.158,-78.829,-30.097,-10.329,-21.17,-1.912,-8.846,15.803
34.978,63.629,-11.761,-7.55,61.019,-28.986,-46.234,-37.251,-21.067,-8.891,9.938,16.245
41.009,2.804,-93.155,31.751,-4.01,-68.687,-41.712,19.268,7.544,-39.62,-12.627,4.648
34.671,36.61,-57.349,-44.409,3.608,-15.422,-16.985,5.307,1.027,-15.118,15.929,11.712
43.316,-7.637,-47.907,14.576,4.33,0.652,-2.209,-5.837,-14.467,6.538,16.711,11.329
44.075,1.965,-23.53,-50.066,22.102,37.439,4.862,14.418,0.227,-26.65,9.382,-7.449
42.897,20.268,14.503,4.737,33.221,-36.517,-27.56,-15.764,-4.752,2.727,7.36,4.799
42.628,-1.516,-39.425,-24.496,15.607,-38.872,-25.854,6.709,9.74,-28.294,1.664,3.857
42.057,-21.382,32.419,4.403,8.257,-39.691,-37.582,-20.298,-11.985,0.804,-5.764,20.317
39.435,-84.177,-58.342,22.852,-12.627,-72.781,-12.984,-13.736,-11.558,-10.277,-12.406,12.793
37.828,15.832,-55.666,-48.926,77.19,-44.294,-39.31,-14.447,-14.748,-12.643,7.527,8.791
41.7,-3.89,-91.534,21.039,-0.783,-69.734,-43.372,19.717,1.54,-36.998,-16.443,1.268
32.579,-11.183,-57.358,-19.236,28.406,-50.291,-34.686,-13.978,-9.974,-9.384,-6.516,13.795
44.257,23.687,-28.753,19.908,-17.794,-2.045,-19.631,-3.208,-9.255,20.857,5.194,-7.149
