0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
26.989,67.829,19.518,-221.902,44.871,193.973,44.112,36.356,-25.64,40.417,-12.964,3.34
31.808,36.346,15.668,-8.347,11.683,-31.791,-29.125,-6.62,-27.171,-7.561,0.349,23.418
30.337,35.378,5.962,7.009,10.078,-36.102,-27.156,-19.146,-32.338,-8.16,1.346,19.71
31.521,48.983,6.467,-7.84,35.593,-26.566,-33.561,-3.51,-4.172,-6.701,1.482,12.988
30.964,62.751,-14.239,7.015,21.068,-33.495,-19.52,-16.335,-31.641,-12.942,-18.005,2.833
32.13,57.967,-10.634,-14.061,35.607,-35.004,-28.848,-7.808,16.377,5.639,-2.281,8.495
37.259,64.706,-37.738,-12.549,10.37,28.593,-4.02,12.951,-13.628,-15.525,11.584,0.193
31.553,54.533,2.145,-22.176,27.651,-17.445,-26.031,-11.027,-9.965,-24.622,13.048,19.077
32.066,54.014,-11.884,-8.086,21.542,-38.056,-37.711,-3.254,-27.885,-14.416,-0.555,10.225
29.266,35.784,-5.881,-17.822,16.914,-24.481,-42.29,-16.276,-14.004,-4.795,-4.43,13.31
27.077,46.227,-10.692,11.982,-14.797,-37.889,-23.774,-12.519,-20.327,-4.021,-10.465,4.886
33.432,75.808,-3.826,-11.913,47.13,-21.3,-31.588,-13.684,14.669,7.541,4.184,9.38
40.561,54.61,-64.589,-93.039,-14.398,31.561,-12.385,15.638,-3.841,10.764,17.16,-3.104
44.055,51.958,-63.059,-15.408,-27.845,-41.947,-29.334,8.136,-10.608,-10.896,-10.118,10.81
42.715,76.17,-54.722,-37.55,-15.334,3.151,-20.212,12.614,-16.628,-1.705,9.887,0.032
41.271,78.123,-38.261,-55.092,4.106,-29.431,-15.928,7.737,-8.571,10.286,6.733,17.887
42.616,66.115,-65.628,-30.487,-12.049,-27.119,-30.377,-6.162,-18.666,15.352,-22.218,8.225
41.051,82.079,-66.625,-57.139,-22.376,-50.808,-21.176,6.481,-15.751,13.56,1.197,14.641
43.879,76.654,-46.338,-37.304,-9.604,-17.451,-18.161,3.655,-16.226,2.454,6.063,13.8
42.167,70.871,-52.194,-39.198,-8.755,-42.343,-30.762,1.035,-2.878,-6.793,-0.533,16.417
42.654,52.836,-52.768,-74.165,-0.548,-6.549,-11.104,-3.326,-5.31,5.941,-22.738,8.687
41.612,43.6,-63.723,-40.649,-19.457,-26.235,-1.207,14.918,-16.243,-3.416,1.412,16.506
44.686,35.571,-68.762,-43.682,-18.772,-35.582,-18.88,23.205,-11.658,-11.951,-4.764,17.612
41.901,51.996,-46.665,-35.557,-6.568,-37.103,-21.98,-11.315,3.983,5.413,-12.767,9.574
42.812,61.313,-50.664,-34.086,-21.147,-21.659,-25.643,3.642,-23.807,-1.588,4.903,-4.032
42.403,56.626,-45.991,-40.655,-18.426,-32.727,-26.906,6.582,-18.684,3.951,-13.134,12.718
40.792,61.823,-63.206,-36.065,-0.278,-28.28,-26.731,-8.714,-16.745,-2.944,-4.277,18.627
43.03,61.913,-59.965,-35.12,-5.051,-13.875,-15.442,16.576,-0.76,-0.751,1.798,6.815
43.668,54.088,-67.118,-19.108,-17.805,-31.152,-21.531,13.439,-4.709,-7.42,-1.712,7.639
43.949,62.515,-71.05,-13.389,-14.713,-23.297,-13.484,9.203,-1.105,-13.891,-2.985,6.216
40.784,90.859,-51.262,-35.751,-10.89,-35.611,-4.214,1.064,7.746,8.024,-11.781,-6.375
43.203,91.417,-40.613,-33.775,-17.972,-26.826,-12.352,11.572,-14.147,-11.719,8.942,0.06
40.274,62.799,-15.087,-23.071,-9.577,-23.866,-0.091,3.591,-0.205,6.534,5.915,4.581
41.867,98.284,-9.907,-34.667,3.043,-34.868,-5.584,-1.624,-6.149,8.744,-10.634,-6.418
42.962,74.311,-52.579,-16.662,-0.977,-23.629,-27.677,15.555,-8.111,-9.612,2.385,14.903
40.106,124.749,-12.922,-41.679,-7.558,-34.603,-20.637,19.728,-18.377,-13.408,5.796,5.679
41.422,121.692,-3.079,-45.173,5.8,-30.247,-7.649,-24.182,-19.687,15.645,-12.932,16.033
41.833,60.462,-31.458,-46.196,-9.417,-25.435,-7.579,18.476,-15.282,-8.15,-4.51,13.054
41.195,104.329,-59.583,-32.2,-18.669,-40.906,-9.239,-21.243,-12.913,2.048,1.003,13.565
41.918,78.465,-38.237,-29.93,-10.146,-24.115,-1.246,-4.953,-18.064,2.003,-3.363,23.207
42.51,91.396,-41.707,-32.216,-17.449,-15.572,-3.564,23.479,-31.205,5.781,-10.275,18.666
42.522,78.99,-39.938,-26.15,-9.718,-31.966,-11.051,0.286,0.511,2.326,-11.193,0.643
42.038,87.244,-29.445,-42.826,7.033,-46.797,1.605,8.51,-10.739,2.378,-6.301,16.809
43.291,92.627,-31.27,-36.891,-0.54,-26.605,-5.913,12.507,-14.324,3.38,-15.397,8.244
41.794,109.618,-28.24,-47.015,1.287,-38.302,-9.037,1.374,-14.61,5.299,-6.769,17.377
42.157,75.168,-21.522,-32.695,1.953,-27.783,-12.877,-4.098,-20.49,6.733,-14.342,16.666
43.521,74.626,-38.752,-51.021,-0.366,-13.088,-16.145,4.822,-3.253,9.774,-7.856,4.913
44.311,59.041,-55.525,-30.837,2.913,-37.746,-20.379,-4.829,13.5,-10.645,-12.936,0.145
42.632,65.811,-55.118,-53.894,9.434,-32.825,-15.256,8.907,10.036,0.876,-16.79,14.497
42.992,60.922,-54.408,-57.987,-3.786,-9.928,-24.231,17.101,0.953,8.469,4.561,-8.928
42.124,81.797,-38.187,-32.306,-5.707,-32.11,-11.711,2.693,-8.272,-6.356,-10.128,14.976
40.629,58.242,-40.454,-40.875,-0.592,-25.78,-34.158,-15.49,-22.607,2.41,-7.451,-3.768
43.599,66.302,-49.632,-1.819,-9.242,-14.505,-17.515,16.334,-17.589,-16.303,-9.507,0.758
40.439,40.166,-25.58,-62.406,16.648,-13.289,-26.883,-13.313,-7.069,2.298,-0.447,11.191
42.105,51.544,-38.403,-32.312,18.253,-38.849,-18.027,-12.072,12.201,5.357,-12.484,2.645
43.082,60.265,-55.039,-39.916,-17.162,-27.213,-20.397,7.925,-8.113,-5.696,-10.848,2.735
41.187,51.75,-50.949,-61.057,-24.593,-27.939,-18.378,-6.475,-29.369,0.448,-0.063,7.883
42.426,57.453,-42.489,-31.976,-18.419,-27.453,-15.311,3.611,-15.992,-6.542,-15.43,20.968
43.593,68.202,-42.949,-35.295,-0.797,8.409,-21.453,7.451,-11.339,-5.781,-19.335,14.402
42.496,54.428,-50.615,-27.15,-25.881,-17.539,-33.758,5.16,-21.525,-4.843,-3.381,2.568
43.465,75.877,-32.515,-43.604,-9.791,1.786,-10.548,11.041,-17.636,-6.495,-8.623,3.16
41.623,63.639,-66.114,-51.954,-18.232,-30.8,-19.319,7.01,-22.245,4.037,-11.306,5.159
41.236,55.36,-58.46,-33.149,-17.367,-25.453,1.599,-2.372,-38.406,11.808,-8.773,23.859
43.369,60.617,-76.741,-24.93,-15.861,-30.585,-5.495,-2.062,-21.436,-8.481,-5.874,16.406
41.171,54.434,-48.552,-57.744,-10.039,-33.797,-17.302,5.309,-8.648,-3.689,-1.268,16.687
44.862,96.726,-52.15,-76.569,0.952,-34.488,-23.557,38.56,-20.977,-10.797,16.206,2.222
45.06,41.203,-50.053,15.184,-14.487,-62.163,-29.884,-0.132,-32.927,1.296,-16.16,32.317
46.371,125.652,0.339,-41.756,-25.394,-1.164,1.464,-6.489,-41.067,-16.612,4.98,-14.577
48.306,36.15,-14.03,-12.222,3.639,-13.394,-24.39,30.265,-14.854,0.813,-30.041,10.62
46.353,28.329,-9.791,-11.542,-32.793,-16.501,-12.65,17.303,-43.646,-5.181,-18.8,7.535
46.955,80.034,-28.072,-26.222,-23.033,11.081,-29.219,6.512,-6.457,-24.999,-7.044,-4.336
42.636,55.652,-60.839,-17.285,-7.05,-14.869,-29.43,-4.553,-18.912,-19.876,-10.499,11.218
38.422,37.472,-38.394,-27.88,-14.451,-32.861,-22.906,0.379,-32.306,-9.926,-10.94,15.411
41.707,54.463,-61.867,-45.362,-8.321,-14.814,-40.277,-0.634,-12.342,-16.695,0.634,4.956
46.104,88.127,-2.343,-23.136,-27.231,24.972,-64.099,-20.872,-17.852,-18.507,-18.215,-19.542
44.699,68.966,-26.963,-78.503,-0.559,16.167,-25.302,27.018,-26.803,8.631,-33.304,2.767
47.645,57.697,-13.45,-9.984,23.66,18.663,-29.068,-9.303,-15.629,41.945,-27.76,4.879
45.777,85.047,-9.376,-87.424,-3.524,28.776,-31.541,23.27,-31.957,1.392,-28.072,-7.382
49.568,56.989,27.636,-5.488,28.258,-10.465,-17.212,-3.981,-8.245,31.293,16.569,-4.265
49.153,70.856,47.608,18.854,19.696,-19.09,12.814,8.851,5.453,3.426,-27.299,9.941
48.224,91.612,-20.958,9.633,-1.219,-22.344,-53.761,3.324,-13.271,-10.368,-2.939,-13.436
45.888,-15.714,6.989,-29.784,55.311,-22.944,-12.503,4.467,20.933,9.329,3.921,21.155
46.763,37.684,18.409,-39.441,62.267,-29.889,-22.296,6.864,52.551,2.34,-10.935,6.415
47.24,93.262,-30.947,-21.406,-26.676,-6.302,-54.118,23.945,-5.497,-24.105,0.282,-8.813
45.888,134.655,-61.855,-60.748,-3.052,-26.111,-32.704,6.173,-7.024,-32.731,8.647,5.673
48.518,53.178,27.995,-19.655,39.472,-9.355,-16.777,3.844,14.425,8.201,-6.097,5.057
47.263,48.621,-2.364,3.751,29.897,-19.94,-16.688,12.292,10.331,16.355,-10.51,26.862
46.895,33.048,-21.862,-48.95,-6.438,-10.835,-31.266,39.904,-15.289,-5.465,-0.429,-3.09
40.822,52.265,-62.102,-40.633,-2.075,-39.071,-11.924,-7.4,-21.224,3.155,-15.918,21.663
42.345,44.349,-56.621,-23.897,-16.565,-27.24,-13.717,-6.173,-26.817,-11.118,0.706,16.103
39.69,3.21,-70.293,-39.457,-8.087,-23.533,-30.126,-24.872,-19.785,-7.128,-19.162,7.703
43.043,32.805,-77.696,-24.214,-23.428,-7.529,-9.983,-1.958,-16.945,-26.433,-0.83,9.238
40.526,21.09,-74.493,-42.879,-29.042,-21.265,-19.223,0.476,-13.194,-9.734,-1.703,6.981
44.272,14.897,-53.684,-54.837,17.927,-1.797,-44.517,46.43,-10.942,-6.51,30.226,-7.557
47.188,39.906,5.687,-93.094,6.515,-0.286,-22.783,0.608,-26.224,7.531,-10.895,-5.772
46.676,21.861,-4.729,-9.114,-4.271,12.456,-24.032,52.474,-40.471,-5.508,-20.151,0.339
47.329,86.074,3.663,-50.19,-27.528,7.587,-59.439,30.323,-12.78,-17.247,27.998,-22.419
47.384,116.075,-4.166,-6.139,-23.521,-6.624,-53.493,-19.411,-21.815,-9.374,-36.909,-17.006
48.683,60.876,-16.148,-0.732,0.271,23.242,-16.787,39.622,-25.767,3.702,-3.157,-1.805
46.201,33.694,9.212,-53.625,20.703,-8.243,-31.871,-9.451,-22.422,22.859,-29.211,-4.835
41.898,75.594,-29.341,-36.208,-1.985,-11.311,-33.7,-25.352,2.614,-9.685,-4.775,2.657
46.121,113.834,-38.627,-13.178,-16.406,-13.246,-62.243,-19.372,-17.93,-11.671,-3.206,-9.023
46.396,101.925,-11.147,-40.521,-37.681,-22.389,-62.123,4.788,-10.326,-18.663,3.913,7.748
46.359,25.129,-18.432,-51.149,5.031,-11.989,-33.734,-5.393,-15.195,24.49,-19.984,3.728
47.856,52.874,7.107,-48.174,11.061,-17.98,-41.855,27.749,6.336,3.891,-2.57,-3.216
41.932,67.81,-41.683,-94.389,-11.724,-10.285,-28.115,16.354,-21.342,5.984,-28.791,11.311
44.48,61.978,-34.788,-78.589,-33.53,-5.266,-59.054,40.856,0.0,-4.537,13.869,-16.151
45.857,84.149,-53.067,-22.331,-35.684,-23.613,-43.876,-10.286,-4.398,-2.264,-21.712,7.397
39.903,42.898,-93.426,-32.638,16.931,-25.402,-29.716,-28.288,-10.693,-28.432,-13.419,16.522
42.398,29.325,-80.569,-57.65,-9.972,-5.886,-27.497,22.402,-5.848,-14.498,20.003,-1.401
45.649,56.667,6.791,-91.235,8.213,19.383,8.787,-11.096,-6.723,13.66,-39.489,-4.852
46.561,16.646,-22.359,-13.37,-16.371,10.55,-25.069,42.392,-31.801,-1.756,-12.686,-9.476
46.559,61.735,-52.126,-9.061,-37.564,-40.265,-66.199,-2.276,-4.297,4.071,4.38,-21.071
47.903,99.805,-18.693,-27.064,-50.294,-2.267,-41.417,-2.426,-13.407,-4.96,-11.716,-27.037
49.031,78.741,4.394,-8.03,-8.103,8.784,-15.128,-16.231,-8.942,12.42,-12.121,-8.702
43.84,106.912,-82.499,-60.781,14.675,-30.032,-2.477,-33.077,-21.605,-20.533,-0.691,5.012
47.574,43.596,-9.78,5.433,37.174,-27.952,-16.664,42.613,23.136,3.425,-7.845,-6.488
47.445,43.002,-20.844,-1.96,21.878,-16.047,-39.886,40.72,0.49,-1.934,-11.767,-1.339
44.076,96.184,-54.049,-34.323,-19.276,-13.904,-55.024,-8.447,-9.42,-12.113,-18.505,10.379
44.527,113.745,-40.787,-70.7,16.187,-15.457,-30.23,-32.218,-41.313,-3.21,-23.896,6.324
44.473,161.795,-51.242,-55.93,-6.927,-17.889,-24.517,-39.234,-9.507,-14.575,-13.484,13.188
49.089,70.164,6.823,-43.682,-11.468,-20.64,-44.653,-2.709,1.001,-5.371,-12.722,-32.671
45.93,108.908,-69.168,3.527,-45.078,-29.049,-51.29,-20.524,-3.328,-5.835,-42.154,3.579
41.29,37.716,-45.144,-122.888,4.372,-18.409,-10.52,22.244,-3.943,11.377,-13.747,17.172
45.74,88.189,-42.434,-55.684,-36.443,-11.246,-59.248,7.628,-4.903,3.797,8.25,-21.227
45.45,80.1,-66.594,-9.666,-40.754,-21.555,-48.282,-11.532,-10.939,-9.475,-25.564,-2.847
42.419,14.716,-79.158,-47.844,-19.101,-46.487,-34.068,8.292,-10.283,-16.571,-1.324,2.056
49.041,21.735,8.58,-14.922,32.742,-32.115,19.911,26.57,33.847,20.518,-10.552,19.402
48.254,65.154,-16.222,6.626,12.955,14.034,15.974,10.066,12.868,8.634,-16.225,26.751
44.154,29.724,-1.292,-96.988,-1.428,-23.514,25.892,-41.74,-35.3,12.079,-2.189,8.303
48.347,43.045,18.659,0.639,-7.322,-20.486,-4.178,27.406,-2.75,-32.965,-22.349,-9.256
43.177,90.027,-60.479,-47.509,8.081,-32.231,-21.048,17.263,-18.757,-33.938,-3.926,2.151
43.161,49.555,-46.816,-33.475,-7.748,-25.635,-30.214,-12.125,9.519,4.409,-21.085,21.432
