0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
45.459,100.265,-8.288,-50.303,7.161,139.49,21.148,64.909,-2.972,34.891,78.894,-16.765
49.229,107.866,-18.66,-5.103,9.97,28.747,6.734,4.071,-12.797,30.761,-21.541,-3.819
49.45,68.332,6.78,-17.989,-9.757,12.401,11.529,10.178,-7.134,25.91,0.662,-22.128
46.091,50.318,-48.785,52.248,-14.0,-60.418,-12.146,30.916,-4.536,-2.468,-19.893,-6.832
51.636,78.39,-8.404,31.606,-2.052,-30.51,-29.972,3.909,-7.497,-8.452,-25.364,-3.444
45.185,50.479,-7.748,41.817,-34.87,-40.614,-12.882,2.08,-40.536,-7.86,-6.698,-5.275
49.126,55.284,-26.192,33.787,-13.191,-13.947,-6.203,2.736,-8.332,-17.597,-58.969,5.367
51.047,73.392,-26.325,57.048,-5.219,-31.653,-25.286,-10.159,-13.324,-7.185,-27.413,1.164
50.64,53.768,6.521,6.753,-16.778,-25.059,2.982,2.265,-1.603,-4.427,8.461,-9.767
45.921,21.154,-51.592,67.439,-16.94,-28.382,-1.191,-1.956,-12.044,-1.671,-19.876,-3.051
51.47,65.051,-15.401,48.87,-3.884,-19.892,-17.493,-6.634,-15.326,-13.78,-5.696,2.336
50.845,95.234,-15.288,22.706,-21.717,-22.019,-9.915,37.559,-12.26,-1.288,-11.426,3.339
51.887,89.564,-18.32,40.903,-6.104,-32.019,-22.199,12.96,-15.123,-8.36,-22.09,6.471
50.208,72.187,5.506,6.421,-24.13,-39.056,2.859,3.5,-10.83,-8.671,-12.469,-2.168
46.036,47.204,-37.778,52.848,-16.494,-61.423,-19.318,28.187,-4.572,-2.473,-10.173,0.216
50.974,60.684,-33.159,58.359,1.421,-40.648,-34.319,-7.259,-19.229,-8.033,-0.144,-3.793
45.464,44.387,11.345,32.976,-4.64,-16.145,15.294,3.227,-13.24,-11.641,-14.311,-18.357
49.122,43.759,-19.882,24.709,-17.512,17.044,13.48,-14.526,-8.175,7.803,11.962,-16.966
