0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
40.542,-103.536,-51.505,-21.605,47.882,122.957,65.6,-9.222,-12.425,95.903,122.746,-12.77
38.673,-75.082,-54.402,138.422,26.172,-36.766,12.767,7.154,4.593,-6.725,-42.431,25.929
44.415,-90.46,-18.019,11.0,31.132,-60.498,31.456,-28.64,-18.425,16.886,11.808,-5.729
44.294,19.124,-61.096,155.066,36.034,-67.455,-23.953,9.13,-22.356,6.702,-57.138,22.735
44.267,-77.894,-43.054,15.064,63.453,-40.318,-7.419,-27.566,-3.107,23.349,8.039,-11.458
40.517,-74.525,-13.512,57.077,45.16,-23.34,-36.916,21.661,14.081,-14.787,-44.347,6.43
44.065,-51.448,5.562,-17.157,35.241,45.284,16.626,-7.094,-13.644,23.828,56.651,-31.824
44.37,17.558,2.012,164.432,22.567,-60.697,-7.663,11.304,-7.663,-6.308,-32.489,22.235
35.954,-12.771,29.362,-114.136,57.28,61.365,8.932,-35.075,7.323,-12.171,-62.754,19.097
40.267,-88.936,-20.124,4.316,64.646,-29.039,-23.15,-11.318,9.605,-6.346,-10.282,14.017
42.379,135.309,43.551,61.935,30.566,-36.147,-54.804,-10.027,-31.84,-28.929,3.513,39.811
46.414,-47.9,-33.664,18.55,3.09,-58.635,6.253,-17.97,4.078,3.615,-2.856,-5.685
40.955,-78.036,37.14,7.043,49.759,-19.946,34.195,-7.157,-2.251,-28.322,-8.127,19.755
43.278,-34.856,1.361,-34.182,26.193,7.915,32.086,0.306,7.137,-42.017,-1.841,9.254
45.748,39.408,-2.898,85.611,32.326,-83.71,5.233,-22.213,-9.288,6.574,-15.923,14.571
44.613,-8.94,19.534,-32.393,64.763,23.94,32.77,-9.163,-21.109,-9.439,-2.684,-11.027
46.059,-50.599,-48.076,13.417,-10.705,-39.291,26.987,-3.841,-11.374,-7.651,8.941,4.66
41.646,-32.554,56.153,7.471,16.432,-19.836,22.259,-18.934,-11.779,1.278,-7.457,14.444
45.043,-15.936,-24.07,20.83,8.92,-35.252,24.037,-30.925,-14.351,13.511,1.803,21.354
43.507,-89.04,-65.51,14.102,-16.021,-67.007,42.55,-33.793,-28.999,2.393,-6.338,16.492
43.849,16.83,1.146,30.734,38.991,44.427,56.111,39.499,13.461,-78.11,-9.763,7.378
41.062,33.639,68.221,-51.36,32.702,32.666,41.773,22.479,-7.857,-15.732,-47.061,30.423
45.936,-61.37,-46.212,-25.167,29.016,-11.358,24.747,-16.361,16.598,24.057,35.757,15.53
44.391,-30.051,-1.527,58.321,1.014,-48.393,-36.524,4.565,-2.322,-6.126,-20.679,4.527
46.858,-64.277,14.94,4.251,14.553,-38.521,8.914,-23.188,-16.953,21.289,15.422,-5.677
47.311,11.127,-25.887,103.356,44.34,-32.648,-36.907,-25.291,-8.979,-5.65,-6.326,14.957
40.959,-43.473,27.146,-34.698,55.521,34.442,-39.972,-18.932,3.537,-3.222,-39.875,5.165
46.246,-83.126,-54.64,-17.859,11.103,-40.329,1.727,-8.145,-13.332,-3.314,-0.905,-15.224
44.304,-26.158,-15.064,98.585,41.019,4.867,-38.928,-5.349,-1.144,-26.424,5.007,3.721
42.588,-31.921,25.838,-93.578,80.614,41.636,-18.531,-49.188,-6.687,2.586,-45.247,10.172
45.057,-58.142,6.299,-15.117,34.131,-34.392,-30.581,-9.539,2.202,3.906,-14.972,4.717
45.452,100.572,-0.827,24.828,29.297,19.665,-53.148,-7.415,14.234,-85.122,2.941,19.591
45.365,1.113,-37.867,-23.917,52.729,10.031,-24.358,-18.562,29.984,23.414,-14.87,3.98
43.677,-35.041,-54.99,-2.221,20.377,-78.718,-17.083,-41.147,-1.918,35.219,-13.911,-15.129
43.962,44.668,-76.159,124.007,28.233,-65.533,-41.619,-11.931,-0.616,-4.308,-32.323,28.829
44.313,49.27,-61.503,-50.187,52.582,21.621,-10.635,-1.109,7.757,19.27,49.662,-10.591
43.694,-6.112,-101.236,-8.377,17.767,-80.084,-19.178,-4.163,22.211,-7.575,-12.322,-4.619
43.296,-0.639,-46.628,-1.285,5.7,-36.056,-22.5,-35.677,14.811,28.375,-3.453,7.346
41.828,-40.599,-50.022,-37.198,-14.975,0.954,-6.098,-15.733,-13.714,-13.739,-48.776,-6.374
