0,1,2,3,4,5,6,7,8,9,10,11
0.077,171.269,11.664,-30.422,56.438,-51.045,15.157,4.055,-26.805,0.917,-8.188,-9.042
42.077,118.509,51.486,-13.764,9.069,108.4,0.801,-42.484,-23.738,58.221,71.696,-10.211
45.261,48.305,57.48,-0.324,15.166,-8.664,-5.112,-2.936,-14.616,-15.113,-29.365,15.358
53.42,38.734,69.862,20.04,39.881,22.038,15.895,-13.719,-21.817,24.629,12.054,1.099
49.472,4.232,0.527,74.723,6.769,-18.722,-60.093,37.926,-24.04,-5.539,-29.764,-13.623
51.388,58.515,20.241,49.661,57.137,-13.276,-55.169,117.698,-22.206,26.748,-30.27,-12.047
45.119,240.446,30.775,-36.24,24.814,43.508,-48.53,-21.177,-50.047,98.924,-36.95,9.409
44.869,210.434,70.314,-73.761,72.809,44.82,10.23,-148.275,-42.714,65.882,-58.82,20.971
51.948,88.874,32.519,-28.349,10.861,13.867,-45.776,-34.29,-4.778,-1.966,32.163,-16.538
53.567,41.737,19.221,-16.013,-4.592,-17.92,-54.936,-25.215,-13.584,2.251,-16.897,-40.782
52.051,-8.124,37.89,13.416,15.793,-32.914,2.695,15.424,-25.088,21.695,-4.779,-10.779
51.52,176.145,-21.665,-29.931,-12.634,-21.172,-13.778,-14.819,-32.048,-20.415,5.341,-11.237
50.355,52.661,0.417,23.173,8.858,-31.078,-33.685,-41.575,-16.058,14.314,-17.535,-4.222
47.335,89.24,43.287,-8.658,7.219,-8.278,-0.181,-9.201,-25.239,-17.136,-10.82,0.612
51.28,17.864,32.615,-34.356,67.626,44.474,-18.046,33.442,-6.651,-13.961,-18.569,5.98
46.896,47.436,-13.616,64.714,-17.726,-7.006,-31.322,-8.638,-46.59,12.545,-11.682,10.71
49.322,160.408,22.833,-56.043,1.938,30.245,-51.04,-53.585,-21.539,32.257,-16.887,-9.321
48.716,-29.969,-13.453,74.847,9.811,-5.749,-49.168,-20.524,-33.298,18.822,-73.319,-14.127
49.067,53.111,-15.326,-10.601,7.309,6.588,-14.102,-103.459,-42.729,51.839,0.664,2.905
51.665,-35.642,39.492,12.616,6.063,-28.217,-18.163,-33.69,-22.636,4.312,-2.681,-15.181
52.283,62.318,22.392,9.934,26.27,-15.25,-41.099,20.952,12.163,-26.819,10.399,-5.835
51.506,29.405,20.775,6.875,10.438,-44.807,-39.539,14.561,-7.667,-7.317,9.28,3.408
51.992,45.338,68.431,25.178,33.546,-36.414,-20.433,37.844,-4.793,-4.929,-15.117,-24.638
45.203,61.84,32.93,-4.036,11.889,4.96,-18.287,-25.024,-20.23,-5.821,-31.309,18.639
52.318,21.553,69.293,27.512,86.243,13.963,38.283,-5.691,-11.495,19.894,18.571,5.576
51.197,-24.674,76.087,-23.628,62.582,7.337,26.465,46.645,-17.196,-10.036,21.413,-5.017
48.615,4.697,-11.186,32.453,22.073,-11.642,-27.044,-26.177,-45.904,3.966,-45.443,-18.359
46.012,-48.782,45.084,-90.546,28.741,-19.248,18.856,4.065,-36.572,-1.81,1.945,0.341
50.932,122.53,51.707,-26.932,12.723,-36.837,-35.63,64.148,0.608,-28.786,2.596,0.042
51.12,54.339,1.422,10.227,1.889,-48.821,-41.349,-22.692,-21.364,1.734,-12.539,2.348
49.252,125.007,-12.914,-44.699,28.631,-40.379,-10.643,47.572,-17.948,-48.696,12.104,17.625
51.537,51.98,51.956,-1.213,23.967,-15.464,12.418,-63.988,-26.524,45.888,-27.33,11.118
49.987,-15.048,43.579,45.197,51.986,-13.148,-23.067,9.501,0.307,-19.959,-39.323,-17.037
47.208,88.841,24.698,-13.101,23.01,-7.375,-15.19,-62.564,-37.652,19.396,-19.914,15.043
46.039,12.276,24.821,-22.063,12.668,12.443,-56.256,-24.728,-10.923,-22.018,-29.657,0.74
46.816,135.342,73.156,17.453,21.37,-0.467,0.13,-22.764,2.073,-20.68,-6.154,4.244
44.969,264.128,-38.761,-17.43,56.867,-84.415,-0.521,28.174,-1.617,-30.965,4.376,28.195
49.239,78.998,-38.897,-6.266,2.627,-4.515,-69.689,-24.597,-35.046,68.356,-13.736,-8.508
46.934,-13.363,-49.937,70.451,47.451,-23.36,-39.049,2.222,-25.984,52.49,-48.68,0.081
47.371,30.939,12.234,-37.972,44.108,5.247,-25.367,-36.533,-47.008,49.899,-9.005,-16.335
46.49,-17.628,-11.884,50.05,32.473,-4.54,-69.86,25.794,-16.404,-19.586,-51.695,-30.766
44.333,84.732,143.958,-35.974,69.651,77.169,49.081,-52.283,-21.581,28.952,-5.995,-5.462
44.727,15.183,-7.397,-16.783,22.903,-21.08,-69.201,-0.246,-0.034,-1.172,-11.759,-34.892
52.816,71.967,11.999,-42.045,-12.482,70.866,16.67,2.823,-14.05,0.232,39.887,-7.816
55.719,94.412,40.929,1.577,-27.416,-11.486,20.483,10.458,-21.371,-4.882,1.573,-0.562
55.893,84.857,29.522,-2.565,-21.277,-43.526,1.762,-9.935,-31.579,10.52,-13.311,5.146
55.593,80.55,40.144,-8.072,-26.571,-23.836,13.966,15.27,-28.62,-19.173,-3.567,8.35
55.143,97.077,46.008,-3.889,-38.759,-35.508,25.093,7.482,-16.172,-3.833,-0.108,-8.5
55.477,84.911,30.525,-7.734,-35.677,-19.418,17.476,-4.479,-24.731,1.191,-0.533,1.114
55.31,93.452,41.014,-2.08,-33.921,-13.882,15.588,7.077,-9.737,-12.654,-10.572,-1.045
54.627,81.419,32.288,-12.474,-35.449,-16.807,12.172,1.695,-33.256,0.262,-10.22,7.789
54.982,84.068,20.728,0.647,-27.547,-47.078,2.569,7.987,-35.622,7.441,9.659,-4.628
54.956,76.61,13.948,0.304,-38.634,-49.667,-9.025,6.256,-28.504,0.444,-18.506,0.403
54.428,79.545,40.231,-22.665,-23.358,-16.344,22.588,12.927,-15.559,-10.06,-12.817,6.984
54.358,83.303,58.372,-14.385,-43.367,-24.967,3.903,12.189,-22.563,2.22,-14.715,-22.682
55.235,81.449,32.128,1.497,-27.771,-46.785,-2.491,3.304,-15.358,2.224,-13.12,-3.714
55.263,82.128,45.093,-25.169,-10.602,-18.923,9.197,12.814,-23.843,-4.641,-7.102,5.099
55.914,68.355,33.845,-12.937,-4.577,-30.731,-1.86,0.828,-32.896,-7.567,-2.449,-12.16
55.871,70.614,74.78,-3.929,-9.682,-30.724,41.541,14.083,-8.662,5.226,-14.562,17.444
55.448,52.645,64.789,0.534,-0.769,-26.438,21.692,3.017,-5.669,10.361,-15.663,-18.456
