0,1,2,3,4,5,6,7,8,9,10,11
12.288,148.377,78.095,-173.679,67.001,106.941,36.34,-21.621,-24.148,17.112,-114.787,10.122
28.559,107.559,-50.45,138.002,-15.549,-73.497,-25.799,6.053,-20.907,18.546,-41.873,9.739
27.207,68.92,-103.985,106.034,-9.007,-55.778,-5.544,-1.221,-33.628,13.406,-20.856,12.108
32.572,106.257,-70.796,111.376,-1.562,-69.784,-7.47,25.541,-10.226,23.735,-9.144,17.44
45.305,-18.451,-50.434,37.17,-33.009,-18.503,4.424,-39.787,-33.525,8.462,-1.702,11.211
40.898,-40.856,-25.382,-4.583,-1.474,-52.083,7.655,-24.809,0.931,12.149,-18.827,7.866
42.006,-35.496,-32.002,-36.901,61.426,-35.181,29.335,1.907,12.067,-5.089,-6.562,-8.281
43.162,-56.81,-56.512,12.192,20.322,-14.095,12.329,-20.869,9.44,1.452,8.528,-15.519
43.494,-12.791,-38.359,24.007,14.126,-41.976,-16.873,-6.704,-28.594,-3.818,-27.852,-14.881
40.118,-41.649,-85.853,17.018,-20.499,25.329,1.573,-38.263,-10.213,-12.625,-12.739,6.197
37.771,-43.314,-17.384,-66.443,-11.998,-19.142,13.727,-17.105,-21.606,-21.746,8.766,15.651
44.374,-16.96,-25.988,-54.443,10.324,-13.474,4.582,-5.324,12.439,-11.913,10.008,10.276
45.287,-44.794,-51.787,-9.575,8.986,-62.043,-11.066,-9.919,17.179,17.454,-11.415,3.105
43.952,-16.703,-40.907,1.35,46.382,-29.654,-10.024,-18.484,15.787,-5.246,-0.353,12.115
40.279,-93.656,-102.785,67.949,-6.961,-70.934,-6.785,-59.492,-4.986,31.455,-15.08,9.512
37.485,-69.215,-42.46,-49.705,-6.629,-8.532,12.226,-17.263,-3.743,-21.416,-1.676,20.92
39.605,-46.559,-61.288,-34.487,1.697,-24.994,-6.274,-13.776,-11.13,-5.514,3.321,21.612
40.463,-76.238,-94.461,49.565,-8.2,-27.547,10.397,-52.591,-8.363,15.415,1.53,15.409
43.29,-3.872,-47.072,-12.762,41.695,-30.928,-26.307,-12.301,36.808,10.417,-7.024,7.729
41.098,-40.438,-109.276,36.065,-5.25,-64.385,-33.984,-26.752,14.673,23.494,-2.672,12.005
38.163,-52.243,-24.444,-28.416,-21.623,-35.223,-10.834,-9.575,-11.331,2.791,-3.042,11.643
40.813,-63.578,-44.564,-21.66,-12.159,-42.53,-10.92,-27.641,-17.957,30.124,3.305,10.678
40.966,-100.994,-81.635,30.617,-23.473,-84.934,-0.601,-48.268,-21.621,29.118,-3.684,18.387
44.306,-20.719,-48.16,-20.47,41.267,-40.153,-7.583,-35.045,33.909,2.857,-3.078,15.504
42.259,-69.165,-85.277,46.226,-0.912,-46.937,8.517,-42.145,-4.88,12.05,-0.213,0.262
37.594,-61.716,-36.522,-27.346,-24.961,-20.362,13.659,-9.644,-17.828,-18.339,-26.268,18.475
40.472,-35.529,-59.992,-14.857,-6.621,-18.021,-5.917,-38.087,-1.423,6.629,15.324,-2.408
41.385,-76.525,-69.171,15.034,0.349,7.404,8.492,-44.46,12.39,-17.018,-16.707,5.083
43.991,-19.14,-35.911,-14.755,6.45,-29.754,-4.112,4.745,0.701,-16.157,-22.465,26.434
40.277,-33.593,-25.344,-30.504,-1.915,-27.813,2.19,-7.373,-27.532,-20.424,1.58,34.931
39.422,-78.766,-106.251,70.446,-17.74,-17.56,6.517,-53.317,-17.589,0.419,-1.171,4.467
37.893,-57.904,-11.313,-77.68,5.277,9.761,7.889,0.002,0.641,-29.336,-27.748,8.325
41.889,-34.215,-48.002,-8.008,-14.748,-22.907,-13.422,-30.94,-13.023,8.253,-7.782,-4.795
41.071,-67.425,-74.436,18.083,-16.235,-28.198,5.232,-33.346,-7.849,-1.755,16.209,4.32
41.034,-22.202,-57.888,-34.171,20.996,-34.233,-27.15,-37.139,7.34,-3.459,-27.996,14.458
39.066,-60.483,-27.522,-45.796,28.662,-49.25,-36.301,-19.608,17.16,9.529,2.649,9.225
39.875,-105.549,-102.521,94.977,-0.49,-36.686,-5.035,-69.341,-13.259,14.553,-15.98,6.963
37.09,-83.446,-29.643,-83.873,-11.733,10.2,-13.377,-7.178,1.088,-17.965,-7.142,-10.832
39.464,-61.878,-47.052,-32.1,-15.502,-43.623,-16.67,-17.368,-25.447,7.098,8.02,-9.054
40.189,-77.549,-84.797,30.745,-0.782,-0.626,-0.039,-40.107,-2.604,-10.462,-14.607,3.291
42.585,-17.416,-47.856,10.738,18.133,-17.419,-27.287,-13.893,3.298,5.205,-14.505,19.618
43.524,-24.465,-92.691,-1.648,-0.774,-74.607,-25.729,-18.882,-4.582,-2.263,-15.02,9.432
39.618,-60.521,-80.003,-7.378,-1.256,-41.99,-17.094,-41.333,-20.649,-2.163,-1.131,11.379
40.023,-75.182,-87.217,17.473,-20.271,-26.71,-4.478,-40.646,-16.553,13.679,12.473,5.637
42.801,0.628,-55.088,-22.658,19.107,-26.296,1.219,-16.298,-30.899,0.227,-12.344,18.35
45.874,-7.471,-4.373,-88.855,29.61,-45.335,9.956,-44.41,-13.596,38.724,-6.897,17.409
47.248,-29.395,-39.7,-46.962,26.438,-33.216,-3.55,-9.368,-43.734,4.87,-13.592,18.299
52.775,-18.818,-10.101,-6.732,7.289,15.83,-2.583,2.764,-34.356,-1.653,-13.157,3.987
48.889,65.191,-74.69,-24.607,34.477,-20.372,-28.615,17.699,6.087,-57.287,-17.043,2.262
48.722,49.336,-47.694,-31.036,12.819,-4.466,-30.033,-15.189,-38.963,24.85,-11.207,-25.406
45.519,55.601,-42.213,-34.036,41.272,-7.8,-20.496,-19.919,-7.288,-33.918,-32.678,1.646
43.304,-49.77,-24.039,12.254,9.939,-21.533,-30.111,-35.376,-19.757,13.763,9.451,19.978
48.945,-7.525,-69.819,-70.885,54.873,6.71,-2.944,-50.096,-3.645,10.52,12.12,22.522
53.112,5.908,-49.943,11.593,36.184,-1.33,-18.46,10.249,-14.213,-33.769,-19.467,4.213
48.672,50.633,-31.128,-24.463,38.624,11.254,7.788,-62.622,-33.272,3.274,-58.273,22.641
47.58,0.752,-71.806,-47.085,12.767,23.136,-29.874,-2.743,-3.349,-26.262,5.301,-19.166
47.808,-47.551,-43.992,-97.115,40.161,-33.522,-4.854,-21.882,-23.325,-21.165,4.578,-7.289
49.706,-38.715,-26.1,35.852,14.591,-26.874,-25.942,46.356,-4.748,-13.121,-23.074,0.496
40.74,-12.375,-55.185,-8.359,65.213,-66.033,-18.453,-42.354,10.899,32.869,1.229,16.749
45.157,-48.124,-44.586,-121.443,49.118,10.209,-8.068,9.323,10.258,-2.32,-26.889,17.961
49.712,-19.511,-45.092,-70.54,17.179,-19.595,-15.752,-3.323,-18.892,-12.639,-21.384,7.443
45.967,7.298,-82.673,8.246,22.329,-19.537,0.831,3.955,-5.943,-60.524,-32.472,18.465
52.083,23.916,-21.76,-0.672,27.859,71.375,4.752,-12.366,-9.107,-1.485,-2.75,-4.074
43.92,4.654,-45.255,-9.19,24.551,-15.928,-15.73,-15.666,-12.481,-17.31,-20.477,18.961
43.986,-16.269,-28.082,-117.091,54.941,0.896,7.43,17.641,-23.249,-15.397,-16.972,-3.647
49.578,-20.219,-1.654,5.56,55.333,12.424,8.311,35.396,-30.105,25.916,-1.824,-22.246
47.895,-93.333,-33.345,-22.093,40.936,-58.695,11.016,-1.421,-36.853,30.041,-19.976,16.462
47.591,-79.574,-54.068,-38.695,83.589,-43.466,-5.577,6.878,-7.163,0.504,-14.6,21.43
48.05,-68.777,-106.096,4.198,82.611,-38.995,2.606,5.094,-11.665,2.647,-15.597,11.739
42.04,-101.417,-98.211,-32.445,51.73,-36.7,-18.765,-15.683,-25.072,-4.5,-29.888,6.691
46.451,-55.551,-33.626,-66.52,52.731,5.453,-1.386,-7.434,-32.04,3.682,14.295,-13.589
45.477,-48.589,-91.554,30.881,48.378,-41.429,-28.463,36.091,-7.895,-13.586,-24.728,7.345
45.826,-42.538,-55.349,-68.312,49.951,31.847,4.888,-35.395,-14.507,19.911,8.687,-0.464
45.216,-76.969,-87.262,-43.627,48.065,-41.491,-35.694,-19.641,-27.037,21.319,10.476,-4.096
50.191,-22.53,-54.424,-49.294,43.775,-39.97,-41.861,-4.631,-1.598,-9.864,-0.929,-17.955
42.488,-93.191,-89.304,-57.958,58.187,-23.909,-27.523,-4.88,-28.581,6.63,-8.814,-3.13
48.715,-30.487,-77.342,-59.688,41.02,9.78,-27.526,9.666,5.772,-12.886,18.132,8.459
44.618,-37.999,-83.992,-4.397,23.751,-34.407,-17.535,-16.599,-2.829,-25.024,-13.058,4.529
39.767,-88.95,-55.612,-16.091,-3.287,-48.548,-6.126,-38.504,-17.775,16.777,-5.302,25.177
40.19,-76.705,-85.329,23.741,-11.737,-8.313,7.913,-30.998,-1.229,-19.179,-3.6,12.548
40.683,4.283,-88.976,-36.609,29.606,-37.602,-17.844,-9.949,-19.44,2.393,0.366,7.237
39.126,-36.839,-71.194,-12.82,13.992,-28.014,-17.597,-30.779,-16.29,-11.063,-1.866,6.881
36.927,-55.864,-69.717,-5.223,15.072,-69.799,-34.686,-42.43,-14.315,20.198,-3.371,7.628
39.577,-31.546,-40.295,-95.282,3.329,-0.269,-24.847,-15.673,-0.425,-9.679,-20.686,-4.692
