0,1,2,3,4,5,6,7,8,9,10,11
17.743,81.022,-42.639,-117.776,2.829,86.143,27.689,39.063,-18.253,59.172,16.754,-3.623
25.497,92.761,-72.205,-64.324,1.406,4.358,14.471,0.268,-9.234,21.248,-49.576,13.785
26.021,58.383,-79.838,-46.711,-1.683,-60.283,-16.614,26.004,-0.736,0.999,-7.08,-14.496
27.642,80.922,-71.703,-74.065,12.241,-14.781,7.945,14.582,0.935,18.282,-46.582,9.415
27.225,89.321,-106.694,-69.278,14.931,-34.703,-3.156,2.084,5.625,13.692,-17.319,-1.703
29.906,68.254,-86.881,-66.688,31.701,-20.07,0.256,15.304,2.159,27.132,-35.957,2.591
29.289,88.741,-108.125,-54.999,26.81,-38.492,-9.128,7.277,0.999,22.173,-22.763,-4.97
31.979,79.267,-70.577,-81.297,26.035,-22.442,20.062,-0.651,-0.322,18.609,-30.729,5.346
49.721,102.057,-38.037,-39.371,6.254,-19.424,-28.574,52.025,12.146,-26.993,23.009,-9.229
48.294,163.069,-41.723,-43.076,21.363,-52.612,-19.363,7.441,14.032,0.245,-1.916,5.408
47.452,123.374,-61.027,-34.097,19.96,-65.09,-20.256,-1.843,11.557,-4.858,-0.821,11.04
48.913,99.79,-19.599,-20.018,11.875,-43.195,-13.135,26.65,-0.668,-20.657,7.317,-2.131
48.061,115.869,-52.373,-18.915,15.091,-49.51,-32.355,20.64,18.907,-11.872,-6.617,3.089
46.613,83.051,-53.525,-12.918,19.923,-55.772,-33.577,20.996,11.023,-28.728,-4.746,-17.538
44.255,84.087,-41.079,-36.956,27.624,-39.69,-12.915,-1.028,0.144,25.023,2.832,-16.277
44.531,53.98,-50.599,-35.328,23.172,-67.35,-21.899,17.331,16.167,-12.199,-2.81,-10.121
47.335,73.384,-18.196,-7.54,25.434,-14.097,-10.982,37.549,-20.061,-10.083,12.977,-3.949
45.494,42.959,-49.277,-8.002,13.895,-53.278,-13.328,27.499,4.092,-15.46,-5.165,-3.261
42.546,59.406,-24.241,-34.885,37.727,-46.549,-23.082,-2.08,-8.729,4.038,-3.359,-2.203
45.193,55.288,-68.286,8.409,12.76,-43.045,-29.304,-2.303,-3.923,-38.421,-10.508,-13.204
42.402,17.968,-66.846,-20.805,18.919,-73.667,-9.99,-3.911,1.927,15.292,-3.827,-20.169
42.65,19.031,-31.168,-44.064,8.239,-17.484,-4.987,6.013,-1.745,9.785,-17.116,-16.86
47.564,75.235,-14.577,2.145,36.467,-44.304,-16.492,0.226,-7.521,-38.295,1.433,-12.366
44.5,20.307,-45.066,4.137,3.679,-55.241,-24.5,31.992,8.948,-11.173,-12.445,-18.4
40.76,62.96,-43.14,-41.823,18.197,-26.723,-14.458,3.302,5.621,2.357,-11.901,-12.08
42.418,24.705,-51.881,-30.249,20.827,2.817,-12.346,11.456,-1.699,9.05,-33.534,-12.089
42.441,32.352,-52.803,-27.27,16.085,-20.775,-6.185,-8.951,-15.7,-2.864,0.781,-19.396
42.619,9.463,-45.411,-14.813,-5.049,-25.948,-16.995,4.01,-14.331,6.815,0.125,-22.227
46.239,35.363,-41.704,8.715,27.683,2.975,-19.588,12.661,-10.046,-18.234,7.39,-12.528
40.806,28.221,-26.243,-33.332,28.664,-13.258,-24.666,0.848,-8.09,-17.568,6.473,-18.895
44.315,30.114,-87.71,26.322,18.101,-53.967,-20.774,-8.813,6.053,-32.322,-10.984,-18.396
42.114,21.579,-45.048,-9.845,7.426,-35.077,-4.472,-14.619,-14.863,12.234,9.136,-25.106
41.047,14.476,-74.583,-27.93,1.761,-58.708,-17.473,16.953,-2.198,-12.491,7.337,-19.333
43.523,34.056,-29.162,-46.216,22.733,32.391,-7.347,21.851,-5.372,-16.706,-31.122,-1.238
40.759,43.755,-11.88,-46.753,20.761,3.757,-7.708,-3.145,-6.495,-15.889,-11.82,-26.821
44.458,32.406,-72.88,23.222,8.017,-42.861,-18.07,-10.809,-4.422,-34.302,-12.095,-19.18
41.742,21.579,-63.454,-16.021,11.135,-10.978,-1.541,-8.812,-12.814,-13.228,2.734,-22.921
40.544,-8.446,-64.081,-17.44,-2.778,-23.032,-12.562,12.602,-2.248,-7.199,1.256,-3.308
44.776,39.349,-46.45,1.622,25.726,30.989,-6.189,10.364,-1.895,-15.307,7.759,-9.176
41.48,39.152,-13.994,-2.935,33.493,-36.857,-13.218,-15.387,-10.88,10.873,-6.134,-18.962
44.404,28.895,-74.634,24.458,20.082,-40.283,-16.71,-4.637,2.49,-31.359,2.726,-22.519
42.359,9.86,-52.025,-1.912,-6.788,-52.292,-11.487,-22.393,-16.272,10.323,-17.99,-17.302
42.135,-4.247,-41.9,-30.887,8.964,-19.383,-4.494,20.837,11.904,-5.189,3.132,-20.777
47.126,62.408,-25.818,-3.352,29.546,3.25,-3.661,27.371,-4.535,-15.287,21.514,-2.679
44.273,10.143,-48.179,2.895,3.837,-56.17,-17.798,11.978,16.034,-11.538,-11.042,-19.413
40.673,50.512,-32.787,-22.084,29.15,-34.541,-23.419,-24.971,-6.382,-6.801,-7.038,-16.288
43.726,23.907,-69.395,21.025,16.474,-24.926,-12.952,8.459,-4.962,-21.085,12.025,-19.443
42.998,20.965,-55.969,-1.978,-4.613,-45.423,-9.23,-6.572,-20.409,2.971,16.39,-20.436
41.475,5.361,-70.545,-19.008,1.101,-54.172,-10.573,11.859,5.28,-4.97,6.63,-7.223
46.171,51.661,40.29,-52.891,20.006,21.283,21.746,32.71,-17.673,-3.766,-11.487,14.926
47.321,13.954,23.229,-12.463,-20.668,-54.008,23.487,31.111,-31.659,-13.503,18.123,7.943
49.147,52.179,-2.528,-5.64,-19.826,-41.278,3.018,14.736,-35.746,-37.361,9.058,-5.478
47.512,83.295,78.461,-0.589,-40.58,-30.38,6.734,14.269,-57.355,-19.349,6.056,15.141
48.182,54.439,19.867,9.704,-45.654,-34.699,16.35,10.709,-51.178,4.216,7.475,7.16
47.765,57.999,54.341,-19.799,-26.528,-25.032,14.763,12.229,-33.69,17.574,-22.832,2.942
49.576,56.288,28.179,30.582,-8.108,-25.302,1.982,8.752,-46.057,-26.98,5.363,1.533
48.41,42.753,26.665,8.848,-15.992,-19.635,17.501,13.904,-49.431,-14.799,17.229,-2.611
47.421,27.633,34.841,-7.243,-28.502,-26.219,24.1,-1.465,-52.457,-11.31,1.746,0.275
46.995,19.571,35.545,7.286,-49.643,-47.687,17.635,27.328,-48.994,-33.539,7.678,4.968
49.125,55.409,51.378,9.408,11.844,-15.643,8.762,44.208,-57.354,-26.176,16.245,2.022
47.962,14.44,27.611,11.777,-24.43,-20.196,21.918,17.892,-72.248,16.064,-3.868,3.069
46.694,54.965,69.772,19.454,-31.356,-37.335,26.427,8.752,-83.771,-8.634,-9.154,10.749
47.64,42.555,28.252,11.238,-19.734,-11.697,21.751,12.644,-55.233,-26.047,24.861,-8.781
47.112,28.589,35.273,23.321,-42.742,-50.553,19.681,-1.96,-63.221,-25.911,-5.678,-1.841
45.622,4.344,24.668,1.858,-40.366,-42.234,21.086,19.344,-52.604,-25.595,6.241,-3.281
46.747,35.531,-16.765,31.008,16.156,-11.839,3.081,20.755,-26.992,-18.91,-10.821,5.883
40.937,49.831,-38.829,-20.72,27.866,-48.034,-8.534,0.02,-5.188,-10.555,6.179,-9.345
44.102,38.047,-63.468,21.521,16.948,-6.434,-7.272,9.665,-9.417,-3.345,4.097,-16.181
42.296,19.569,-55.73,-38.776,13.181,-26.082,-10.149,-0.604,-7.776,-8.719,-5.143,-5.507
46.113,28.049,5.416,-30.991,17.003,22.702,21.623,13.537,-20.269,1.468,4.777,10.241
45.45,65.596,84.226,-12.977,-20.354,-20.812,22.314,-2.326,-55.158,-20.452,-0.403,9.304
49.021,55.792,13.075,27.596,-16.636,-32.541,13.808,4.504,-59.806,-38.577,6.739,-8.97
47.236,24.55,21.127,7.643,-29.598,-44.268,27.144,8.027,-53.191,-24.652,6.678,3.451
47.068,15.694,45.75,-7.647,-35.952,-31.73,18.912,26.63,-53.404,-11.951,12.358,0.59
49.131,68.605,50.787,19.47,15.233,-44.238,12.011,-2.766,-53.732,-37.293,14.506,0.721
47.539,15.805,19.098,8.766,-47.879,-55.944,15.714,20.748,-35.005,-31.607,-4.312,2.985
46.142,45.316,68.045,16.332,-17.143,-24.856,19.308,-1.532,-56.275,-12.248,-7.624,8.6
45.941,63.248,71.094,9.267,-21.678,-34.722,30.822,-2.606,-55.244,-23.496,7.368,11.598
48.924,40.11,20.915,20.115,-26.177,-49.149,21.235,-3.906,-62.297,-47.01,4.457,2.868
47.671,22.082,27.629,-9.485,-39.04,-24.644,40.848,-2.0,-65.401,-25.55,6.083,6.992
48.659,56.489,22.526,20.226,-5.602,-37.721,13.221,14.472,-48.176,-34.513,5.18,-3.521
46.888,11.744,3.317,-4.109,-26.842,-58.503,19.982,16.489,-36.325,-18.875,-4.751,-5.583
46.348,38.125,65.648,14.265,-18.8,-25.048,39.542,14.935,-67.397,-16.63,0.43,-6.303
48.157,36.326,28.019,14.265,-23.2,-8.444,29.245,17.967,-63.483,-35.317,26.894,-9.23
46.862,26.851,37.96,2.826,-40.613,-48.727,29.257,-1.838,-65.655,-13.559,-4.795,-7.191
46.68,5.372,30.592,10.073,-36.914,-49.163,25.955,24.389,-54.541,-25.744,-0.863,-10.771
47.955,35.191,-2.693,29.497,14.529,-20.402,6.926,-0.014,-38.399,-17.809,5.873,3.492
42.477,34.084,-21.764,-24.647,21.892,-31.581,4.346,2.967,-16.293,-34.797,-6.556,-0.679
45.264,23.675,-58.739,24.924,13.381,-50.109,-7.725,-5.869,-12.057,-34.353,-12.791,-3.134
42.103,23.396,-35.019,-63.225,14.809,-20.277,-22.361,-1.359,-13.557,-4.691,-22.8,-14.574
43.894,12.955,-28.479,-37.115,2.268,-22.418,-3.342,15.247,-1.329,2.853,-2.499,-14.814
49.218,13.047,18.87,-7.117,11.733,-11.066,15.235,7.27,-11.271,-1.198,-1.278,2.264
48.733,4.045,36.373,-30.862,2.338,-17.136,16.764,5.28,-13.842,5.689,-14.505,1.158
49.004,5.176,15.065,-31.843,-15.741,-19.009,15.474,-0.172,-26.99,4.775,-16.71,0.372
50.575,-2.265,20.792,-39.249,-0.331,-30.781,15.885,29.293,-5.422,18.187,0.468,-8.212
52.363,42.441,20.269,2.664,-12.074,-5.695,10.867,-2.436,-27.842,13.124,-33.407,-1.488
51.048,4.721,15.561,12.601,-13.663,-13.743,8.959,14.602,-23.789,6.566,-11.692,-26.276
51.689,58.079,4.1,-2.204,4.352,-13.808,1.144,-4.529,-17.9,9.08,-21.333,-3.183
