0,1,2,3,4,5,6,7,8,9,10,11
0.598,161.285,12.925,-43.683,56.864,-56.037,20.157,-12.436,-27.037,-1.627,0.109,-7.672
31.672,-60.038,-59.145,16.07,24.262,-60.555,-23.852,-27.078,9.491,-16.135,32.157,-2.724
36.75,52.842,-37.961,68.079,68.478,-1.242,-11.775,-73.661,5.377,-16.161,-6.126,21.517
37.363,95.589,-46.846,49.814,78.095,0.953,-25.661,-40.471,19.445,-21.471,-17.041,23.1
36.822,32.057,-13.763,-24.527,46.802,85.685,-2.608,48.689,21.758,-45.79,-40.932,22.383
36.733,74.655,-36.091,1.256,71.494,65.587,-8.98,-19.51,38.336,-44.295,-3.381,4.249
33.944,6.872,11.357,-47.701,78.296,38.644,-1.94,27.459,39.116,-70.554,-55.928,18.402
37.229,62.374,-26.575,31.732,80.257,45.706,-17.371,-39.169,37.201,-35.062,-7.689,7.576
34.434,23.278,20.38,-32.859,83.315,49.413,-3.956,13.915,40.981,-68.993,-44.737,14.035
37.032,57.312,-41.067,68.48,71.301,5.859,-15.507,-74.351,26.857,-5.922,-19.102,9.393
39.668,57.043,-63.38,87.188,25.934,-24.706,-43.154,2.481,19.283,-28.89,-44.2,14.08
35.721,69.596,-36.815,57.777,75.801,62.5,-5.731,-61.168,31.252,-37.539,-11.696,4.657
36.776,72.1,-18.969,66.885,78.069,14.762,-12.8,-69.05,15.923,-16.896,-15.898,10.783
31.649,-56.268,-69.808,42.779,18.963,-49.935,-18.553,-7.428,18.267,-20.799,9.865,-4.31
31.77,-10.165,29.889,-81.28,59.501,20.407,-2.015,39.077,24.818,-30.889,-40.237,20.029
37.836,78.936,-42.487,46.161,69.498,21.815,-6.813,-46.892,15.57,-22.863,-19.157,19.599
37.067,13.02,-29.551,-10.655,47.882,92.269,-16.227,46.39,28.97,-60.796,-38.426,11.703
35.861,48.756,-53.42,30.251,59.152,57.418,-2.729,-55.791,28.37,-33.198,-1.22,7.123
37.545,76.448,-49.784,73.368,63.771,6.326,-27.395,-66.979,21.119,-9.732,-24.006,15.664
36.276,49.62,-34.348,11.063,66.599,60.758,-9.201,-28.167,37.806,-60.009,-16.276,10.494
37.502,66.769,-48.838,76.475,64.992,9.471,-17.959,-70.507,18.407,-14.593,-18.044,11.46
38.1,72.403,-44.614,69.233,68.943,0.205,-22.105,-70.358,23.237,-10.671,-21.551,10.508
38.461,44.479,-44.468,62.306,50.113,53.245,-15.983,18.653,23.693,-46.425,5.535,10.192
35.275,55.933,-46.971,36.354,80.456,66.303,6.779,-57.93,25.072,-46.295,-12.125,8.375
36.759,70.66,-34.476,74.017,57.996,-1.735,-13.036,-71.424,19.723,-8.853,-22.483,13.902
35.934,-86.328,-98.546,13.945,17.094,3.498,-3.848,-12.919,15.467,-5.832,-16.494,22.689
39.63,20.067,-120.748,50.232,20.541,15.969,-26.686,-42.787,33.977,-18.787,-42.722,1.194
