0,1,2,3,4,5,6,7,8,9,10,11
0.225,175.579,13.065,-35.531,56.105,-54.24,14.084,8.656,-25.696,3.444,-3.209,-7.688
20.82,242.201,-36.066,102.895,-5.033,-62.908,-46.762,-64.796,-21.052,55.017,-10.527,20.148
22.423,192.113,-68.598,36.031,8.482,86.806,-14.964,-52.952,11.9,-37.373,-17.252,-8.014
16.891,94.266,-46.271,-30.187,-23.631,-44.229,-35.656,12.027,14.775,9.309,-10.361,-1.084
15.751,133.282,-28.489,-50.622,-21.346,-28.054,-28.986,1.616,5.881,19.249,-10.637,6.878
31.19,108.438,20.901,-175.68,8.973,176.859,16.119,-42.507,-8.701,13.239,-123.168,23.775
36.139,91.499,-105.788,223.804,-0.705,-11.691,-71.062,26.688,2.301,15.13,-26.984,6.658
36.604,67.08,-94.618,139.623,10.472,153.42,-12.794,-19.432,-5.271,58.725,-2.473,2.62
26.574,195.098,-93.481,52.842,-19.272,-78.202,-39.614,-45.428,-7.254,28.844,-30.14,24.212
33.912,107.265,79.49,-253.265,-5.452,52.095,8.429,-10.371,-0.48,37.342,-14.992,0.422
45.9,77.251,-21.264,26.84,-8.634,11.882,-23.515,-12.993,-5.343,11.462,-29.61,14.354
45.19,69.553,-16.176,42.377,-28.399,-16.837,-21.224,-19.471,-5.476,3.46,-26.551,10.385
46.192,63.367,38.08,-104.603,5.392,74.007,19.961,21.04,21.294,-46.269,-3.254,5.374
49.024,97.762,16.882,2.391,-2.55,2.858,-16.362,-13.946,2.228,-10.451,-17.291,8.86
45.223,92.004,-4.034,15.796,-23.587,8.498,-19.406,8.596,3.607,9.121,-12.708,13.007
49.169,111.345,1.698,7.911,-3.104,-4.382,3.939,-35.116,4.845,-6.749,-31.595,8.936
49.175,83.872,-27.323,-15.061,-15.752,-13.539,-14.105,-39.662,13.398,0.993,-24.501,-0.913
48.221,70.132,-13.479,-34.921,-14.532,12.268,6.803,-3.833,23.29,-31.648,-17.978,-2.398
46.33,49.544,-38.326,43.842,-17.899,-13.061,4.099,-57.195,1.37,-5.961,-35.88,21.217
45.954,36.416,21.896,-93.541,-10.248,21.1,-2.803,33.228,15.257,-36.763,-15.073,16.438
46.532,87.244,-6.583,68.627,-1.587,15.006,-33.671,14.516,-4.322,0.814,-62.891,23.612
41.401,102.899,-12.603,89.03,-29.389,-4.033,-31.272,-16.797,-20.424,37.777,-4.311,3.067
49.733,106.822,-11.696,14.838,-9.438,7.135,-3.649,-32.548,13.154,3.58,-10.399,16.474
48.587,93.268,-41.24,42.391,-5.467,-5.523,-8.271,-44.415,19.199,-6.377,-34.563,0.666
42.963,23.244,-25.755,-89.327,-20.477,-24.119,-14.463,16.634,14.906,-14.784,-10.547,2.273
47.708,84.602,-22.156,9.692,-25.23,15.016,-11.864,-32.223,8.151,-5.548,-17.361,8.618
49.689,92.761,7.195,10.688,-1.048,-0.506,-19.105,-16.526,8.664,-9.926,-9.219,10.293
46.951,97.102,-16.45,64.193,-9.39,14.386,-32.325,-21.972,-3.417,-3.386,-49.462,19.459
42.406,71.78,-30.312,75.427,-32.569,-28.138,-23.747,-21.758,-7.854,34.966,-11.028,12.704
49.702,100.961,4.423,9.156,-4.189,12.314,10.075,-36.014,3.681,-2.747,-12.33,7.429
48.985,96.638,-37.982,-1.486,-25.934,4.803,-16.651,-35.024,21.9,-20.625,-26.161,6.314
48.307,83.875,-15.159,-29.618,-20.574,19.788,-2.466,1.469,22.718,-36.342,-10.459,-7.995
45.818,57.325,-32.842,70.802,-15.083,-17.508,-6.871,-41.428,1.317,-5.846,-20.293,4.946
43.53,61.398,24.472,-126.755,-18.381,0.077,-7.228,0.69,6.342,-0.443,-5.958,9.311
51.359,77.185,-38.187,-16.019,-30.509,-16.2,-17.95,-20.558,-5.463,1.52,-14.253,2.048
51.299,27.557,-56.076,-27.144,-19.115,-90.904,-6.552,-20.722,-17.105,15.933,-21.437,9.247
55.033,66.172,-4.396,-29.082,-36.882,-9.067,-14.749,-0.374,8.103,3.649,-12.152,-2.598
55.799,61.873,-11.069,-49.131,-2.228,-19.606,-32.386,7.876,-11.146,-6.032,-7.249,6.749
56.079,77.655,-25.721,4.046,-0.915,-0.561,-36.409,6.669,-4.503,-12.798,-35.232,-0.987
53.048,65.37,-36.12,-30.728,-27.433,28.636,-12.366,-6.966,-6.87,-1.567,-40.882,10.938
55.301,82.367,-31.928,-31.379,-28.127,-17.725,-14.879,17.152,-0.609,-4.665,18.511,-17.622
56.496,129.809,-14.567,-26.247,-25.045,-30.684,-36.398,-22.201,-7.554,7.094,-18.815,-18.993
57.723,98.691,-21.647,-24.155,-4.686,-27.693,-21.309,-7.728,-7.348,-7.082,0.758,-5.671
54.257,82.957,-11.796,-26.317,-31.392,34.907,-9.146,19.284,-2.622,4.952,-24.0,6.869
54.697,97.885,16.091,-73.325,-21.557,13.712,3.678,35.461,-13.533,0.687,-21.509,11.136
55.275,85.672,-14.863,-1.647,-19.807,8.257,-16.199,3.494,-10.494,16.742,-31.767,-13.981
56.872,101.728,-2.27,-8.633,-34.624,-2.988,-19.041,-25.749,1.183,2.359,-10.426,-19.772
55.018,77.776,3.466,-30.185,-33.011,-24.529,-23.226,-12.542,-5.922,12.97,-16.863,-13.263
55.778,86.276,3.934,-27.304,-24.804,-34.856,-35.405,-8.791,-7.943,11.999,-10.024,-7.329
