0,1,2,3,4,5,6,7,8,9,10,11
17.2,132.563,201.755,-294.649,93.014,75.76,69.025,-62.238,-35.685,47.869,-26.448,3.616
41.701,-35.94,1.23,121.853,19.297,-78.95,-9.555,-35.149,-6.753,-11.899,-30.514,14.054
41.09,-81.957,4.514,115.593,0.223,-100.954,-12.788,-22.51,-16.537,9.951,-14.804,4.246
39.091,-45.157,51.113,-77.311,19.229,51.285,9.422,37.945,24.648,-54.365,-54.543,1.518
41.18,-84.185,4.366,110.46,-11.106,-107.874,-14.465,-19.727,-21.313,7.905,-4.302,3.246
43.245,-28.491,-11.758,83.107,7.957,-80.839,-16.098,-20.522,-4.352,-12.707,-25.038,11.431
37.443,-113.189,25.422,10.081,16.395,40.251,7.672,13.785,-2.056,-39.292,-66.253,6.386
44.798,7.505,-31.938,78.211,-9.506,-16.763,-23.581,-20.094,-5.102,6.731,-41.77,8.701
41.036,-99.216,-3.82,112.882,-11.102,-105.191,-3.072,-35.24,-20.647,8.698,-13.043,6.238
42.061,-45.634,-22.009,110.853,4.029,-82.85,-8.464,-36.535,-5.778,-14.594,-36.018,14.809
40.95,-89.241,-16.035,126.377,-8.443,-70.165,-5.035,-28.857,-19.211,14.204,7.78,4.426
44.599,6.392,-30.764,80.051,-21.027,-17.54,-19.633,-28.491,-8.139,1.573,-41.036,18.79
41.028,-90.867,-4.782,110.705,-15.625,-105.198,-5.11,-26.006,-19.188,12.014,-8.638,2.587
42.469,-43.037,-11.417,110.158,9.085,-51.419,-0.37,-31.431,-2.543,-3.452,-11.41,-5.555
41.088,-95.478,-12.256,114.942,-11.989,-104.44,-7.93,-27.024,-16.561,8.949,-16.851,6.456
42.335,-10.901,-8.892,-11.198,7.977,101.201,11.481,13.074,21.304,-59.821,-15.16,-5.517
40.603,-93.514,-24.362,128.596,-1.211,-22.645,10.272,-28.659,-9.409,8.133,33.571,-6.91
42.072,-41.223,-23.613,108.115,-10.03,-82.592,1.204,-32.94,-10.849,-16.138,-33.544,14.489
41.141,-90.936,-19.349,125.96,-10.033,-71.577,6.159,-26.232,-12.77,13.917,7.67,11.464
45.141,9.403,-37.365,55.803,-15.283,1.181,-10.977,-14.55,2.102,15.354,-22.483,11.168
40.196,-92.526,-27.426,114.785,-1.83,21.408,28.43,-21.424,-0.221,-4.54,43.516,-10.609
42.503,-46.202,-30.252,108.124,-3.742,-89.361,3.003,-20.176,0.711,-6.759,-26.783,5.237
41.017,-96.825,-27.895,130.169,-17.825,-70.25,14.16,-26.507,-17.61,17.833,7.527,5.213
44.631,12.663,-36.612,69.563,-12.66,2.399,-9.455,-16.002,-10.061,12.726,-19.689,17.383
41.209,-102.25,-36.078,132.105,-19.954,-72.576,17.65,-18.1,-14.343,19.317,10.924,4.984
43.015,-54.285,-56.642,92.987,-15.482,-84.632,10.924,-16.685,-0.816,-3.126,-36.344,15.519
38.397,-113.414,-11.316,21.478,7.851,77.665,40.624,8.465,9.262,-36.301,-55.824,6.292
43.998,0.752,-45.207,62.883,-5.39,42.484,-1.119,-16.056,-0.134,-1.436,5.704,10.83
41.718,-116.655,-34.426,106.892,-30.547,-106.153,12.695,-24.027,-17.151,16.624,-14.204,8.482
43.381,-43.929,-40.455,76.807,-24.84,-93.493,9.472,-11.036,-7.235,0.613,-12.436,14.869
44.303,-58.385,-26.942,39.319,-36.267,-106.251,3.716,16.399,-4.323,20.406,2.287,1.056
41.828,77.861,38.275,3.273,20.168,3.704,-6.68,54.978,2.02,-20.635,-23.063,9.866
44.27,147.699,123.825,-114.19,72.391,15.645,16.633,-50.977,-23.214,51.429,-40.05,4.209
51.83,60.705,-70.123,-21.952,6.159,-61.497,-17.243,6.788,-8.63,7.543,0.231,9.275
53.333,93.507,-50.019,-4.59,-13.265,-34.595,-23.239,29.16,0.682,1.437,0.733,-6.35
51.628,66.797,-11.517,-34.224,-5.794,-8.926,13.508,-11.221,-14.324,21.826,-23.636,1.516
50.867,38.307,-43.939,-8.202,-19.637,-50.905,-2.236,-7.621,-11.758,1.45,-8.318,-2.107
50.537,14.237,-28.004,-6.675,-15.624,-20.696,5.896,-9.871,-4.531,17.56,-8.719,9.471
52.778,44.362,-38.468,-8.571,-14.774,8.335,1.281,-11.908,6.058,-21.433,3.973,-13.78
49.117,15.35,-59.444,31.977,-32.498,-82.076,-7.157,3.394,-13.742,-3.405,-14.845,-6.007
51.503,-11.524,-5.478,24.203,-43.375,-38.34,13.425,-18.382,-15.566,7.193,-0.507,2.713
52.416,60.462,-46.852,-10.877,-1.699,-0.002,-1.527,18.538,0.875,-26.144,6.999,-0.221
50.798,8.865,-28.708,19.132,-38.731,-40.652,-2.795,-7.047,-23.713,13.165,1.479,1.362
50.566,7.178,-39.794,18.46,-28.109,-6.396,9.91,-17.881,-14.022,-4.451,-13.821,0.372
51.311,23.169,-23.925,-44.196,-7.931,41.729,22.033,-3.377,12.125,-40.491,8.045,-11.988
50.345,8.469,-9.287,-8.565,-27.965,4.287,28.284,-9.212,-7.925,-22.138,-31.059,4.044
48.037,28.014,-18.519,-105.852,-15.655,18.395,5.789,60.979,-0.491,-28.964,-29.499,3.829
50.85,3.955,-24.831,17.637,-22.03,-33.618,10.848,-26.648,-16.681,14.404,1.562,-1.236
47.947,-3.57,-67.517,14.706,-13.917,-71.49,11.425,-15.419,-30.393,-8.531,-23.53,-0.543
48.963,-39.091,-27.547,29.537,-23.453,-9.107,14.053,-50.501,-13.559,12.073,6.131,-1.754
52.001,21.136,-30.804,-15.775,-0.952,33.382,15.608,-7.115,2.527,-38.242,2.642,-3.781
49.486,-21.904,-59.086,-0.399,16.303,-2.61,-4.833,-15.54,-17.007,-20.23,-3.757,-8.517
50.97,2.254,-10.735,12.309,-46.509,-25.806,-0.928,-30.066,-18.673,8.052,-21.329,0.28
53.716,51.289,-52.273,-22.125,8.34,-40.148,-30.787,-10.968,-3.567,-16.406,-17.659,5.468
51.358,-7.467,-6.836,11.781,-30.057,-61.45,18.431,-19.147,-20.436,26.265,-1.976,14.761
52.097,7.926,-22.024,20.541,-14.914,-55.36,26.917,-30.337,-30.654,0.562,-11.228,12.382
48.541,-60.802,-29.565,31.005,-24.898,-52.119,21.365,-39.102,-26.052,6.826,5.853,8.06
50.307,-23.844,1.533,-64.456,-3.703,6.218,6.999,32.652,9.098,-49.965,-17.094,2.076
51.453,-14.307,-14.803,24.408,-7.044,-45.758,15.745,-26.499,-15.76,12.183,-8.551,-5.175
47.437,-32.973,-43.852,41.283,-37.499,-56.3,11.416,-4.963,-19.407,5.316,1.864,0.618
48.813,33.422,-4.631,-92.308,-17.565,35.583,2.906,68.1,9.998,-21.605,-26.168,-4.063
51.042,10.059,-14.925,2.801,-18.472,0.553,14.144,-22.126,-11.007,4.306,-15.557,-1.135
49.307,1.416,-32.583,-12.86,-19.14,-9.508,2.456,18.675,-3.292,-29.788,-28.672,7.73
47.464,-32.106,-31.838,6.583,-20.391,10.707,14.945,-31.744,-7.496,-0.432,-19.225,-2.711
53.471,40.449,-33.323,9.894,-14.843,-16.442,-4.216,-25.909,-0.582,-9.86,-17.49,-8.313
48.571,3.69,-70.867,38.134,-33.161,-79.732,-4.285,-5.033,-33.452,-4.992,-14.225,-2.705
49.92,-19.394,-15.239,-1.784,-33.377,34.222,16.205,-10.302,-8.155,-0.294,19.253,-15.485
52.715,52.687,-51.287,-16.613,6.706,-14.389,-13.455,-4.614,0.698,-14.649,7.178,-2.888
51.024,-8.06,-17.151,8.404,-21.884,-56.363,8.379,-21.447,-21.416,13.82,8.261,3.344
51.728,16.206,-22.913,16.759,-28.854,-24.405,15.644,-12.936,-9.041,-1.575,-23.855,-0.773
48.122,-4.214,-7.245,-102.279,-10.374,30.832,22.109,21.929,5.103,-38.556,-36.232,-5.537
50.552,7.29,-26.893,2.772,-21.693,9.77,19.639,-11.687,-13.965,-17.702,-15.337,8.341
48.148,29.409,-34.763,-106.425,-8.322,39.847,-0.448,53.988,9.346,-40.925,-31.938,0.312
50.727,2.807,-34.383,17.18,-21.331,-27.276,9.161,-29.456,-12.089,27.12,4.11,-4.555
48.235,-2.14,-70.44,20.282,-10.807,-53.955,12.834,-7.484,-32.991,-9.648,-19.598,1.202
48.033,-41.496,-26.255,-2.552,-23.949,32.388,17.363,-32.296,-4.897,-16.089,-12.837,-5.903
52.304,17.197,-45.477,9.687,-0.799,15.272,5.671,-19.404,1.221,-24.172,4.427,-0.241
49.236,-22.567,-71.079,-0.385,-6.246,-68.527,-21.078,-26.471,-22.551,-0.353,-30.311,-6.909
50.363,-3.299,-19.047,-3.448,-36.111,1.09,-5.896,-28.623,-0.222,-6.367,0.699,-13.908
52.848,46.775,-58.788,-21.666,9.517,-19.271,-17.213,1.652,10.646,-16.896,12.6,1.437
51.151,4.807,-20.588,12.548,-24.033,-23.33,12.016,-23.949,-7.478,8.84,1.799,-0.473
52.142,14.537,-14.396,18.013,-17.253,-26.5,29.914,-29.905,-20.862,-9.056,9.778,-0.268
48.323,-60.922,-32.037,13.408,-18.438,-68.292,22.48,-33.687,-19.672,16.333,3.572,7.478
51.234,16.974,0.384,-90.984,3.352,-0.121,6.365,49.416,15.517,-36.737,-10.63,7.903
52.663,17.348,1.838,-18.01,9.716,-21.347,27.047,0.669,4.236,-4.613,-12.141,-5.171
52.855,54.753,-12.98,-24.377,3.663,-38.003,-10.601,15.856,-6.128,-1.145,-13.006,-16.175
50.613,46.259,-41.651,8.824,-7.679,-69.383,-0.164,31.662,-24.081,7.567,-21.21,11.756
51.024,65.486,-40.503,-46.996,42.244,-10.155,11.441,18.539,-28.426,42.749,-7.357,17.404
50.489,6.805,-68.47,20.065,1.069,-56.659,-15.659,-21.167,-21.003,9.265,-30.089,-1.816
50.401,60.834,-16.994,-91.693,43.828,-17.34,31.655,-67.373,-22.806,-5.23,-11.438,1.416
49.238,95.22,-86.642,58.832,24.177,-30.731,-4.727,65.545,14.452,-42.946,-45.981,3.527
