0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
16.262,-23.415,125.412,-98.187,127.89,49.36,61.01,-35.565,-5.806,66.308,-5.965,-8.864
31.144,-91.215,123.004,-73.881,96.13,1.519,8.728,57.153,31.71,-7.654,15.389,-42.804
35.232,22.383,170.387,26.521,134.792,-25.738,-42.912,-7.365,27.621,1.82,1.609,-37.893
32.917,-66.084,104.961,-0.102,93.006,-27.243,-13.558,10.455,28.352,-0.11,-13.084,-26.495
34.041,-9.507,113.087,-3.955,108.477,-36.678,-32.377,-14.695,39.775,10.934,-2.894,-22.41
35.524,-85.6,122.681,40.238,122.566,-31.208,-11.14,-34.786,28.571,1.244,-27.315,-21.468
33.316,-74.665,120.353,-14.445,110.629,-32.438,-9.743,6.318,35.889,11.49,9.244,-25.649
35.979,-18.944,155.662,1.352,142.308,-34.961,-43.339,2.689,38.662,-3.816,6.437,-23.355
45.726,-7.241,-53.463,44.279,18.264,-70.91,-6.018,-51.137,27.525,63.354,19.329,-27.642
51.395,57.071,22.371,-68.31,37.651,44.773,19.283,7.222,31.062,-9.437,29.516,-23.196
52.278,97.274,52.581,68.076,52.622,-11.081,5.169,3.268,12.867,-26.309,-54.08,-15.771
50.354,92.588,135.387,-58.126,86.789,63.252,-3.201,31.689,14.541,-24.439,-6.844,-18.173
52.547,55.777,28.162,19.491,34.192,-28.324,-17.878,-6.857,5.514,0.171,-35.735,-11.557
53.282,100.031,89.578,18.402,66.151,10.002,-7.149,-8.119,-2.178,6.686,14.252,-12.56
53.673,103.485,81.459,5.383,55.03,-15.782,-34.028,13.805,4.912,-18.83,7.557,-22.84
53.665,105.664,91.311,-2.643,76.627,-27.017,-45.36,-13.06,3.794,-3.825,-9.746,-12.533
53.149,63.639,27.253,-9.746,35.352,-35.686,-21.72,-9.255,5.285,9.864,3.822,-7.391
