0,1,2,3,4,5,6,7,8,9,10,11
0.683,157.24,-15.313,-38.605,40.216,-49.869,23.886,5.299,-26.539,5.56,-12.202,-5.358
33.38,-39.561,54.847,-162.05,42.284,195.084,46.5,12.18,-42.891,18.19,-14.471,0.241
42.77,-38.06,16.694,17.54,4.345,0.893,-8.189,-4.739,-12.695,-6.982,13.192,-1.89
41.732,-36.843,11.69,-2.356,-10.019,22.275,-16.062,4.498,-17.053,-16.855,-6.686,9.681
43.347,-51.711,-7.824,11.312,-16.839,-49.283,-23.992,-8.582,-15.797,11.656,-7.562,4.2
40.616,-44.232,-0.001,-20.374,-16.476,-8.686,-39.36,-3.035,-19.955,-21.233,-2.298,6.769
44.154,-41.869,3.925,40.633,-0.326,-33.168,-13.493,-7.346,-13.985,1.048,-4.265,21.672
40.359,-53.133,32.406,-30.856,5.623,-15.608,-11.529,-0.894,-11.918,-8.124,-13.88,23.266
45.17,-58.223,8.539,17.539,12.493,-8.662,-23.519,-14.033,6.396,0.922,-10.076,-1.528
45.741,-7.228,41.991,-5.258,18.244,-13.313,-44.083,-37.284,-7.59,-10.494,-0.268,-12.374
46.57,-3.908,51.265,-7.573,9.889,-23.583,-25.069,-13.911,-3.573,-11.96,-2.808,-15.518
48.354,11.883,51.316,-18.297,5.287,-3.649,-26.118,-5.168,-4.481,-16.931,4.423,-8.955
47.113,-8.369,40.317,29.869,6.148,-23.445,-38.569,-14.269,-11.215,-5.443,-10.7,1.841
44.076,-54.46,18.018,13.345,8.339,-37.181,-28.022,-14.395,-6.927,5.531,-10.987,-5.774
43.844,-51.159,21.773,5.424,18.427,13.09,-20.401,-9.232,-10.596,-22.693,6.709,-4.35
43.566,-50.002,11.504,13.414,6.065,-13.581,-16.477,-9.28,-17.088,3.872,8.361,-4.267
41.376,-79.012,11.52,-13.319,-8.493,-42.889,-25.084,7.224,-9.129,4.006,5.894,-13.846
43.876,-31.621,13.553,22.951,9.585,18.7,-11.239,-8.605,-7.287,-14.017,-3.097,3.069
48.192,34.757,39.459,-15.621,13.613,63.557,-11.265,-7.02,0.051,-24.257,4.769,-1.793
48.654,38.133,54.705,-22.471,2.763,-8.835,-33.607,-4.225,-8.93,-15.504,14.719,-12.893
49.526,11.314,-3.293,23.103,9.049,-52.746,-28.393,-19.021,-3.041,-26.136,-10.731,-9.501
47.357,-34.082,-2.606,3.878,-5.319,-14.576,-6.151,-12.236,-4.65,0.28,-12.784,-0.322
47.818,-0.596,19.364,-8.489,-1.235,-25.807,-20.672,-19.846,10.621,7.284,17.512,-8.727
50.516,-4.731,-7.24,21.194,13.897,-40.138,-35.009,-3.92,-0.34,-18.235,-6.368,-3.731
50.362,4.965,15.621,5.42,23.902,-3.605,-34.418,-5.709,-5.777,17.562,-15.382,1.446
47.724,-25.72,-12.108,-8.528,-3.57,-68.193,-20.953,-14.198,-8.717,-4.226,-13.767,2.128
49.835,18.99,18.273,-51.289,-22.539,-12.858,-10.895,6.334,4.607,2.457,-8.06,-23.093
52.548,134.333,-6.075,-40.599,-0.067,-22.915,-13.702,10.606,-23.887,-26.59,-8.293,-34.966
54.105,63.845,1.016,-15.252,-9.744,14.223,-11.224,17.08,-8.922,-3.887,-17.49,-6.32
53.815,65.15,22.769,15.172,12.749,-39.591,-22.507,40.581,-22.838,4.739,2.949,-18.588
56.204,40.59,81.478,12.748,18.967,-23.63,17.101,-13.72,-8.237,31.574,8.331,-11.731
56.564,30.289,72.657,13.613,26.836,-46.028,14.711,24.016,-6.915,-25.177,-2.673,-0.851
52.466,63.903,54.558,-70.872,-13.505,6.756,-22.764,34.852,-1.247,-16.848,-0.277,-17.941
55.85,37.482,49.046,-1.604,-4.914,-34.413,-11.186,26.173,-2.462,17.412,-18.923,-23.545
54.699,74.081,35.087,-45.35,-0.964,18.714,10.333,-26.204,5.666,-23.676,5.931,-15.887
57.095,51.162,47.675,6.863,40.148,-42.57,13.533,7.776,3.49,-10.374,-7.304,22.096
53.504,47.144,77.09,-51.549,14.479,-20.75,18.507,13.16,-6.081,5.932,-3.125,-0.874
