0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
45.472,106.722,57.315,-76.687,34.581,118.062,32.385,18.818,-2.757,43.258,64.469,-5.468
49.61,64.879,32.132,3.839,-19.038,-28.013,17.478,-9.245,-4.152,5.56,-7.993,-1.786
48.433,43.883,46.304,1.356,-7.902,-31.658,-3.904,9.964,6.497,-3.882,-8.366,-21.633
46.928,64.849,42.302,-15.088,-11.532,-28.357,12.319,-3.64,3.189,8.742,-9.159,-5.226
47.928,65.185,54.051,-0.968,-16.192,-30.455,17.116,-6.622,5.874,8.87,-11.699,-9.57
47.37,61.132,58.214,-8.342,-19.231,-26.139,13.474,7.624,-0.903,-3.064,-11.569,-12.139
47.736,65.313,44.643,-17.079,-17.924,-25.458,-9.02,3.256,3.713,6.291,-8.269,-17.811
47.608,59.021,45.565,-7.136,-10.689,-29.329,-4.478,-6.713,6.833,9.778,-14.963,-18.477
47.619,74.483,46.485,-11.238,-18.521,-29.229,3.103,5.291,3.876,-6.528,-3.54,4.976
48.211,64.347,63.047,-8.941,-12.22,-25.04,-0.506,-1.308,-4.801,5.777,-5.387,-1.841
48.809,59.807,48.855,-15.279,-17.436,-48.835,-16.135,-12.376,-19.234,17.032,-1.303,16.957
49.018,59.877,65.066,-9.246,8.011,-26.643,-18.43,9.971,-3.693,-6.313,-8.871,1.246
49.866,65.753,69.39,-23.733,5.527,-32.639,8.209,6.568,-8.987,12.042,1.645,2.555
51.621,138.42,70.259,-18.6,17.672,-24.425,-24.96,14.671,14.061,-2.634,-12.799,-10.955
53.069,110.994,-44.912,-34.914,-8.021,-63.301,1.11,6.11,0.458,-2.198,-9.737,-8.636
52.157,105.805,-7.11,-25.069,8.444,-36.477,4.301,14.563,-14.174,-3.421,-4.568,3.737
52.033,108.613,-7.59,-24.625,-11.744,-44.975,15.92,14.249,-29.511,-2.681,-9.267,-0.456
51.623,106.795,-21.875,-28.645,-12.456,-53.849,7.876,14.651,-22.072,8.435,-11.361,-7.382
51.257,129.989,-14.443,-38.066,7.935,-35.505,12.562,-5.173,-22.633,7.129,-19.783,-4.568
52.0,114.881,-19.427,-19.621,5.623,-28.146,14.456,18.031,-31.696,13.083,-3.842,-8.508
51.776,105.408,-15.376,-40.606,14.517,-50.701,21.648,2.314,-29.574,5.765,-14.663,-5.999
52.283,93.997,-8.21,-25.815,12.702,-55.335,0.038,13.401,-3.449,13.793,-0.812,28.712
52.604,107.068,-31.841,-30.566,-13.765,-34.085,-6.076,-1.235,-8.484,11.207,5.703,21.68
53.042,107.572,-22.327,-41.562,6.074,-31.039,-13.862,-9.03,10.456,14.423,-3.266,17.469
53.058,131.988,-20.945,-8.63,8.583,-32.844,-4.806,6.285,18.127,21.104,-20.623,2.954
52.307,111.958,-18.649,-36.832,-29.325,-29.388,-7.208,3.29,-3.102,10.759,3.387,17.405
53.418,107.726,-5.058,-35.978,-28.484,-27.855,-21.008,-3.9,2.889,21.544,-9.208,12.264
52.114,118.007,-2.01,-11.815,-48.687,-22.566,-6.512,-6.583,9.879,15.009,-1.598,0.441
51.926,100.67,36.382,-15.059,-36.557,-51.589,-17.718,-2.272,8.036,16.283,-6.878,-24.409
52.111,92.672,27.152,-8.173,-50.089,-35.403,-2.354,12.231,-20.023,-0.722,-2.121,-12.222
51.031,96.599,66.09,-3.81,-18.046,-23.765,8.129,-10.182,-17.017,13.205,-12.92,7.135
51.245,69.039,61.49,7.91,10.111,-38.522,-10.104,-1.021,-13.68,-4.529,-0.785,-9.145
50.992,64.274,65.361,9.714,9.865,-32.737,21.881,24.11,-9.419,0.144,7.121,-17.044
50.381,89.741,78.476,19.343,15.421,-28.996,-6.459,-6.484,16.069,7.007,-20.309,-15.771
48.183,78.176,83.392,-15.987,26.07,-21.857,-1.301,1.332,5.864,9.535,-15.108,-9.265
50.464,74.82,57.796,-13.194,23.705,-1.347,-0.1,-4.191,-25.792,-9.934,-7.532,-2.472
50.105,60.874,52.97,-7.424,12.077,-39.945,37.599,3.155,-3.401,7.61,-15.828,-6.251
52.668,45.973,-5.615,-6.26,4.43,-40.964,18.003,24.982,13.421,14.044,11.841,-5.153
51.896,66.079,-13.118,-24.939,-14.911,-40.885,2.466,14.351,-6.774,10.486,-11.83,-13.663
52.508,44.45,-24.332,-30.154,-0.569,-50.441,-20.001,-0.309,-8.583,7.248,-5.394,-10.011
52.105,36.591,3.68,-18.192,-2.591,-41.737,21.21,-2.502,2.228,11.854,17.727,-6.848
52.815,83.177,51.431,-22.622,-17.419,-23.537,2.598,1.526,-1.083,11.217,-6.451,-25.312
54.042,115.443,21.762,4.636,-6.517,-41.615,-20.99,-16.067,-5.531,8.079,0.798,2.263
53.406,48.96,37.921,-1.227,-8.427,-26.464,18.099,7.314,-23.473,6.428,-0.67,2.569
51.892,35.843,33.499,-3.383,-15.99,-28.366,30.812,-4.146,2.62,11.733,-1.878,15.05
53.253,48.481,20.561,-10.197,14.523,-24.349,-6.934,-12.757,-6.921,13.098,1.515,-18.941
52.516,44.73,0.111,-23.957,14.62,-44.108,3.431,1.875,4.652,-2.954,-1.527,1.238
52.147,36.071,6.808,3.778,-6.654,-27.622,16.449,-10.3,8.211,8.639,-23.261,-5.269
49.857,22.441,8.716,-21.795,-27.345,-18.619,16.935,-0.933,9.626,5.659,-19.215,-3.07
51.141,58.413,51.15,-58.997,-35.35,-7.815,4.105,15.491,-15.128,-1.824,-7.962,-15.966
52.138,100.903,7.219,20.636,-33.136,-22.623,-4.344,-28.869,8.782,-0.261,-27.871,-1.937
50.379,50.164,42.454,-30.588,-15.553,-14.867,1.255,3.036,-21.632,-7.048,-14.221,-3.689
49.5,48.951,57.473,12.459,17.355,-32.318,12.562,7.825,7.711,7.358,-11.347,-6.869
49.572,83.274,101.572,-2.61,16.17,-14.396,5.986,-8.493,-13.432,-9.85,-6.107,3.667
49.945,136.49,102.107,19.554,37.992,-38.096,-10.139,-7.812,13.208,0.226,7.342,-1.09
52.139,133.021,57.162,-11.416,10.152,-9.738,-0.091,-40.358,-5.362,14.603,-21.153,10.516
