0,1,2,3,4,5,6,7,8,9,10,11
3.843,105.484,68.393,-63.426,114.781,-28.299,49.069,-43.131,-29.704,28.83,-12.822,-4.974
11.12,35.523,154.968,-9.562,130.37,-31.882,56.274,-4.518,-37.885,3.146,-5.399,-10.034
15.468,12.425,185.599,27.711,132.225,-38.265,34.999,10.301,-19.355,0.66,-6.466,-5.535
34.271,69.477,65.093,-6.287,72.046,45.934,16.894,-108.262,-17.948,10.22,29.054,1.001
37.709,-55.698,29.512,-9.777,12.515,5.205,-10.898,-32.16,-14.766,-6.271,-7.135,-8.612
34.776,-95.668,3.821,-8.26,8.105,-27.471,7.37,-15.111,-20.889,-19.656,-15.576,8.521
35.927,-75.664,-34.523,-42.253,-2.315,-21.397,-42.001,16.951,2.132,-15.752,11.144,5.418
35.187,35.316,-47.969,-16.891,-0.419,-33.562,-39.421,-56.815,-12.886,34.766,-20.511,28.354
31.579,-48.138,-25.404,52.201,7.096,1.152,-46.289,21.317,3.209,-17.634,-29.305,0.363
31.053,-59.012,-39.21,-8.479,50.788,33.757,1.997,-21.84,-28.568,38.029,15.767,-7.277
37.924,92.026,-18.675,14.621,-0.751,-22.896,-37.202,-50.105,9.971,10.891,-2.5,7.282
37.982,-53.666,22.306,-8.883,37.748,-15.087,-2.47,-1.007,-16.197,-8.377,-0.334,22.216
38.0,-33.889,-2.41,38.018,51.744,-23.089,-23.04,15.525,2.024,-16.043,10.013,20.162
34.621,-103.253,20.556,-38.049,38.089,-23.025,-17.835,-1.0,-12.121,-11.091,-15.143,9.572
32.081,-86.319,-1.641,-13.002,13.485,-14.53,-2.592,-42.105,-41.331,1.94,-16.103,20.266
35.407,-75.614,-11.094,-50.146,-24.901,-8.547,-32.742,8.839,-16.622,-24.58,-2.247,-1.221
31.373,-57.567,-4.12,38.116,3.503,-19.596,-27.244,-4.372,-20.058,-15.993,-9.116,4.774
30.172,87.15,161.136,75.966,12.634,46.348,35.771,1.527,-30.303,-48.821,-31.673,-12.37
31.289,30.798,213.355,82.846,106.507,66.82,55.571,0.663,-11.175,-1.62,6.769,10.181
32.236,91.767,216.639,102.751,93.993,21.924,6.95,7.043,-7.05,-6.633,-16.497,-9.965
33.005,225.804,227.829,120.705,26.559,14.736,30.482,-18.904,-68.805,-26.618,-40.493,26.964
30.137,249.661,190.486,48.161,8.33,79.307,5.345,28.542,-69.246,-12.013,-25.056,11.606
22.126,250.391,172.007,108.364,-40.467,-62.45,-1.525,-32.329,-63.151,2.44,13.055,3.726
34.213,119.636,231.644,86.998,86.953,28.907,28.772,-28.366,-31.379,50.395,-32.79,6.322
40.566,27.958,45.164,-52.263,35.354,0.628,31.207,2.284,10.025,6.952,21.087,14.2
50.607,38.529,7.17,-59.817,7.774,20.089,25.497,15.355,10.021,7.745,10.11,-0.81
52.498,30.215,-11.753,-20.627,-8.944,-58.828,14.624,1.146,3.788,10.378,-23.173,4.251
50.758,9.039,-9.082,-2.524,-8.163,-62.394,7.961,-5.092,-5.846,19.042,-18.569,-2.421
50.588,22.384,-29.212,-3.177,4.406,-64.447,4.243,-2.406,6.291,20.905,-1.015,-0.693
51.489,25.443,-15.248,-0.687,-13.859,-63.579,5.239,-8.608,-8.036,12.054,-17.175,4.956
49.992,8.797,-12.533,-15.438,-5.628,-15.114,9.214,-8.666,11.743,3.788,-14.92,-7.605
50.564,18.403,-22.109,-1.985,-11.629,-57.708,3.452,-14.614,-2.389,24.605,-3.05,1.266
52.441,25.042,-7.179,-34.206,-6.128,-24.045,28.569,15.931,13.847,5.58,11.858,0.645
52.292,38.403,-8.677,-19.729,17.584,-45.321,9.949,-10.427,17.581,10.031,-16.667,-2.513
50.652,15.928,-26.566,16.645,-3.384,-45.506,10.475,-14.549,-1.738,19.898,5.763,2.645
49.735,12.168,-21.595,-19.589,-5.331,-9.125,10.952,-9.325,11.231,-3.295,-18.201,-6.42
49.194,2.208,-9.279,5.448,8.744,-41.806,0.007,-14.042,-10.332,17.934,-15.078,-2.821
50.198,22.057,-19.34,5.56,14.837,-10.452,14.328,-13.936,0.645,-4.231,8.187,-3.385
52.685,48.152,6.217,-27.459,3.971,-14.919,16.271,8.996,6.405,5.528,10.363,-5.998
52.409,41.362,-4.92,-33.677,-0.695,-35.653,21.056,1.367,11.386,4.181,-16.789,2.031
50.411,9.75,-24.869,2.183,0.953,-35.244,12.91,-10.601,3.997,5.386,9.785,2.516
50.38,23.263,8.009,-6.504,5.33,-61.692,15.024,-9.417,1.052,23.594,-8.638,-4.682
50.609,12.61,-13.824,-2.404,-12.2,-69.93,-2.485,-4.864,-8.898,18.805,-14.088,8.924
50.815,31.386,-23.161,-10.841,4.981,-5.985,18.202,-8.407,0.697,-4.417,-20.325,4.441
49.444,0.349,-15.381,-14.128,-0.379,-32.707,5.594,-0.69,-1.586,7.968,-10.058,5.952
