0,1,2,3,4,5,6,7,8,9,10,11
1.511,139.482,-28.218,-24.353,46.368,-53.235,8.584,27.288,-20.787,2.716,4.134,-13.493
26.513,49.07,-105.821,22.628,4.597,72.692,8.518,-12.411,-34.024,-12.906,-46.035,5.513
31.986,36.286,-64.417,-86.682,18.497,139.919,28.905,-70.441,-35.978,-0.257,-33.975,1.976
40.384,-12.068,-75.335,-0.157,-10.141,52.65,23.317,-51.411,-27.651,8.716,-3.621,8.392
37.093,-62.607,-65.666,-60.473,5.223,-30.231,4.572,33.845,-6.772,-31.885,-5.563,13.029
42.591,14.565,-60.691,7.551,21.568,30.861,1.503,-58.461,-17.209,6.02,-16.914,-7.504
38.068,-38.04,-22.881,-46.316,17.237,-38.943,-9.665,-3.191,5.172,-1.49,3.565,2.381
43.171,-6.961,-68.17,1.241,26.646,-15.919,4.731,-41.004,-18.008,1.241,-4.97,9.682
41.302,-39.621,-54.941,-37.447,-0.759,12.261,17.154,-18.619,-26.475,-23.928,10.342,1.166
41.696,-54.148,-30.973,-20.449,-16.902,-50.77,12.893,-6.606,-17.177,12.703,0.777,12.148
42.513,-38.15,-15.849,-36.148,-6.47,-33.284,16.899,2.013,-2.775,5.412,1.524,-4.398
45.218,0.734,-20.244,-13.242,16.01,-22.536,17.294,-27.995,-7.95,-0.266,-9.721,-5.024
44.82,-46.414,-0.044,-11.933,21.965,-37.07,28.475,-4.129,11.107,14.161,-13.206,-18.066
44.253,-54.226,-40.133,3.725,11.542,-22.246,20.887,-25.811,-17.267,-4.454,-18.234,-7.242
42.424,-66.366,-76.556,51.151,-12.731,-20.897,17.695,-69.884,-32.093,5.882,-12.285,4.829
39.59,-53.941,-34.875,-45.339,13.535,-48.339,-0.281,7.329,-2.494,3.148,10.082,4.52
43.318,31.668,-28.845,-49.469,1.298,-39.681,-4.467,-7.543,-2.033,7.285,-3.477,-6.869
45.064,89.214,-45.651,-41.595,5.616,-30.76,-30.657,3.294,11.139,-3.364,-8.281,12.428
45.484,54.888,-50.933,-18.95,5.119,-21.882,-7.132,-31.854,-6.867,14.527,-22.812,32.216
42.536,-48.952,-36.479,-47.251,-9.131,10.041,21.746,-26.13,-14.97,-27.393,-21.666,12.588
41.049,-75.9,-29.915,14.248,16.774,-37.352,6.499,-16.25,-11.382,-12.371,-7.96,7.121
42.374,-30.857,-73.263,-24.37,14.623,7.766,5.442,-17.879,-2.472,-25.669,5.56,-0.847
44.033,-26.153,-7.386,-78.088,-9.673,-34.507,11.407,3.436,2.633,10.442,-4.513,10.894
45.304,2.622,-47.058,2.54,-10.229,-64.043,4.338,-41.102,-37.188,26.727,-14.664,14.671
41.972,-32.529,-59.749,33.158,-31.408,-48.322,-1.093,-49.806,-27.452,24.885,-6.643,-0.861
38.949,-46.664,-31.053,-40.714,-10.243,-41.492,11.663,-13.655,-10.013,11.396,-2.209,-6.404
40.819,-37.958,14.098,-54.072,-8.31,-23.677,-1.747,7.608,-7.767,-8.556,-0.988,-7.846
42.66,-9.259,30.973,-41.822,26.025,-27.985,-18.458,5.324,2.438,-3.883,0.498,2.277
45.661,20.105,28.214,-39.489,18.226,-27.942,-11.213,-12.742,-8.756,0.237,-6.944,6.993
45.934,19.339,19.554,-35.172,13.201,-26.469,-18.872,17.203,-2.472,-23.403,0.878,0.915
41.342,4.003,-12.673,-22.091,-20.786,10.065,-11.825,-35.724,-26.414,-27.435,4.943,-1.409
40.368,-17.736,-29.783,-8.177,0.167,-30.359,-21.653,-12.881,-18.192,-22.982,1.161,-19.769
41.47,-23.588,-62.303,-1.573,-11.25,35.635,4.49,-50.025,-13.287,-30.241,-9.945,3.582
38.931,-49.123,-53.717,-9.01,-25.739,-21.318,-9.19,-23.985,-21.703,-27.108,2.637,-8.357
40.753,2.224,-76.726,11.161,6.37,-21.042,-6.405,-52.358,-26.613,5.455,-23.214,-6.08
39.385,-36.438,-81.278,47.839,-3.811,8.62,4.952,-63.268,-22.711,1.893,-17.649,6.739
35.351,-63.891,-57.785,-69.805,28.375,-41.381,-16.369,15.406,9.814,-10.847,7.725,6.609
38.719,22.137,-41.18,-74.243,21.897,-26.5,-22.802,-9.468,30.239,5.446,4.469,2.485
45.086,-31.12,-59.673,-32.568,-13.234,-31.386,-4.632,-25.032,-22.103,34.476,12.439,13.297
