0,1,2,3,4,5,6,7,8,9,10,11
0.0,171.13,9.469,-28.48,57.491,-50.067,14.833,5.359,-27.228,0.973,-10.64,-7.228
42.388,130.859,143.926,29.089,78.052,26.676,2.742,-11.222,-13.789,-0.433,47.85,24.076
43.627,138.367,147.198,33.032,52.679,-23.105,-16.984,6.414,-26.339,-15.204,14.214,28.874
43.706,153.276,146.594,36.889,59.521,-21.371,-8.136,-5.483,-28.844,-0.599,2.389,31.587
44.394,138.043,125.718,14.522,41.064,-31.298,-13.806,14.891,-14.786,-11.402,8.532,32.166
43.325,160.097,164.692,16.704,50.171,-17.323,1.19,-19.754,-33.526,7.63,-4.931,27.582
43.944,113.76,144.862,14.773,66.881,-21.914,-45.007,-2.587,-10.376,-5.152,8.786,20.172
43.478,102.089,138.789,13.898,67.935,-19.304,-40.323,-0.305,-20.365,-17.946,4.409,24.925
43.708,106.356,149.391,4.857,61.806,-19.694,-44.754,4.646,-19.473,-4.79,11.452,22.172
44.481,122.465,142.22,16.979,63.485,-39.299,-53.567,-7.86,-20.216,4.931,0.297,26.016
44.385,105.224,112.365,14.79,61.414,-28.764,-40.136,3.513,-14.693,-16.946,10.76,30.215
44.107,113.526,121.345,17.273,45.189,-28.638,-45.552,-7.971,-25.37,9.328,7.555,20.3
43.818,130.186,126.486,32.61,51.848,-22.835,-23.095,-11.95,-18.163,-13.25,8.971,33.3
43.297,145.214,143.484,30.591,51.795,-29.791,-26.496,-9.146,-20.389,0.118,6.106,25.093
44.08,128.526,122.381,21.46,46.083,-38.049,-23.089,-12.308,-32.877,6.926,4.644,43.191
43.9,140.883,122.753,23.418,38.544,-35.469,-29.518,-13.019,-14.655,2.316,-1.46,28.03
43.551,131.28,122.839,14.674,47.152,-22.595,-19.673,-4.315,-13.447,-4.497,3.301,22.59
43.875,141.346,127.503,15.873,43.089,-20.913,-22.443,-6.168,-6.142,-5.055,6.269,16.547
43.577,155.946,128.641,32.839,35.501,-30.385,-30.015,-29.377,-13.142,-7.015,1.652,22.608
45.519,126.183,48.654,-46.453,9.751,-27.353,-38.19,14.034,-9.229,19.795,-21.744,18.538
50.764,73.859,-63.703,5.544,-24.342,-71.188,-59.049,13.972,-1.321,-9.877,-10.711,8.371
47.188,72.672,-79.174,-27.933,-59.132,-75.088,-51.316,-7.576,-4.248,16.442,-9.669,3.107
46.554,117.307,-70.36,-46.882,-47.478,-26.174,-45.08,-29.932,-2.558,-4.183,-8.44,-1.992
48.298,119.335,-70.461,-75.509,-10.89,0.468,-47.401,30.329,-28.275,4.184,-18.448,-18.44
52.062,96.414,-75.11,-2.062,-24.942,-71.323,-77.491,42.31,0.64,-7.88,-23.286,3.0
50.075,56.975,-59.623,-43.602,-11.388,-45.652,-28.316,-24.518,6.94,17.286,-22.647,15.103
