0,1,2,3,4,5,6,7,8,9,10,11
0.063,170.449,7.257,-29.499,55.246,-50.507,16.83,5.716,-26.287,1.864,-10.738,-8.219
28.146,183.506,70.846,-96.094,14.479,60.581,5.221,-75.94,-33.368,70.66,-63.27,19.173
36.795,49.401,-66.73,145.315,-31.439,-0.762,-37.12,-42.242,-8.153,28.392,-79.89,4.773
38.798,70.071,12.667,-145.674,-43.153,66.812,-29.873,18.953,-1.762,-14.584,-27.166,-15.258
43.386,141.692,-50.391,-17.794,-25.457,-17.309,-93.685,55.848,-7.203,37.484,-26.183,-5.091
44.31,111.655,-22.87,-19.347,0.896,22.258,-40.163,-36.798,-27.689,51.214,-39.689,-8.538
44.328,117.784,-56.103,34.464,55.666,5.041,2.752,-70.655,-35.895,61.689,-57.646,-1.838
40.569,42.216,-25.558,38.82,-29.06,49.924,-21.065,-31.558,-18.216,-6.542,-27.311,-10.901
39.434,40.699,-40.542,-94.011,-63.949,-3.776,-61.297,13.452,5.837,-14.518,6.049,-37.374
43.375,62.47,-19.748,-18.154,-18.57,21.295,-17.826,-18.515,-18.294,18.729,-58.964,-3.041
41.67,48.535,-69.684,67.716,-9.41,14.166,-27.673,-53.685,-19.768,30.186,-37.394,4.149
45.884,69.146,2.053,-20.836,-12.751,6.299,-13.306,-12.252,-12.415,4.623,-1.008,-9.171
39.146,64.01,-79.911,154.78,-11.403,13.274,-36.479,-19.912,-1.114,-28.804,-112.571,-7.443
42.293,36.447,15.509,-27.287,10.697,78.271,12.329,-53.592,-19.202,13.901,19.759,-8.863
45.313,5.144,49.536,-20.733,17.474,-31.256,-16.63,9.248,-27.431,-6.289,6.1,-5.454
43.553,38.184,-36.674,-5.231,-52.762,-74.117,-66.705,-13.447,-23.039,18.291,-9.018,-16.252
43.152,73.521,-47.016,-24.576,-41.3,0.992,-52.463,17.003,-11.019,-7.876,-24.943,-16.882
36.456,3.271,-105.713,169.428,-34.711,-24.089,-40.89,-49.146,-18.012,17.054,-67.48,2.673
38.287,34.487,-31.423,65.63,-21.546,81.095,-12.967,-62.137,-6.101,11.305,-68.227,7.098
35.262,72.914,-40.805,-106.15,-7.783,34.928,-5.432,-15.498,-0.195,-40.132,-1.541,-7.103
45.386,52.651,39.807,-26.362,34.671,105.673,33.211,15.104,-5.323,8.764,-35.553,-20.855
44.305,10.325,-8.921,-93.943,10.85,70.103,-4.662,-8.871,-19.437,30.361,33.049,-18.556
44.852,86.372,-21.508,23.986,-48.149,-41.503,-65.432,5.295,-16.075,-7.901,4.208,-24.063
45.857,48.888,-13.166,11.738,2.833,-13.361,-33.357,15.272,-8.609,18.224,-2.403,3.406
44.326,190.372,-16.25,-39.229,15.529,-1.238,4.905,-63.783,-37.394,7.432,-33.256,-12.557
43.2,90.86,-78.153,57.802,4.083,-11.66,-23.188,-82.041,-38.39,52.595,-66.607,6.536
41.279,4.536,-37.54,-125.532,-9.983,12.752,-35.518,30.387,3.932,-13.163,-18.349,-19.932
42.546,54.537,-66.127,63.327,-35.818,14.689,-49.75,-29.017,-18.679,2.053,-82.546,5.268
42.007,140.784,-47.682,-104.303,24.226,-0.559,-4.36,-122.552,-14.636,-6.792,-8.795,1.31
44.138,-1.545,-36.887,24.2,-40.851,-23.273,-48.805,-21.71,-34.971,-3.687,-30.994,-7.301
43.735,25.42,-69.032,-1.2,-37.949,-7.895,-44.151,11.513,-14.069,-17.319,5.884,-19.631
40.99,34.173,-76.336,40.128,-39.606,-2.114,-30.738,-19.607,-20.891,-13.799,-29.572,-8.593
40.473,112.297,-29.306,0.97,-38.621,13.964,-27.198,12.079,-9.28,-5.257,2.307,-8.814
36.263,66.685,-78.437,132.709,-24.967,23.498,-39.551,-31.494,-24.732,12.322,-96.774,6.793
49.411,99.502,15.313,-25.607,18.846,47.147,-24.571,-53.671,-15.51,51.944,11.357,-29.77
48.623,64.789,16.508,27.348,42.66,-20.987,-31.394,16.893,13.885,7.321,-31.553,-21.434
46.959,79.885,100.418,-14.312,41.858,-10.547,70.38,-33.331,-27.0,9.848,-31.169,23.817
47.74,58.419,30.506,33.254,60.141,-28.173,33.654,21.558,-10.027,-11.71,-21.169,-7.791
42.475,49.421,-39.074,-8.294,26.511,-1.376,-18.64,-39.329,-19.632,8.737,-51.816,-3.603
40.881,59.505,-48.438,26.059,-40.014,3.768,-33.805,8.691,-5.129,-15.318,-4.774,-14.773
40.843,114.314,23.231,-88.934,-18.586,3.026,-21.016,-20.785,-24.458,37.718,-29.526,-16.127
44.753,117.509,1.805,-30.22,-17.392,-18.597,-41.792,-17.894,-19.409,49.715,-17.038,-0.634
47.192,54.14,5.435,7.042,-2.714,-49.447,-7.42,-5.149,-15.874,13.416,-7.69,-15.924
41.398,55.101,-75.868,99.563,-41.978,-16.546,-38.267,-33.353,-21.178,5.481,-69.518,6.948
42.875,52.337,14.865,9.186,-12.555,21.624,6.819,-58.629,-13.761,17.865,-29.044,14.071
42.323,45.897,-9.648,-38.846,-35.265,-12.346,-41.75,26.812,-22.936,-35.426,1.602,-12.805
40.299,62.505,-42.722,63.972,-32.64,-64.174,-41.239,21.532,-8.298,12.842,-5.686,5.25
42.547,109.009,-24.762,-15.773,-32.243,34.118,-25.305,9.553,-2.089,-6.012,-12.811,-25.914
40.871,22.65,-63.269,60.798,-30.022,-40.078,-23.516,-38.782,-13.655,25.737,-4.431,12.039
40.917,31.834,4.127,-44.481,29.172,-7.966,16.291,5.516,-42.87,2.635,-8.649,-12.148
45.914,20.798,51.61,22.708,23.423,8.275,30.8,-50.72,-13.548,30.97,-34.459,7.106
40.347,32.913,-28.381,45.815,-28.086,-31.639,-19.315,-19.19,6.658,-8.978,-7.615,-4.529
40.334,47.181,-5.878,15.391,-5.371,31.59,-5.406,-14.171,4.821,-22.422,-26.783,-15.421
42.179,46.025,15.241,-13.806,8.791,9.41,-3.275,-16.362,9.713,5.164,-30.626,-8.459
42.276,4.467,-5.954,33.037,-28.329,-53.842,-22.949,-21.84,4.653,28.617,0.603,-18.173
43.01,37.394,22.993,39.261,-15.456,-28.848,-13.966,-36.358,0.064,27.85,-6.899,-22.914
44.202,57.738,40.992,-25.427,7.582,14.028,-0.163,-6.305,16.062,-4.901,-20.329,-20.397
43.538,26.083,26.834,-18.439,-1.208,-22.374,-8.689,-9.731,20.797,-4.639,-18.146,-32.757
45.917,87.966,34.899,-22.654,5.28,-11.696,-16.345,-12.193,21.731,-3.892,-36.447,-20.291
47.569,55.469,49.773,8.529,6.808,-6.77,0.813,-44.522,4.395,16.576,-5.869,-9.058
46.561,21.097,20.598,-25.232,-12.088,-9.815,-14.258,19.198,17.26,-21.461,-21.695,-24.031
46.417,84.334,17.583,27.921,-1.579,-10.646,-13.252,-45.066,8.345,-21.046,-4.81,-38.566
42.211,53.656,-20.036,94.03,27.332,-6.374,-9.21,2.512,-4.556,-11.595,-48.795,5.994
47.023,52.642,-15.521,39.16,42.984,91.288,14.895,-7.974,-3.743,23.803,33.873,7.669
53.077,64.301,21.556,5.35,-19.361,-10.433,34.163,0.426,-10.439,3.315,30.693,8.69
53.736,59.932,54.703,3.302,-12.119,-43.777,50.891,-3.131,3.038,15.545,-6.451,-0.233
54.155,54.526,25.979,-0.408,-21.166,-48.731,6.836,3.091,-9.606,7.653,-4.021,12.298
