0,1,2,3,4,5,6,7,8,9,10,11
30.848,-61.148,37.854,-129.695,47.03,242.408,78.051,-8.138,-37.842,84.959,1.012,14.506
44.268,65.888,47.543,-15.653,-1.23,27.752,-37.191,-6.881,14.254,-38.151,38.503,-46.121
44.552,62.695,71.88,-0.535,5.937,-17.184,-40.205,-29.491,5.301,-4.525,-11.102,-36.638
44.498,56.763,111.522,29.449,31.219,0.999,-21.098,-9.318,-1.448,-28.413,-3.29,-30.641
43.33,6.564,73.321,5.484,6.167,-17.003,-28.489,1.023,-4.651,-11.997,-4.568,-16.89
45.555,97.838,71.312,-6.855,16.751,-34.474,-42.598,-14.859,2.639,3.379,-0.613,-12.496
45.72,83.104,84.897,9.152,6.744,-22.545,-29.714,-11.776,4.204,-7.249,-7.659,-15.269
44.252,39.407,79.713,11.353,14.112,-22.892,-36.353,-21.639,-9.91,2.286,-5.447,-9.686
43.176,-0.608,66.743,4.945,23.224,-26.95,-41.811,-27.813,-8.037,1.707,-8.494,-17.284
44.199,54.303,77.31,9.045,39.047,-39.749,-52.601,-28.533,3.953,5.305,-8.89,-24.481
43.338,50.744,62.174,9.785,33.764,-13.702,-40.085,-30.547,21.954,-14.745,-17.196,-26.261
42.435,20.759,59.805,-26.921,10.841,2.957,-46.163,-3.827,6.714,-24.252,-2.956,-28.969
42.714,34.644,56.063,-1.19,-0.457,-10.852,-49.513,-6.716,-12.349,-17.794,-8.45,-21.779
42.243,37.303,69.097,-19.832,9.305,-7.465,-50.819,-4.406,-3.967,-18.365,-14.443,-27.392
43.781,59.09,54.727,6.308,34.898,-15.545,-45.851,-39.859,20.943,2.986,-7.129,-16.703
42.476,31.351,77.288,2.988,27.004,-27.482,-49.401,-20.85,5.773,3.531,-2.36,-34.936
43.692,60.135,62.849,-10.772,36.187,-39.567,-48.106,-20.387,18.767,25.943,-2.561,-14.174
44.337,47.997,56.114,1.802,16.266,-42.4,-32.204,-4.266,13.681,1.048,3.532,-8.149
46.039,78.478,72.192,4.123,21.183,-9.202,-28.511,-7.605,20.315,-10.719,1.33,-12.629
45.399,44.516,78.689,0.842,1.69,-17.473,-23.404,-13.895,4.36,-2.448,-18.197,-27.181
43.651,-8.743,60.126,-0.304,-0.962,-47.522,-17.368,-8.127,3.062,7.508,-3.713,-17.198
45.36,28.293,85.549,18.985,23.505,-10.95,-18.895,-14.344,3.709,-12.805,9.102,-20.859
44.016,-3.856,77.998,4.648,23.916,-37.43,-41.084,-21.149,-3.783,4.817,-22.251,-15.624
44.02,53.454,79.991,-5.325,25.75,-34.261,-48.324,-12.309,11.646,7.078,2.171,-31.031
44.391,33.846,70.335,18.623,24.181,-8.502,-23.886,-25.972,-3.091,0.773,-31.031,2.951
45.298,28.665,82.868,33.91,32.663,-27.492,-30.866,-27.572,-3.662,-5.499,0.913,-19.619
43.714,17.854,68.32,-9.408,21.38,-6.436,-40.468,-9.746,4.819,-20.707,-1.026,-24.75
45.742,89.721,71.992,8.687,30.393,-8.583,-29.068,-10.332,22.866,-21.263,12.538,-7.456
45.241,57.879,63.544,16.512,16.054,-40.85,-24.871,-20.859,2.175,21.332,2.839,1.6
44.511,43.829,64.746,14.792,10.52,-25.464,-21.194,-26.097,0.987,0.269,-19.826,14.074
44.199,37.45,74.259,9.638,17.624,-7.45,-30.42,-0.662,-0.568,-23.676,-14.199,-2.626
43.678,25.249,58.4,32.581,7.316,-35.151,-34.89,-19.456,-4.825,-3.047,-11.881,-9.227
44.054,78.591,56.245,-3.218,26.945,0.286,-51.611,-15.222,18.201,-18.473,17.649,-33.315
46.3,61.295,72.377,28.147,36.578,-38.41,-38.316,-25.228,20.804,7.319,-16.852,-3.154
45.239,50.561,80.31,13.144,15.46,-27.617,-21.483,-11.075,2.674,6.021,3.18,-29.097
46.171,76.961,79.63,16.028,37.569,-29.947,-34.913,-17.793,21.365,-1.174,-2.112,-7.286
49.004,41.926,72.116,35.049,26.925,-39.07,-24.899,10.338,-1.715,13.316,1.713,-4.858
50.486,44.299,3.718,-83.055,-1.593,-18.301,-23.46,29.237,-4.176,1.03,-10.706,-3.2
50.691,98.67,-39.433,-46.718,3.659,-12.412,-0.167,-35.851,-22.999,20.638,-18.066,-4.31
49.924,73.572,-42.135,-10.065,-9.517,-71.347,-25.414,14.875,-14.754,24.375,9.748,-5.238
55.427,43.625,9.791,4.647,13.686,-39.364,-2.982,0.879,-7.103,16.591,-5.363,-14.161
53.061,66.429,-14.261,13.374,7.844,-57.54,-17.643,34.827,-5.942,-0.149,-6.121,-20.913
51.089,56.087,-25.194,-9.118,-27.122,-35.416,0.355,-28.552,-12.413,20.823,-37.81,-0.394
50.143,13.213,-1.58,3.379,-14.313,-15.169,6.558,9.242,-2.88,5.595,-11.927,-11.503
49.891,11.314,-42.099,9.35,14.555,-25.205,12.94,-56.305,-8.97,34.752,-10.904,-6.953
49.78,-6.68,-25.549,-9.95,7.075,-42.57,-8.975,0.166,16.847,48.248,-22.192,-8.586
50.405,16.225,1.103,-15.451,9.239,-46.423,-14.986,10.13,10.539,21.684,-27.552,-2.275
50.094,65.546,-27.317,-3.037,-35.99,-54.56,-21.594,-13.467,1.773,31.918,-18.133,-17.994
52.291,71.087,2.753,-39.736,20.221,2.106,2.924,-36.258,2.362,36.904,-42.462,-10.935
50.975,41.652,-21.598,7.145,0.919,-69.871,-10.468,14.892,1.451,-3.221,-22.426,-4.79
50.507,23.922,-17.918,-15.239,0.099,-28.269,26.565,-47.816,-4.089,29.863,8.246,-14.866
51.279,42.353,31.661,-40.319,13.018,-38.403,31.782,36.747,10.247,-3.094,0.471,27.355
50.945,40.116,-13.42,30.653,3.132,-34.934,8.156,-8.598,-8.045,1.551,-22.095,27.565
48.371,39.512,-14.42,-6.668,-19.189,-48.878,1.555,-24.214,-12.567,26.147,-9.157,8.169
47.565,2.186,-20.496,-7.855,-35.426,-93.977,-4.813,-35.484,-12.054,42.423,-17.644,-2.39
52.934,34.499,-8.302,18.125,17.344,-57.68,-7.957,-3.32,-7.48,4.923,-11.019,4.298
51.533,30.56,-7.631,12.207,10.917,-77.487,-1.707,0.988,-17.511,-5.611,-19.575,1.609
50.345,25.934,-19.398,32.125,-30.209,-37.586,8.48,-29.848,-24.902,24.033,-0.118,-0.119
47.263,0.947,-17.6,1.369,-28.067,19.847,15.015,-9.782,-6.17,-44.357,-23.913,-3.556
46.929,12.366,-35.202,-11.136,-23.551,-9.366,-6.915,-39.433,-1.064,-14.997,0.475,-35.245
48.042,36.071,-17.078,-29.851,-15.25,-8.09,-2.936,-22.868,18.755,-3.285,2.326,-6.987
48.15,27.496,-19.676,-2.106,-16.929,-83.764,-13.012,-32.94,11.76,53.529,-21.575,-3.471
51.837,20.437,-5.744,-22.341,20.532,34.751,9.593,18.508,15.288,-16.594,-7.84,-8.036
51.031,81.721,-49.012,-20.307,22.743,-41.136,-13.402,11.95,9.039,2.979,-8.555,-17.259
51.78,64.553,-16.656,-8.578,1.747,-10.223,1.706,-10.861,2.667,40.215,-6.997,-28.965
52.061,72.303,-21.543,-16.507,26.907,4.183,-5.253,-0.613,-4.675,28.122,-18.111,-5.633
51.321,72.636,-31.587,-27.767,-8.223,-42.357,-25.861,-20.456,-8.008,34.481,-1.642,-5.349
49.418,43.757,5.083,-76.235,-4.993,0.056,-15.754,3.688,8.842,-19.697,-6.557,4.216
50.217,18.008,-32.95,29.776,-37.665,-44.102,-19.159,-37.256,-25.921,12.736,-12.947,-13.539
54.057,32.341,4.334,8.615,19.248,2.602,9.674,-8.526,0.246,-2.746,34.708,-21.649
52.895,33.914,5.233,2.472,-10.064,-48.321,-29.549,1.553,-0.449,-8.245,-34.852,-16.334
51.501,42.617,-16.486,-26.183,-11.832,-57.145,-15.86,-4.135,-7.412,29.109,-17.245,2.86
50.507,0.883,-7.251,31.126,-27.118,-17.299,-0.09,-7.898,-7.484,-1.065,-35.001,-23.649
49.82,79.768,-43.653,-50.512,11.562,2.624,-8.766,-17.713,2.046,-14.191,1.956,-22.02
48.629,20.456,-41.566,5.438,-13.578,-43.192,-28.494,-26.606,1.315,27.965,-16.153,-2.821
49.31,51.933,-19.65,-22.147,-5.04,13.267,-5.106,-18.068,14.757,-10.545,-19.141,-14.441
49.783,93.196,-70.002,-17.741,21.777,-48.305,8.332,11.444,0.952,10.469,2.653,-11.732
52.769,48.609,-19.227,4.608,13.111,-0.31,-3.809,-4.189,-10.943,30.592,4.77,-18.602
51.045,28.393,-25.68,3.913,13.578,-11.284,8.569,8.482,22.851,17.445,6.685,-2.738
49.407,51.261,2.364,-10.876,-12.315,-39.683,11.233,-26.155,-4.773,22.737,-12.52,1.979
48.936,24.645,-5.151,1.175,-36.798,-78.769,2.835,-18.292,-12.445,41.4,-22.345,3.495
52.173,40.085,-21.684,10.729,14.979,13.99,1.375,6.151,-3.61,-1.352,18.013,-7.926
51.003,37.557,-12.132,15.174,4.271,-82.665,5.543,7.738,-7.987,-4.074,-16.238,-4.56
49.813,33.671,-6.7,8.831,-30.057,-45.259,9.254,-35.771,-7.654,23.14,0.881,-7.327
47.65,3.543,-10.153,-9.663,-24.247,-13.892,5.639,-4.041,5.125,-21.261,-12.339,-5.171
46.712,12.169,-15.64,-14.055,-24.804,11.445,-3.734,-21.432,5.84,-32.676,-32.415,-12.439
47.018,31.558,-25.097,-9.337,-29.973,-48.875,-32.341,-14.276,2.1,20.223,-10.214,-22.799
48.94,46.056,-11.319,-8.197,-15.977,-18.186,-6.248,-23.23,11.28,22.043,1.225,-6.008
48.241,15.805,-24.549,17.214,-31.131,-76.551,-1.131,-26.295,-1.953,41.898,-22.866,2.739
50.718,22.169,-13.691,11.273,6.811,23.118,6.0,21.339,14.004,-11.802,22.611,-11.245
49.406,36.433,-6.694,-5.093,-31.947,-63.453,-15.31,-19.507,0.99,29.218,-23.241,-1.683
53.059,22.127,-11.471,15.512,20.065,-19.894,10.477,-0.843,7.579,9.788,30.364,-11.544
52.91,40.354,17.528,1.739,7.397,-40.933,37.331,3.796,0.115,20.138,15.79,3.036
52.049,58.112,-23.063,-2.5,8.444,-48.655,-12.188,33.371,12.862,21.704,2.776,-20.0
52.301,65.557,-10.103,-18.589,12.048,-43.634,-28.733,33.49,-13.108,6.752,-22.669,-0.857
54.406,46.499,4.006,0.721,0.459,-32.028,-11.828,0.4,-29.279,29.258,18.576,-15.557
53.133,40.777,-5.18,14.648,-6.275,-32.91,-26.321,-1.326,-0.616,5.903,-4.755,-20.436
51.513,50.326,-19.751,-0.637,-3.363,-45.034,-0.813,8.996,-23.175,13.07,8.791,-18.365
51.379,34.849,-5.831,3.958,-14.375,-35.054,-15.928,4.492,-8.261,8.02,-12.133,-22.34
51.251,61.098,-31.368,-12.563,-18.212,-40.963,-23.661,12.162,-16.19,23.043,-2.008,-14.05
49.956,80.249,-34.676,-55.94,-7.404,-19.461,1.812,-34.903,-5.079,26.79,-9.152,-1.639
50.566,28.366,-8.937,-15.511,-27.285,-29.026,-5.053,-5.901,6.566,-2.71,-15.25,-4.164
51.714,29.165,-35.934,40.537,-2.639,-32.892,-14.487,14.104,2.385,12.45,-4.178,-1.199
48.228,19.305,-22.352,5.77,-39.535,-72.703,-21.78,-20.783,2.356,33.353,-27.007,-0.556
51.893,30.351,-29.297,11.036,15.091,-47.087,-16.317,17.285,-7.13,4.767,24.772,-3.904
51.259,38.149,-26.851,4.196,33.615,-32.31,7.564,3.556,12.556,16.809,1.477,-15.139
49.672,95.569,-52.592,-49.12,33.975,-34.565,-20.095,-18.037,-11.896,23.878,-28.955,-2.465
51.494,19.688,8.053,-22.693,14.656,-43.242,7.84,-28.944,-10.326,44.654,-12.924,3.541
51.404,47.835,-5.52,-15.206,17.301,-32.682,15.828,41.134,-25.319,-33.692,0.111,-22.0
54.086,35.114,5.997,-1.654,3.105,-59.475,-4.694,-3.009,-16.964,14.072,-8.872,-6.76
52.351,46.278,-15.048,19.692,13.796,-49.851,-7.054,28.773,-24.155,0.148,7.823,-14.603
51.386,33.005,-8.637,30.086,-17.964,-43.833,3.84,-25.801,-10.516,12.243,-3.742,-0.214
50.392,6.4,-5.382,9.997,-7.151,-33.477,-17.949,-28.778,-13.074,14.805,-13.175,-15.384
51.296,53.813,-38.836,-14.716,-1.197,-10.489,-14.117,15.215,13.544,-13.617,20.534,-31.046
49.927,44.033,-9.845,-33.77,15.502,-19.529,1.588,-49.128,-4.06,27.538,-13.394,1.485
49.31,20.908,-23.221,11.118,-14.355,-97.07,-7.041,-14.981,10.893,44.265,-14.286,-1.69
52.45,26.114,-8.712,-27.727,21.312,30.714,-1.322,18.796,8.681,-7.226,-0.004,-9.33
51.155,5.131,9.002,21.764,22.222,-20.812,32.945,-28.49,8.489,7.526,-13.173,-3.53
51.987,38.702,12.982,-3.151,-23.766,-51.339,-2.194,-6.944,-7.082,10.452,-26.707,-25.478
49.921,16.507,-11.531,14.379,-9.456,-60.307,1.827,-11.398,5.994,16.125,-2.025,-10.661
50.441,18.861,9.893,-53.586,-8.435,-12.224,11.186,-15.354,-0.255,-1.208,-15.057,-18.51
50.321,85.733,-55.467,-12.391,10.729,-61.732,-6.634,16.89,-31.898,-26.618,-15.942,-26.568
