trackid,track,album,artist
6IzocdW6y23Bk28EdchXT2,That Something,Love and Loathing,With Confidence
38w3t0B2C2zOfZcG0sVszo,Sing To Me,Love and Loathing,With Confidence
7lSqt09mk5hlzVWLzYIuWI,Moving Boxes,Love and Loathing,With Confidence
40RnFyoriUuWXsaTceeSGZ,The Turnaround,Love and Loathing,With Confidence
0OLaYaYTVrA7CsU9gi4bwA,Jaded,Love and Loathing,With Confidence
12sZMHZSkknPVrInJX0vIk,Better,Love and Loathing,With Confidence
1gkcAP8clDDiZO8hTrRlbx,Spinning,Love and Loathing,With Confidence
74sFcoAz1USsZuGq4FfwWs,Bruise,Love and Loathing,With Confidence
3EmVLU2EHNEJf646hdsu7s,Pâquerette (Without Me),Love and Loathing,With Confidence
2PxMIyf0X5iWuYOIvQC5k1,Icarus,Love and Loathing,With Confidence
5srihe5nqmMUAqAhfDq9j3,Dopamine,Love and Loathing,With Confidence
3uvocpZGfkHhAMex6mr6is,Tails,Love and Loathing,With Confidence
