trackid,track,album,artist
0CXQ2LNOcb6oJTWYEWKtyK,Criminal,Living Proof,State Champs
4sP2lZem4MZn3iDJqd9SBq,Frozen,Living Proof,State Champs
1oZdRsmNvgTy137ORPfXEI,Crystal Ball,Living Proof,State Champs
0QapunlwO9vnL5X6h4YF18,Dead and Gone,Living Proof,State Champs
2f23wbpcWh5jW6GFK3FPjN,Lightning,Living Proof,State Champs
29VZaw57nwUtKeGBVv1n9K,Our Time to Go,Living Proof,State Champs
5vcpqeWf3ZgKDlrOxdTf8L,Safe Haven,Living Proof,State Champs
4NHwMd1GQKugTgiQ0Pa1dl,Something About You,Living Proof,State Champs
27LrnixA8rfUZU3FABVoRv,The Fix Up,Living Proof,State Champs
5Hx0TJrfUUVfMqWisVjEPh,Cut Through the Static,Living Proof,State Champs
3gleWssVePpwdGy9pmMD0F,Mine is Gold,Living Proof,State Champs
3TJAuC3X1ZMUJXCtWFgF5a,Time Machine,Living Proof,State Champs
1eLegJmJPOQX2s5GfS7QCC,Sidelines,Living Proof,State Champs
