artist,album,track,trackid
Queen,The Game (Deluxe Remastered Version),Another One Bites The Dust - Remastered 2011,57JVGBtBLCfHw2muk5416J
Guns N' Roses,Appetite For Destruction,Sweet Child O' Mine,4MhTFsyqIJnjsOweVcU8ug
The Clash,Combat Rock,Should I Stay or Should I Go - Remastered,39shmbIHICJ2Wxnk1fPSdz
AC/DC,Who Made Who,You Shook Me All Night Long,6yl8Es1tCYD9WdSkeVLFw4
Bon Jovi,Bon Jovi Greatest Hits,You Give Love A Bad Name,61lqNlVRnWYiR9C7BDJw2l
Queen,A New Career In A New Town (1977 - 1982),Under Pressure - Single Version; 2017 Remaster,40HGoSHn9gELCcJu8TLakq
Guns N' Roses,Appetite For Destruction,Paradise City,3YBZIN3rekqsKxbJc9FZko
KISS,Dynasty (Remastered Version),I Was Made For Lovin' You,2ZSCy3P1QzpJySCWA6NRIU
AC/DC,Back In Black,Back In Black,08mG3Y1vljYA6bvDt4Wqkj
Bon Jovi,Slippery When Wet,Livin' On A Prayer,0J6mQxEZnlRt9ymzFntA6z
Nirvana,Nevermind (Remastered),Smells Like Teen Spirit,5ghIJDpPoe3CfHMGu71E6T
Oasis,(What's The Story) Morning Glory? (Deluxe Edition) [Remastered],Wonderwall - Remastered,5wj4E6IsrVtn8IBJQOd0Cl
Green Day,Dookie,Basket Case,6L89mwZXSOwYl76YXfX13s
Guns N' Roses,Appetite For Destruction,Welcome To The Jungle,5NIPsWpDjJTFBoPxCUUeXp
Deep Purple,Machine Head (Remastered),Smoke On The Water - Remastered 2012,5MMnwYs0hIxkENRsbkWJ2G
The White Stripes,Elephant,Seven Nation Army,3ctoHckjyd13eBi2IDw2Ip
The Rolling Stones,Out Of Our Heads,(I Can't Get No) Satisfaction - Mono Version,2PzU4IB8Dr6mxV3lHuaG34
Lynyrd Skynyrd,Second Helping,Sweet Home Alabama,7e89621JPkKaeDSTQ3avtg
Metallica,Metallica,Enter Sandman,1hKdDCpiI9mqz1jVHRKG0E
Oasis,(What's The Story) Morning Glory,Don't Look Back In Anger,7H0jlAh4VoUtdeBUurXae9
Scorpions,Comeblack,Rock You Like a Hurricane,6J1G0Y3F8oxuswhdwJowhT
The Rolling Stones,GRRR! (Deluxe Version),"Paint It, Black",1Kvjmr2oqZjzhryoEKzqij
Jet,Get Born,Are You Gonna Be My Girl,305WCRhhS10XUcH6AEwZk6
Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Version),Give It Away,0uppYCG86ajpV2hSR3dJJ0
Led Zeppelin,Led Zeppelin III (Remastered),Immigrant Song - Remaster,78lgmZwycJ3nzsdgmPPGNx
Van Halen,1984 (Remastered),Jump - 2015 Remaster,7N3PAbqfTjSEU1edb2tY8j
The Police,Outlandos D'Amour (Remastered),Roxanne - Remastered 2003,3FmAUR4SPWa3P1KyDf21Fu
Lenny Kravitz,Are You Gonna Go My Way,Are You Gonna Go My Way,45Ia1U4KtIjAPPU7Wv1Sea
Blur,Blur [Special Edition],Song 2 - 2012 Remastered Version,1FTSo4v6BOZH9QxKc3MbVM
The Killers,Hot Fuss,Somebody Told Me,7HGTkn2aX7MNdKs7nV2xBt
Led Zeppelin,Led Zeppelin II,Whole Lotta Love - 1990 Remaster,0hCB0YR03f6AmQaHbwWDe8
Def Leppard,Hysteria (Super Deluxe),Pour Some Sugar On Me - Remastered 2017,0PdM2a6oIjqepoEfcJo0RO
Pearl Jam,Ten,Even Flow,6QewNVIDKdSl8Y3ycuHIei
The Cure,Three Imaginary Boys,Boys Don't Cry,1QFh8OH1e78dGd3VyJZCAC
Green Day,American Idiot,American Idiot,6nTiIhLmQ3FWhvrGafw2zj
Ramones,Road To Ruin: Expanded and Remastered,I Wanna Be Sedated - Remastered,6vvmYYUvGXtZLU8msxKvzF
Foo Fighters,In Your Honor,Best of You,5FZxsHWIvUsmSK1IAvm2pp
Franz Ferdinand,Franz Ferdinand,Take Me Out,6ooluO7DiEhI1zmK94nRCM
Twisted Sister,Stay Hungry,We're Not Gonna Take It,1hlveB9M6ijHZRbzZ2teyh
Queens of the Stone Age,Songs For The Deaf,No One Knows,6NvRxjfYkkT2SpirAlmsjH
Kings of Leon,Only By The Night,Sex on Fire,0ntQJM78wzOLVeCUAW7Y45
The Kinks,The Ultimate Collection,You Really Got Me,4D0BiMiLN6z2x7Tq9BcqoT
David Bowie,Diamond Dogs (30th Anniversary Edition),Rebel Rebel - 1999 Remastered Version,66lOpKgTyFjOrac4S1s94g
The Killers,Hot Fuss,Mr. Brightside,7oK9VyNzrYvRFo7nQEYkWN
Mötley Crüe,Dr. Feelgood,Kickstart My Heart,7GonnnalI2s19OCQO1J7Tf
Quiet Riot,Quiet Riot - Greatest Hits,Cum on Feel the Noize,6FBmHx1FuaSnTnnnaThgbF
Ram Jam,The Very Best Of Ram Jam,Black Betty,2ZOTtG7v1OrSNs6EINIGb4
Depeche Mode,The Best Of Depeche Mode Volume 1,Personal Jesus - Remastered Version,3gv4AhWWneEu2oh1Egz652
Red Hot Chili Peppers,Mother's Milk,Higher Ground - Remastered,5arVt2Wg0zbiWwAOZef2Nl
The Black Crowes,Greatest Hits 1990-1999: A Tribute To A Work In Progress...,Hard To Handle,2BHpfgnikV4gvozw0yCGkQ
