artist,album,track,trackid
Biffy Clyro,"Balance, Not Symmetry (From The Original Motion Picture Soundtrack 'Balance, Not Symmetry')","Balance, Not Symmetry - From The Original Motion Picture Soundtrack 'Balance, Not Symmetry'",4q1OTfs2sXiIAHMsyGusUn
blink-182,Blame It On My Youth,Blame It On My Youth,5VYRZ0PFFpHX8Hp0turWxI
Angels & Airwaves,Rebel Girl,Rebel Girl,1EEt3kxO1yZSZd13DqvT8f
The Black Keys,Lo/Hi,Lo/Hi,6XRgC4KAp4upKu0v7H4tQo
Bring Me The Horizon,medicine,medicine,03CbQgFxnBFoaaVJTfEqMD
Tom Morello,Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik),Can't Stop The Bleeding (feat. Gary Clark Jr. & Gramatik),79DQcqdOuzHH5g0fI8KShf
Greta Van Fleet,From The Fires,Edge Of Darkness,4rhUBIlzi7zgV7TryhVujl
Foals,Part 1 Everything Not Saved Will Be Lost,White Onions,36GhBMw1CVJpsrazHYbXQy
DREAMERS,Die Happy,Die Happy,3sZSnOUL2kskr3gpyXCEWk
Frank Carter & The Rattlesnakes,Crowbar,Crowbar,78n9Kl5xJjWfUPEYUAhhG1
Bush,"Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")","Bullet Holes (From ""John Wick: Chapter 3 - Parabellum"")",4Nr465nCPqLBUi6xmms5uL
Catfish and the Bottlemen,Longshot,Longshot,1Yi8XPnCPoimWwqxwm3uz9
Cage The Elephant,Ready To Let Go,Ready To Let Go,2QoDAlMnML5haTXvYRS86X
grandson,Apologize,Apologize,1JG8pJ7G8qJiy98DzCBL2E
The Glorious Sons,Young Beauties and Fools,S.O.S. (Sawed Off Shotgun),3NyovXfcpc8PDWWKH7xEDs
The Raconteurs,Sunday Driver / Now That You're Gone,Sunday Driver,7dNDyDsDdN2X2n0cWIon5e
Oliver Tree,Hurt,Hurt,1Xls3QHvOQ7YLB54R6BvgG
Liily,Toro,Toro,3Lj2PcKAkTXYiSVSeT7UA7
Sam Fender,Hypersonic Missiles,Hypersonic Missiles,4fB1OI42wuC0SirSR64qc1
Palaye Royale,Boom Boom Room (Side B),Dying In A Hot Tub,0kwbhAzmXoEfv1XAccsLGh
The Amazons,Mother,Mother - Single Version,2IHxrbIAQB5sRZTGYvEd01
I Prevail,Breaking Down / Bow Down,Breaking Down,5bQwqWRODr2OeekQFmQUkr
PUP,Kids,Kids,3B2FeobPJ5LPVdF0H40Kgf
Des Rocs,SLO,SLO,5SEisU96ZNSUjCtYvV7EeD
Gang of Youths,The Heart Is a Muscle (Radio Edit),The Heart Is a Muscle - Radio Edit,5DlQetNIPiALnYuM3BFgRz
Simple Creatures,Adrenaline,Adrenaline,79YqE7RhYB4jYmW8tXBw1A
Badflower,"OK, I'M SICK",Promise Me,5TU1cWjUGyVKjSnIIxRSEf
Demob Happy,Less Is More,Less Is More,32rG7MMvXotrLIVSGHAN5W
Dirty Honey,Dirty Honey,When I'm Gone,3VZjogSj2XePaVubGgFOUo
Reignwolf,Hear Me Out,Over & Over,2wBEMqe81CXIX88kph8GBO
The Dangerous Summer,Way Down,Way Down,31cVLkCPfvIyWiqiCZhDqm
Perry Farrell,Pirate Punk Politician,Pirate Punk Politician,6Pj2nU8oN5P1fKAsbNK0Ll
Dinosaur Pile-Up,Back Foot,Back Foot,6hZ11ThYoAHlLJsBK2U3jH
Palisades,Erase The Pain,Ways To Disappear,0KcHwAnK9I7ieGVaRJICxT
Andy Black,Westwood Road,Westwood Road,0MS4mfGlVa925o8g14N2ei
Black Futures,Me.TV (feat. Bobby Gillespie),Me.TV (feat. Bobby Gillespie),7aIEOtCR4HhoDreA6syizW
Twenty One Pilots,Trench,Chlorine,23OXdR7YuUBVWh5hSnYJau
Saint Agnes,Welcome to Silvertown,Welcome to Silvertown,3Vm5T4ZUrPXXkJ5YXqfvMX
The Struts,YOUNG&DANGEROUS,In Love With A Camera,2CEjWJ4lPiodKXXS2bhVyP
Papa Roach,Elevate,Elevate,1SNipdzMky2C2LwvoVRzsv
Mötley Crüe,The Dirt Soundtrack,The Dirt (Est. 1981) [feat. Machine Gun Kelly],4iGBPovu7Hy7TUg6Wk6pjt
Sum 41,Out For Blood,Out For Blood,4x241uAmPrxKZdCZKt2r5t
Bad Religion,Age Of Unreason,Lose Your Head,1PAPt6Ovo1ljOSG1enpymb
FEVER 333,STRENGTH IN NUMB333RS,ONE OF US,51rdCmgHBzg9HJ7eHjVRK9
Zero,Leave The Light On,Leave The Light On,4TrzjmGcj6b8ct55iYQZXl
SWMRS,Berkeley's On Fire,Lose Lose Lose,1dSreFBAq3Tz7eLvea5ikf
Pretty Vicious,These Four Walls,These Four Walls,0mJiP6nknBsajRzZooLOVh
Convey,Nutrition,Nutrition,2nNCQ7lebrRxeUYaf4hKni
YUNGBLUD,Loner,Loner,5QMmZqzh93EY6gJG4PmzHA
YONAKA,Bad Company,Bad Company,6DLKNWx11doB3MnMntfK2e
