trackid,track,album,artist
5bJW3GFEgVklsym3fmCCaL,Lavender Bones,Skinny Dipping,Stand Atlantic
0jDGtdVh5TM69LxqaI1mp3,Bullfrog,Skinny Dipping,Stand Atlantic
7s7xOgct7HWsNjGO3YOtqt,Skinny Dipping,Skinny Dipping,Stand Atlantic
1IdaufSQD3tosqlO1mdj92,Speak Slow,Skinny Dipping,Stand Atlantic
2tlI58ylz6RQM8UCH4xygM,Cigarette Kiss,Skinny Dipping,Stand Atlantic
0D3mbKGRfRctoGzzoEOHZb,Lost My Cool,Skinny Dipping,Stand Atlantic
6XEx4tUCwTlsydwJpWnGGh,Toothpick,Skinny Dipping,Stand Atlantic
7phEQUqW9pxXUB9kDJhIon,Burn In The Afterthought,Skinny Dipping,Stand Atlantic
3AgS95DnYSIP5QqL0kqH3G,Clay (feat. Hannah Hermione Greenwood),Skinny Dipping,Stand Atlantic
4ZIdwM6mgkuwNnmrjwmpkC,Roses,Skinny Dipping,Stand Atlantic
