trackid,track,album,artist
1Kax6MSxr5YMFzMH8EgUhx,Aggressive,Aggressive,Beartooth
2NRa4W3rH4e5GKQMN5Qwyr,Hated,Aggressive,Beartooth
0y22IU9eyXT0WWDBCgz42g,Loser,Aggressive,Beartooth
5JNgI0LuyNFD5pry2utWrU,Fair Weather Friend,Aggressive,Beartooth
0fmhJAzvIrhR5NLTW7RgEE,Burnout,Aggressive,Beartooth
2wVKxqK3ZtXnmk1SI4Fwzt,Sick of Me,Aggressive,Beartooth
6MJ6gZbPfFHnbkEQoJjKnW,Censored,Aggressive,Beartooth
2xc7N8GKsTgSHkXOlOMBHJ,Always Dead,Aggressive,Beartooth
1LlyW3Zp7c8l7lT66d06UF,However You Want It Said,Aggressive,Beartooth
0Kk30aUMbJy0fqp9uxoyvg,Find a Way,Aggressive,Beartooth
7xrn0V5jmR4jotKrAKNyqM,Rock Is Dead,Aggressive,Beartooth
61Aqcrs2bQeL6bsM8LOemK,King of Anything,Aggressive,Beartooth
