artist,album,track,trackid
Beartooth,Disease,Greatness or Death,3hEjMuyL8KuZUHKOjX5Wf0
Beartooth,Disease,Disease,1hkm127hnTSa2xjGNw8IAE
Beartooth,Disease,Fire,3eF8QCmNM3qwo4oQM6TUFS
Beartooth,Disease,You Never Know,2KJwci3DPtYbfg7pxczvWf
Beartooth,Disease,Bad Listener,5pq9GrHjnWjLkKDBxqe8UQ
Beartooth,Disease,Afterall,4ALFLYvx64LaPhbLufe4Ib
Beartooth,Disease,Manipulation,57SGVmGpFIvGKHWgxUo6rm
Beartooth,Disease,Enemy,1XqFeKizL2NiafRDSZKj7U
Beartooth,Disease,Believe,62h7IYLkI55lOKAfzXiWjk
Beartooth,Disease,Infection,4MNxbtBdPAosCQsNYfdt59
Beartooth,Disease,Used and Abused,009TjPzPuetzFiJNnBEVrV
Beartooth,Disease,Clever,10wixwbRvWP2V2lgROHm7A
Beartooth,Aggressive,Aggressive,1Kax6MSxr5YMFzMH8EgUhx
Beartooth,Aggressive,Hated,2NRa4W3rH4e5GKQMN5Qwyr
Beartooth,Aggressive,Loser,0y22IU9eyXT0WWDBCgz42g
Beartooth,Aggressive,Fair Weather Friend,5JNgI0LuyNFD5pry2utWrU
Beartooth,Aggressive,Burnout,0fmhJAzvIrhR5NLTW7RgEE
Beartooth,Aggressive,Sick of Me,2wVKxqK3ZtXnmk1SI4Fwzt
Beartooth,Aggressive,Censored,6MJ6gZbPfFHnbkEQoJjKnW
Beartooth,Aggressive,Always Dead,2xc7N8GKsTgSHkXOlOMBHJ
Beartooth,Aggressive,However You Want It Said,1LlyW3Zp7c8l7lT66d06UF
Beartooth,Aggressive,Find a Way,0Kk30aUMbJy0fqp9uxoyvg
Beartooth,Aggressive,Rock Is Dead,7xrn0V5jmR4jotKrAKNyqM
Beartooth,Aggressive,King of Anything,61Aqcrs2bQeL6bsM8LOemK
With Confidence,Love and Loathing,That Something,6IzocdW6y23Bk28EdchXT2
With Confidence,Love and Loathing,Sing To Me,38w3t0B2C2zOfZcG0sVszo
With Confidence,Love and Loathing,Moving Boxes,7lSqt09mk5hlzVWLzYIuWI
With Confidence,Love and Loathing,The Turnaround,40RnFyoriUuWXsaTceeSGZ
With Confidence,Love and Loathing,Jaded,0OLaYaYTVrA7CsU9gi4bwA
With Confidence,Love and Loathing,Better,12sZMHZSkknPVrInJX0vIk
With Confidence,Love and Loathing,Spinning,1gkcAP8clDDiZO8hTrRlbx
With Confidence,Love and Loathing,Bruise,74sFcoAz1USsZuGq4FfwWs
With Confidence,Love and Loathing,Pâquerette (Without Me),3EmVLU2EHNEJf646hdsu7s
With Confidence,Love and Loathing,Icarus,2PxMIyf0X5iWuYOIvQC5k1
With Confidence,Love and Loathing,Dopamine,5srihe5nqmMUAqAhfDq9j3
With Confidence,Love and Loathing,Tails,3uvocpZGfkHhAMex6mr6is
With Confidence,Better Weather,Voldemort,6lI60Z5UEtARdwQfdBYjuD
With Confidence,Better Weather,Keeper,7C1aLb3VN8Y5r3btsMBkwB
With Confidence,Better Weather,Archers,5CezMbMOxf5GTbDKVA84Xt
With Confidence,Better Weather,We'll Be Okay,5kSNrwNgOuR5KAhntOBpLH
With Confidence,Better Weather,Gravity,0t3zV7qzIlg86AUSqudsQp
With Confidence,Better Weather,Keys,3ziWeH3T1XbqBWswcXmXiF
With Confidence,Better Weather,Long Night,57O3KxOf63GafUXTBelpyW
With Confidence,Better Weather,Dinner Bell,0Gnfe1VKCoB63nNSNMK6Xd
With Confidence,Better Weather,Higher,3mh4dy998jFwiXaAwYsFpX
With Confidence,Better Weather,Waterfall,209m5TJTSbrgzZ93DmkJ22
