playlist,artist,track,trackid
Punk Unplugged,ROAM,Flatline (Acoustic),3eSJmY6cL6274iOKhDwIyc
Punk Unplugged,Driveways,Drop Dead (Acoustic),55QnOHqLBk1YiCk7p4lKkG
Punk Unplugged,The Wildhood,Losing Sleep,5lJmNEGml8HW0GkMBnfikG
Punk Unplugged,FigureItOut,Dammit (Acoustic),79GykTeyQ2NdUCMayMZBsj
Punk Unplugged,AS IT IS,"The Fire, The Dark - Reimagined",0jbkqR3FV2wjveAXvz11AR
Punk Unplugged,ROAM,Playing Fiction (Acoustic),17PGUJ8kvyyMaRzQKbcWMN
Punk Unplugged,Chase Your Words,Right Here (Acoustic),5UMNl7HXpYBFrgNC8ko6Jc
Punk Unplugged,Chief State,I'll Be a Mess Without You,4f19llBb0FydWMbeUBLwyF
Punk Unplugged,Grayscale,Forever Yours,2fWRRecCCnzAE4gLBUjz8M
Punk Unplugged,Summer Wars,Weight of the World (Acoustic),2YG5TPqTTVM4OwJtvqBbSG
Punk Unplugged,Shorelines,How I Feel,0RScY1H5GhufUdvb65dWoE
Punk Unplugged,Point North,Dearly Departed - Acoustic,24pC3mU0uKALRZGoWJphoY
Punk Unplugged,Letdown,Downcast - Acoustic,6NyUmmBBSplZwglwfEMSAD
Punk Unplugged,Heavy Things,Missing out Again - Acoustic,3N2aYAQYQgps3g6erSkbgD
Punk Unplugged,Real Friends,From The Outside - Acoustic,6J6mmMIRFvrlS3kJGMC3Ds
Punk Unplugged,Summer Wars,End of an Era (Acoustic),1MOdasYTTObANkLfUkcDtF
Punk Unplugged,You vs Yesterday,Both of Us (Acoustic),3f0H369QJR5DR0yzzaCnsz
Punk Unplugged,Boys of Fall,Novocaine,0WlfydvmDWXRdPSqbcjmLR
Punk Unplugged,Capstan,Wax Poetic (Acoustic),62BBvS1Wr9Uw9IoSbumxxK
Punk Unplugged,Silverstein,Aquamarine - Acoustic,53LGV6RURvOGCx2w8J9LaF
Punk Unplugged,Letdown,Placement - Acoustic,6uZ4rfswcF6u2JhLDi200O
Punk Unplugged,Stand Atlantic,Toothpick,6XEx4tUCwTlsydwJpWnGGh
Punk Unplugged,SayWeCanFly,Pavement (Acoustic),7ewuuvaj84vzUKpq8SYwCn
Punk Unplugged,Cory Wells,Patience,1xwJpkTCba8guExNTHFd1H
Punk Unplugged,Point North,Blameless - Acoustic,7F1GfkFTAEkZTgmwVwdMZw
Punk Unplugged,Neck Deep,In Bloom (Acoustic),2SeJ9YrUC24fQKOlOUZVTG
Punk Unplugged,With Confidence,Pâquerette (Without Me),3EmVLU2EHNEJf646hdsu7s
Punk Unplugged,Story Untold,Drown In My Mind (Acoustic),3SbuveWXg234Hu07dDoAWy
Punk Unplugged,WSTR,Footprints - Acoustic,4vYbjfD6l8LNYlcdYnHBDm
Punk Unplugged,ROAM,Tracks,1WXq7yfGDqp24hK7q1oFut
Punk Unplugged,William Ryan Key,Downtown (Up North),6Veo9O3o0lFRDqHL03AGY7
Punk Unplugged,SayWeCanFly,If I Had An Airplane,04CvmySKMr9kWBhcmzUEUW
Punk Unplugged,Bayside,Mona Lisa,2X9qy15cbj1O2GQ2yEgb2q
Punk Unplugged,AS IT IS,Dial Tones - Acoustic Version,79hjAXUXQsWzfG6A7Lom1x
Punk Unplugged,Bearings,Tide,6MBTuI30fBCY1y3ZdaTNzP
Punk Unplugged,Pierce The Veil,Today I Saw The Whole World - Acoustic Version,5EbsXX8qzNSnD88ulWSXGW
Punk Unplugged,"Oh, Weatherly",You Were The Letdown (Chasing California),0N5WGeoF3fhPONFm4Hk7BT
Punk Unplugged,With Confidence,Voldemort (Acoustic),0e7QzF7gA3cEpkCNuZ8AGY
Punk Unplugged,Youth Fountain,Ache,19QanLbRIRwDnOGmH4u8Ny
Punk Unplugged,SayWeCanFly,Here's My Heart,6rbpUABUBE8zYt55TPkExf
Punk Unplugged,Silverstein,Still Dreaming (Acoustic),78eBbSqWSyC3huP0YMPoKQ
Punk Unplugged,State Champs,Losing Myself (Acoustic Version),2HrFS9UQ8nLALpbnia6Tol
Punk Unplugged,Seaway,Something Wonderful - Alternate Version,1vu42HClZIiqLgRzTU2jUc
Punk Unplugged,Slaves,Down for the Ride,5m4FRZfAgAf5YCN8T7C3rN
Punk Unplugged,The Story So Far,Take Me as You Please,4tOTRRJKhLshJyilxChR3r
Punk Unplugged,Mayday Parade,Take My Breath Away,7wtmaB8TOVjItfBcBP59TL
Punk Unplugged,State Champs,If I'm Lucky,6fEonsnOM8IiqFDuiqukMc
Punk Unplugged,I Prevail,My Heart I Surrender,4Qt5o43KerMzgh0PNPm6Q1
Punk Unplugged,"Oh, Weatherly",Without My Ring (I Think I Want You),2nIkWia8VMuHL51ipVFL3P
Punk Unplugged,Cory Wells,End Of A Good Thing,6F6MrtUbHqf7AASOXDMlMp
